,date,open,high,low,close,volume,average,barCount
0,2023-10-06,161.08,164.16,161.08,163.18,1074458.0,162.865,8312
1,2023-10-09,162.66,166.58,162.01,166.47,840438.0,164.347,6273
2,2023-10-10,166.89,169.69,166.41,166.84,828346.0,167.842,6503
3,2023-10-11,166.71,169.73,166.46,169.57,571189.0,168.274,4413
4,2023-10-12,170.41,171.06,166.87,168.33,910632.0,168.976,7266
5,2023-10-13,169.19,170.84,167.33,167.74,1018320.0,168.714,8895
6,2023-10-16,166.39,166.55,162.83,164.28,1050776.0,164.554,8530
7,2023-10-17,163.08,168.74,163.08,167.58,552822.0,167.323,4428
8,2023-10-18,166.01,166.01,159.69,159.83,741015.0,161.857,5512
9,2023-10-19,158.39,159.2,154.87,155.29,842658.0,156.305,7025
10,2023-10-20,155.33,155.9,153.18,153.4,436802.0,154.146,3686
11,2023-10-23,154.0,154.48,152.15,152.35,450852.0,153.303,3727
12,2023-10-24,152.93,153.64,152.24,152.86,448673.0,152.933,3522
13,2023-10-25,152.31,152.93,151.31,152.19,562473.0,152.186,4680
14,2023-10-26,151.93,153.73,151.63,152.61,730690.0,152.822,4819
15,2023-10-27,153.17,153.78,151.12,151.72,393613.0,152.413,3270
16,2023-10-30,152.06,154.59,152.06,153.79,580102.0,153.651,4768
17,2023-10-31,147.68,150.56,147.62,150.2,1477861.0,149.814,10606
18,2023-11-01,149.66,153.73,149.08,153.59,1103051.0,152.021,8512
19,2023-11-02,156.52,157.53,155.39,155.98,618847.0,156.225,4588
20,2023-11-03,156.77,159.1,156.77,157.28,440073.0,157.953,3451
21,2023-11-06,157.08,157.53,155.94,156.86,309355.0,156.891,2458
22,2023-11-07,156.41,157.04,155.81,156.58,369122.0,156.523,2953
23,2023-11-08,154.7,156.69,154.61,156.47,856739.0,155.874,6531
24,2023-11-09,157.49,158.54,156.22,156.81,614137.0,157.43,4281
25,2023-11-10,156.82,160.03,156.39,159.94,340484.0,158.759,2734
26,2023-11-13,159.2,160.87,159.2,160.5,322647.0,160.269,2588
27,2023-11-14,162.61,167.24,162.61,164.81,629623.0,165.587,5057
28,2023-11-15,164.92,166.71,163.24,163.76,468589.0,164.685,3512
29,2023-11-16,163.03,165.07,163.03,165.06,681545.0,164.429,5369
30,2023-11-17,165.18,166.72,164.86,166.48,431828.0,166.05,3479
31,2023-11-20,165.65,166.06,164.22,165.8,618455.0,165.407,4748
32,2023-11-21,165.51,167.05,165.21,166.68,467580.0,166.12,3780
33,2023-11-22,165.39,167.99,164.9,167.21,463708.0,166.759,3675
34,2023-11-24,167.31,168.6,167.3,167.74,150857.0,168.139,1236
35,2023-11-27,167.77,169.22,167.59,168.6,377234.0,168.561,3045
36,2023-11-28,168.51,168.72,166.21,167.32,488935.0,167.425,3848
37,2023-11-29,168.4,169.33,167.69,168.68,684628.0,168.56,5797
38,2023-11-30,167.7,171.53,167.59,171.34,718029.0,170.17,5465
39,2023-12-01,171.3,173.14,170.29,172.41,758536.0,172.163,6260
40,2023-12-04,168.24,169.89,167.09,168.25,1144150.0,168.584,8869
41,2023-12-05,172.79,176.48,171.9,174.1,977732.0,174.034,7490
42,2023-12-06,173.96,176.01,173.67,174.68,847351.0,174.702,6228
43,2023-12-07,175.79,178.72,175.42,178.66,706517.0,177.482,5119
44,2023-12-08,177.75,181.37,177.75,180.65,886279.0,179.927,6538
45,2023-12-11,181.38,182.94,181.3,182.5,569155.0,182.293,4386
46,2023-12-12,182.28,183.46,181.85,182.95,469333.0,182.927,3500
47,2023-12-13,182.99,184.59,180.98,184.02,527374.0,182.708,3823
48,2023-12-14,185.39,190.16,185.3,189.06,725567.0,188.207,5541
49,2023-12-15,187.38,190.57,186.91,188.91,551743.0,189.297,4346
50,2023-12-18,189.17,189.5,187.59,188.32,555278.0,188.432,4264
51,2023-12-19,189.83,190.69,188.98,189.13,687901.0,189.605,5240
52,2023-12-20,189.12,190.12,186.91,186.92,307324.0,188.742,2411
53,2023-12-21,188.75,190.25,188.12,190.0,275137.0,189.163,2134
54,2023-12-22,190.9,192.23,190.34,192.12,238856.0,191.582,1768
55,2023-12-26,192.66,194.03,192.48,192.61,193479.0,193.268,1492
56,2023-12-27,192.6,193.92,192.44,193.26,223797.0,193.192,1868
57,2023-12-28,194.05,194.05,192.52,193.12,215152.0,193.229,1719
58,2023-12-29,192.3,194.13,191.94,193.07,217490.0,193.06,1688
59,2024-01-02,190.59,190.59,186.93,188.61,562004.0,188.154,4601
60,2024-01-03,185.83,186.5,183.74,184.06,526792.0,184.777,4495
61,2024-01-04,186.19,187.26,184.7,186.47,408316.0,186.352,3308
62,2024-01-05,185.53,187.74,184.87,187.15,247975.0,187.028,1975
63,2024-01-08,186.28,187.17,185.61,187.09,542349.0,186.549,4307
64,2024-01-09,185.05,187.15,184.37,187.14,320623.0,185.935,2653
65,2024-01-10,186.35,187.69,186.17,187.14,273323.0,187.031,2397
66,2024-01-11,187.44,187.8,184.6,186.39,451837.0,185.925,3914
67,2024-01-12,187.84,188.23,185.98,187.17,223842.0,186.9,1827
68,2024-01-16,184.98,187.29,184.53,186.21,436471.0,186.107,3254
69,2024-01-17,184.64,185.49,184.15,184.65,343436.0,184.747,2718
70,2024-01-18,187.27,189.4,187.1,189.35,486314.0,188.346,3858
71,2024-01-19,189.52,189.91,187.85,189.61,327027.0,189.208,2529
