,date,open,high,low,close,volume,average,barCount
0,2023-10-06,53.87,54.46,53.27,53.44,2605027.0,53.908,16878
1,2023-10-09,52.65,53.23,51.06,52.29,5605729.0,52.27,26080
2,2023-10-10,52.29,53.4,52.04,53.1,5703713.0,52.985,28878
3,2023-10-11,53.25,53.65,52.55,53.12,1411904.0,53.079,9513
4,2023-10-12,52.83,52.87,51.18,51.6,1915692.0,51.741,12030
5,2023-10-13,51.36,52.23,51.28,51.82,1811790.0,51.791,11991
6,2023-10-16,52.32,52.81,51.54,52.6,1548425.0,52.452,9077
7,2023-10-17,53.35,54.14,52.9,53.61,2181355.0,53.601,12929
8,2023-10-18,52.99,53.73,51.83,51.86,2430692.0,52.401,13259
9,2023-10-19,52.26,52.64,51.41,51.42,3608671.0,51.965,18900
10,2023-10-20,51.78,52.16,50.39,50.4,2965975.0,50.985,14845
11,2023-10-23,50.16,50.64,49.5,49.58,3680494.0,50.037,23113
12,2023-10-24,49.98,51.0,49.92,50.5,2854513.0,50.477,13754
13,2023-10-25,49.0,49.56,48.16,48.85,3871248.0,48.939,20525
14,2023-10-26,48.67,49.06,48.05,48.22,2270534.0,48.586,14078
15,2023-10-27,47.91,48.22,46.91,47.16,3615443.0,47.505,22993
16,2023-10-30,47.63,48.52,47.31,48.41,3902158.0,48.044,21870
17,2023-10-31,48.5,49.33,47.97,49.11,4045213.0,48.854,22397
18,2023-11-01,49.52,49.52,48.46,49.28,2781453.0,49.028,12436
19,2023-11-02,49.95,51.39,49.81,51.36,4713325.0,50.617,18280
20,2023-11-03,52.0,52.51,51.78,51.96,4296231.0,52.062,20372
21,2023-11-06,51.77,52.07,51.31,51.72,3097804.0,51.621,19440
22,2023-11-07,51.28,52.15,49.91,51.1,6432605.0,50.796,31158
23,2023-11-08,50.95,53.3,50.84,53.0,4671564.0,52.627,29364
24,2023-11-09,52.79,53.11,51.6,51.78,3262784.0,52.256,21454
25,2023-11-10,51.92,52.67,51.57,52.41,2761425.0,52.158,19498
26,2023-11-13,52.27,52.85,52.14,52.39,2495065.0,52.545,16328
27,2023-11-14,53.44,54.98,53.39,53.91,2694592.0,54.308,18209
28,2023-11-15,53.95,54.74,53.92,54.46,2267195.0,54.5,14670
29,2023-11-16,54.44,54.85,53.76,53.9,3142521.0,54.046,20336
30,2023-11-17,54.31,54.78,54.1,54.67,2549922.0,54.52,15857
31,2023-11-20,54.54,55.08,54.41,54.8,2387985.0,54.845,15043
32,2023-11-21,54.51,54.86,53.79,53.9,2403882.0,54.208,15828
33,2023-11-22,54.07,54.53,53.93,54.43,2685813.0,54.258,14516
34,2023-11-24,54.67,55.55,54.65,55.5,1361910.0,55.268,7790
35,2023-11-27,55.25,56.42,55.24,55.99,3902319.0,55.992,24668
36,2023-11-28,56.0,57.34,55.98,56.91,3948467.0,56.941,22933
37,2023-11-29,57.26,59.02,57.18,58.18,5571732.0,58.498,30641
38,2023-11-30,58.4,59.07,58.32,58.64,4064539.0,58.6,24184
39,2023-12-01,58.64,59.95,58.64,59.9,4508772.0,59.422,26818
40,2023-12-04,59.49,60.29,59.49,59.93,3167237.0,59.866,18954
41,2023-12-05,59.7,60.04,59.36,59.59,2022201.0,59.71,13033
42,2023-12-06,59.98,60.56,58.65,58.96,4418064.0,59.645,28332
43,2023-12-07,58.69,58.99,58.24,58.92,2494813.0,58.689,17191
44,2023-12-08,58.95,59.21,58.43,58.94,2038996.0,58.911,13947
45,2023-12-11,58.99,59.6,58.62,58.72,2711369.0,59.05,17327
46,2023-12-12,58.67,58.85,57.5,57.84,2762731.0,57.931,16956
47,2023-12-13,57.86,60.1,57.13,60.0,2280942.0,58.928,15379
48,2023-12-14,60.85,61.89,59.41,60.36,3637013.0,60.575,22932
49,2023-12-15,59.7,60.74,59.1,59.41,2458308.0,59.785,12767
50,2023-12-18,59.82,60.42,59.28,60.04,2572912.0,60.133,15610
51,2023-12-19,60.21,60.31,59.69,59.92,1867845.0,60.019,9511
52,2023-12-20,59.5,60.13,58.85,58.88,1278737.0,59.552,8528
53,2023-12-21,59.07,59.74,58.86,59.71,1592178.0,59.382,9332
54,2023-12-22,60.0,60.39,59.46,59.94,1078122.0,59.991,6631
55,2023-12-26,59.78,60.43,59.74,60.27,1383568.0,60.112,7996
56,2023-12-27,60.51,60.75,60.1,60.4,1054692.0,60.397,7065
57,2023-12-28,60.2,60.92,60.2,60.8,1123859.0,60.699,7332
58,2023-12-29,60.58,61.19,59.95,60.07,1073191.0,60.254,6558
59,2024-01-02,59.81,61.51,59.62,60.97,3136951.0,60.838,18290
60,2024-01-03,60.66,60.92,59.93,60.21,1968129.0,60.419,13586
61,2024-01-04,60.34,61.1,60.23,60.57,2950434.0,60.719,18970
62,2024-01-05,60.41,61.83,60.23,61.41,2310854.0,61.237,14907
63,2024-01-08,62.0,63.55,61.67,63.35,3225888.0,62.861,17316
64,2024-01-09,62.97,63.83,62.08,62.17,2332025.0,62.782,15278
65,2024-01-10,62.06,62.63,61.74,62.45,1595621.0,62.258,10991
66,2024-01-11,62.46,62.66,61.58,62.3,2312337.0,62.018,14815
67,2024-01-12,62.56,62.88,61.56,61.79,1696720.0,62.073,11652
68,2024-01-16,61.25,61.78,60.82,61.16,3007050.0,61.277,17849
69,2024-01-17,60.32,61.28,59.63,59.8,2698207.0,60.162,17453
70,2024-01-18,59.72,59.85,58.24,59.01,4355969.0,58.852,25575
71,2024-01-19,59.36,60.08,58.62,59.86,2597793.0,59.644,15635
72,2024-01-22,60.29,61.98,60.29,61.83,2476903.0,61.528,17154
73,2024-01-23,62.15,62.71,60.37,60.43,3678951.0,61.037,24238
74,2024-01-24,60.42,61.11,59.9,61.06,2912811.0,60.592,19478
75,2024-01-25,61.66,62.36,61.11,62.25,3305106.0,61.834,19882
76,2024-01-26,62.06,63.85,62.06,63.51,4307327.0,63.245,23797
77,2024-01-29,63.25,63.86,62.91,63.5,2866858.0,63.459,17359
78,2024-01-30,63.12,63.42,62.46,63.15,2379324.0,62.945,16446
79,2024-01-31,63.17,63.59,62.26,62.26,2611596.0,62.92,16233
80,2024-02-01,62.51,63.24,61.55,62.87,2105671.0,62.4,15472
