,date,open,high,low,close,volume,average,barCount
0,2023-09-25,25.82,26.11,25.62,25.75,301050.0,25.951,1042
1,2023-09-26,25.54,25.93,25.26,25.32,181611.0,25.488,1282
2,2023-09-27,25.32,25.9,25.23,25.73,378875.0,25.695,2346
3,2023-09-28,25.31,25.62,24.65,25.33,483584.0,25.242,3191
4,2023-09-29,25.57,25.9,25.24,25.36,260957.0,25.495,1743
5,2023-10-02,25.29,25.75,25.14,25.48,209283.0,25.498,1494
6,2023-10-03,25.22,25.46,24.41,24.58,722571.0,24.881,3358
7,2023-10-04,24.66,24.98,24.11,24.76,229020.0,24.576,1777
8,2023-10-05,24.77,24.8,23.83,24.19,285205.0,24.111,2319
9,2023-10-06,23.87,25.07,23.81,24.84,375720.0,24.67,2674
10,2023-10-09,24.66,24.66,23.59,23.69,918190.0,23.887,5371
11,2023-10-10,23.73,24.78,23.73,24.17,325618.0,24.382,2162
12,2023-10-11,24.19,24.5,23.86,24.4,445338.0,24.204,2561
13,2023-10-12,24.47,24.47,23.14,23.57,478327.0,23.665,3127
14,2023-10-13,23.53,23.68,23.25,23.36,207079.0,23.408,1518
15,2023-10-16,23.34,24.37,23.14,23.88,279823.0,23.958,1722
16,2023-10-17,23.51,24.27,23.39,23.67,249108.0,23.787,1924
17,2023-10-18,23.67,23.74,22.77,22.99,579886.0,23.073,3099
18,2023-10-19,22.98,23.13,22.35,22.51,709626.0,22.652,4359
19,2023-10-20,22.35,22.69,21.85,22.39,529610.0,22.329,3515
20,2023-10-23,22.12,22.75,21.63,22.36,308060.0,22.359,2037
21,2023-10-24,22.55,23.23,22.52,23.02,308947.0,22.888,2136
22,2023-10-25,23.01,23.44,21.73,21.78,224291.0,22.005,1602
23,2023-10-26,21.79,22.09,21.44,21.83,370588.0,21.77,2231
24,2023-10-27,22.07,22.31,21.38,21.5,579705.0,21.846,2854
25,2023-10-30,21.84,21.97,21.39,21.45,289604.0,21.656,1656
26,2023-10-31,21.54,22.52,21.45,22.49,286300.0,22.257,1857
27,2023-11-01,22.47,23.0,22.16,22.53,380053.0,22.553,2992
28,2023-11-02,26.19,27.0,25.59,26.26,1332863.0,26.353,7204
29,2023-11-03,26.59,27.11,26.38,26.83,979716.0,26.775,4163
30,2023-11-06,27.0,27.57,26.72,27.46,559728.0,27.26,3180
31,2023-11-07,26.4,28.24,25.97,26.3,1409967.0,26.721,6816
32,2023-11-08,26.27,26.44,25.39,26.38,835616.0,25.983,3940
33,2023-11-09,26.58,26.8,25.83,25.86,694995.0,26.07,3392
34,2023-11-10,25.91,26.15,25.6,26.1,303822.0,26.025,2007
35,2023-11-13,26.1,26.6,26.0,26.51,439862.0,26.377,2814
36,2023-11-14,27.2,27.68,27.05,27.32,617950.0,27.29,3703
37,2023-11-15,27.3,27.77,27.19,27.37,407675.0,27.462,2859
38,2023-11-16,27.31,27.31,26.59,27.03,324475.0,26.925,2228
39,2023-11-17,27.26,27.39,26.37,26.56,369364.0,26.674,2979
40,2023-11-20,26.45,27.19,26.36,27.04,462593.0,26.988,3151
41,2023-11-21,26.93,26.93,26.23,26.83,320372.0,26.631,2482
42,2023-11-22,26.9,26.99,26.45,26.88,510358.0,26.794,3247
43,2023-11-24,26.78,26.92,26.62,26.8,101228.0,26.792,719
44,2023-11-27,26.67,27.54,26.41,27.1,409305.0,27.221,2468
45,2023-11-28,27.13,27.5,26.84,26.95,413745.0,27.144,2702
46,2023-11-29,27.25,27.59,26.94,27.06,472567.0,27.247,2806
47,2023-11-30,27.15,27.36,26.44,26.98,234055.0,26.817,1516
48,2023-12-01,26.93,28.38,26.84,28.29,670236.0,27.765,3785
49,2023-12-04,28.05,28.6,27.66,28.22,517949.0,28.141,3078
50,2023-12-05,28.43,29.17,28.05,29.11,513526.0,28.868,3135
51,2023-12-06,29.0,29.47,28.66,29.25,777516.0,29.11,3658
52,2023-12-07,29.02,29.88,29.01,29.08,716297.0,29.439,3704
53,2023-12-08,29.08,30.08,28.82,29.77,672155.0,29.864,3363
54,2023-12-11,29.51,30.35,29.27,30.18,443872.0,29.873,2350
55,2023-12-12,30.23,30.38,29.91,30.2,340445.0,30.17,1745
56,2023-12-13,30.1,30.97,29.58,30.83,1015412.0,30.406,3201
57,2023-12-14,31.44,32.21,30.6,31.22,444001.0,31.491,2670
58,2023-12-15,31.28,31.58,30.73,31.55,468183.0,31.129,2985
59,2023-12-18,31.61,32.37,31.44,31.63,334492.0,31.901,2433
60,2023-12-19,31.8,32.43,31.72,32.35,317230.0,32.176,2220
61,2023-12-20,32.22,32.48,31.78,31.83,434137.0,32.124,2782
62,2023-12-21,33.52,35.01,33.21,34.93,1828680.0,34.438,8737
63,2023-12-22,35.0,35.02,34.25,34.68,512377.0,34.673,3378
64,2023-12-26,34.61,35.35,34.61,34.92,508412.0,35.057,3238
65,2023-12-27,34.99,35.07,34.55,34.7,209870.0,34.702,1231
66,2023-12-28,34.74,35.22,34.5,34.88,209856.0,34.921,1143
67,2023-12-29,34.84,35.02,34.57,34.61,356641.0,34.802,2302
68,2024-01-02,34.08,34.21,33.27,33.52,599351.0,33.651,3428
69,2024-01-03,33.11,33.22,31.84,32.05,358475.0,32.355,2386
70,2024-01-04,31.88,32.09,31.25,31.45,223298.0,31.607,1639
71,2024-01-05,31.26,31.75,31.13,31.3,193219.0,31.405,1360
72,2024-01-08,31.34,32.34,31.34,32.2,230127.0,32.116,1531
73,2024-01-09,31.99,33.29,31.91,33.06,223930.0,32.888,1410
74,2024-01-10,33.2,34.21,33.2,33.68,579177.0,33.789,3998
75,2024-01-11,33.6,34.25,33.21,33.33,238392.0,33.448,1105
76,2024-01-12,33.55,33.84,32.8,32.98,197025.0,33.041,1103
77,2024-01-16,33.14,33.55,32.95,33.21,289111.0,33.152,1756
78,2024-01-17,32.74,33.08,32.2,33.01,262271.0,32.784,1586
79,2024-01-18,33.6,33.89,32.94,33.28,416382.0,33.224,2563
80,2024-01-19,33.52,34.11,32.96,33.94,547348.0,33.566,2286
81,2024-01-22,34.53,34.98,33.57,34.24,447366.0,34.294,1580
82,2024-01-23,34.45,35.0,34.0,34.19,307230.0,34.386,1861
83,2024-01-24,34.73,34.78,33.39,33.48,413360.0,33.828,2418
84,2024-01-25,34.05,34.05,33.05,33.18,466749.0,33.282,2841
85,2024-01-26,33.25,33.62,32.83,32.9,379131.0,33.215,2617
86,2024-01-29,32.9,33.69,32.9,33.69,707809.0,33.437,4673
