,date,open,high,low,close,volume,average,barCount
0,2023-09-25,2.86,2.86,2.8,2.81,2218158.0,2.82136,3838
1,2023-09-26,2.8,2.8,2.68,2.69,2420599.0,2.72297,3850
2,2023-09-27,2.68,2.76,2.63,2.67,2414308.0,2.66462,3661
3,2023-09-28,2.67,2.74,2.66,2.73,2265514.0,2.70437,4799
4,2023-09-29,2.82,2.84,2.67,2.72,2504956.0,2.73106,4163
5,2023-10-02,2.68,2.685,2.6,2.64,1933490.0,2.63371,3514
6,2023-10-03,2.6,2.69,2.6,2.67,2248489.0,2.65455,4564
7,2023-10-04,2.69,2.69,2.58,2.64,2525341.0,2.62577,4356
8,2023-10-05,2.67,2.8,2.6559,2.74,2373851.0,2.74358,4321
9,2023-10-06,2.76,2.85,2.75,2.81,2738783.0,2.80764,4259
10,2023-10-09,2.87,2.89,2.82,2.84,1609849.0,2.84544,3226
11,2023-10-10,2.85,2.89,2.8,2.83,2184531.0,2.84485,4119
12,2023-10-11,2.87,2.9,2.82,2.89,3813155.0,2.85118,7137
13,2023-10-12,2.9,2.925,2.74,2.78,3608390.0,2.78832,5778
14,2023-10-13,2.9,3.01,2.885,2.94,5481807.0,2.95347,8876
15,2023-10-16,2.93,3.0,2.9,2.95,3181608.0,2.9602,4837
16,2023-10-17,2.95,3.05,2.92,3.03,3711018.0,3.01755,7688
17,2023-10-18,3.08,3.14,3.02,3.06,5024954.0,3.0685,10841
18,2023-10-19,3.04,3.07,2.99,3.05,3349358.0,3.03154,5911
19,2023-10-20,3.08,3.16,3.03,3.04,4401014.0,3.09671,6828
20,2023-10-23,3.01,3.05,2.88,2.98,3554779.0,2.98294,6608
21,2023-10-24,2.94,2.99,2.92,2.94,2084839.0,2.94735,3814
22,2023-10-25,2.91,2.98,2.88,2.88,2670397.0,2.93109,5488
23,2023-10-26,2.87,2.9,2.8,2.83,4294317.0,2.84265,6953
24,2023-10-27,2.83,2.89,2.7801,2.89,3058544.0,2.84829,5019
25,2023-10-30,2.99,3.0,2.86,2.88,3295987.0,2.90838,5436
26,2023-10-31,2.89,2.95,2.795,2.81,3368858.0,2.86024,5000
27,2023-11-01,2.86,2.87,2.73,2.8,3780973.0,2.78385,5286
28,2023-11-02,2.85,2.85,2.77,2.84,3332055.0,2.81106,5560
29,2023-11-03,2.88,3.06,2.875,3.02,4521019.0,2.99015,7502
30,2023-11-06,3.03,3.03,2.91,2.91,2863129.0,2.95693,5574
31,2023-11-07,2.9,2.9,2.77,2.89,4273413.0,2.85378,7807
