,date,open,high,low,close,volume,average,barCount
0,2023-09-25,58.59,60.03,58.59,59.51,131082.0,59.616,867
1,2023-09-26,59.21,59.53,58.86,59.16,141613.0,59.125,856
2,2023-09-27,59.51,61.22,59.51,60.47,86268.0,60.688,712
3,2023-09-28,60.33,61.77,60.33,60.44,153396.0,61.02,912
4,2023-09-29,60.74,60.74,59.6,59.73,169920.0,59.874,1256
5,2023-10-02,59.63,60.11,59.3,59.62,121742.0,59.604,710
6,2023-10-03,59.44,59.84,58.81,58.89,79956.0,59.13,606
7,2023-10-04,59.13,59.83,58.67,59.78,49296.0,59.391,411
8,2023-10-05,59.83,60.43,59.04,59.04,90055.0,59.362,750
9,2023-10-06,59.07,61.55,58.87,60.87,167841.0,60.687,1364
10,2023-10-09,60.65,61.15,59.98,61.07,108061.0,60.686,484
11,2023-10-10,61.33,62.19,61.2,61.21,72516.0,61.574,433
12,2023-10-11,61.2,62.15,61.06,62.11,71771.0,61.722,512
13,2023-10-12,62.28,62.35,61.17,61.93,75301.0,61.733,502
14,2023-10-13,62.0,62.2,60.17,60.2,116770.0,60.936,721
15,2023-10-16,60.9,61.4,60.48,60.87,79460.0,60.857,656
16,2023-10-17,60.46,62.05,60.46,61.9,86430.0,61.617,629
17,2023-10-18,61.35,61.35,59.33,59.34,83740.0,59.851,466
18,2023-10-19,59.08,60.23,57.68,57.79,83686.0,58.702,663
19,2023-10-20,57.79,58.5,57.67,58.08,168405.0,58.107,1174
20,2023-10-23,58.06,58.21,57.09,57.15,63706.0,57.57,453
21,2023-10-24,57.67,57.81,57.08,57.77,33051.0,57.554,273
22,2023-10-25,57.42,58.58,57.42,58.33,115372.0,58.16,827
23,2023-10-26,58.39,58.81,57.75,57.91,198547.0,58.251,982
24,2023-10-27,57.76,57.87,57.05,57.27,52204.0,57.346,388
25,2023-10-30,57.98,58.4,57.63,58.08,50075.0,58.085,374
26,2023-10-31,57.84,58.25,57.29,58.04,75152.0,57.849,594
27,2023-11-01,57.92,58.44,57.41,57.87,192057.0,57.815,1311
28,2023-11-02,60.17,63.75,60.09,63.25,356735.0,62.567,2474
29,2023-11-03,64.26,64.91,62.96,64.35,115387.0,64.239,945
30,2023-11-06,64.66,64.66,63.83,64.48,125676.0,64.219,900
31,2023-11-07,64.17,64.81,63.2,63.96,98076.0,63.778,770
32,2023-11-08,63.85,63.88,62.99,63.85,100818.0,63.544,797
33,2023-11-09,64.05,65.12,63.81,64.71,194197.0,64.673,1476
34,2023-11-10,65.15,65.68,64.37,65.52,107539.0,65.281,816
35,2023-11-13,65.34,66.48,65.23,65.43,98646.0,65.924,659
36,2023-11-14,66.44,68.61,66.04,68.54,229766.0,67.757,1577
37,2023-11-15,68.47,69.75,68.47,69.17,193736.0,69.167,1519
38,2023-11-16,69.2,69.6,68.31,68.56,119768.0,68.678,857
39,2023-11-17,69.07,69.32,68.43,69.11,138670.0,68.949,720
40,2023-11-20,69.18,70.38,68.57,70.33,150739.0,69.879,1178
41,2023-11-21,70.04,70.04,68.86,69.3,75928.0,69.469,561
42,2023-11-22,69.68,69.68,68.87,69.56,80991.0,69.376,632
43,2023-11-24,69.64,70.36,69.64,69.99,22516.0,70.0,185
44,2023-11-27,69.71,70.37,69.71,69.99,61395.0,70.054,485
45,2023-11-28,69.92,69.92,68.43,68.45,82969.0,69.045,634
46,2023-11-29,69.0,69.4,68.23,68.28,84737.0,68.617,612
47,2023-11-30,68.43,69.11,68.02,68.94,116582.0,68.84,848
48,2023-12-01,68.69,70.24,68.45,70.06,119368.0,69.672,819
49,2023-12-04,69.61,70.66,69.61,70.29,145086.0,70.177,1162
50,2023-12-05,70.0,70.17,69.3,69.46,47171.0,69.59,387
51,2023-12-06,69.97,71.0,69.47,69.5,73879.0,69.982,530
52,2023-12-07,69.52,71.19,69.36,71.13,68984.0,70.614,557
53,2023-12-08,70.92,72.59,70.89,72.41,118533.0,72.1,834
54,2023-12-11,72.57,73.69,72.57,73.12,132300.0,73.139,1037
55,2023-12-12,73.15,74.32,72.75,73.76,83188.0,73.656,664
56,2023-12-13,74.05,75.18,72.64,74.89,134784.0,74.11,972
57,2023-12-14,75.78,76.88,75.12,76.67,136252.0,76.291,927
58,2023-12-15,76.83,76.83,75.32,76.0,239680.0,76.42,958
59,2023-12-18,76.25,76.48,75.37,75.63,100763.0,75.767,853
60,2023-12-19,76.21,77.78,76.21,77.38,172654.0,77.12,1232
61,2023-12-20,77.29,78.34,75.57,75.78,113790.0,76.986,927
62,2023-12-21,76.57,76.95,75.83,76.26,129757.0,76.304,926
63,2023-12-22,76.78,77.36,76.05,76.84,61341.0,76.951,487
64,2023-12-26,76.89,78.53,76.89,77.84,95940.0,78.092,732
65,2023-12-27,77.78,78.54,77.28,77.68,85803.0,77.597,678
66,2023-12-28,77.34,77.81,77.05,77.36,60473.0,77.443,464
67,2023-12-29,77.21,77.29,76.5,76.74,92555.0,76.844,649
68,2024-01-02,75.66,77.17,74.63,75.28,173617.0,75.844,1064
69,2024-01-03,75.06,75.61,73.0,73.26,164850.0,73.792,1351
70,2024-01-04,73.41,73.81,72.49,72.72,100733.0,73.031,758
