,date,open,high,low,close,volume,average,barCount
0,2023-09-25,5.89,6.05,5.875,6.04,1196788.0,5.99002,3304
1,2023-09-26,5.99,6.05,5.8,5.81,1809019.0,5.89977,5882
2,2023-09-27,5.86,5.91,5.78,5.85,1285300.0,5.85405,5071
3,2023-09-28,5.84,5.99,5.835,5.95,1639054.0,5.92583,5210
4,2023-09-29,5.95,5.98,5.82,5.86,1485712.0,5.8841,5579
5,2023-10-02,5.86,5.95,5.82,5.94,2352885.0,5.89974,7807
6,2023-10-03,5.9,5.945,5.68,5.7,3521695.0,5.78604,8841
7,2023-10-04,5.7,5.91,5.67,5.88,2566445.0,5.80423,7000
8,2023-10-05,5.8,5.93,5.79,5.9,1709434.0,5.88031,5667
9,2023-10-06,5.88,5.935,5.76,5.8,1443165.0,5.82236,5560
10,2023-10-09,5.8,5.94,5.8,5.85,1086573.0,5.85951,4255
11,2023-10-10,5.87,5.91,5.78,5.78,1487581.0,5.82478,6089
12,2023-10-11,5.86,6.02,5.85,6.02,1564117.0,5.96006,5106
13,2023-10-12,6.08,6.175,6.0,6.14,2662923.0,6.11087,8080
14,2023-10-13,6.19,6.265,5.98,6.01,1918568.0,6.09483,6366
15,2023-10-16,6.08,6.2,6.055,6.14,1725569.0,6.1364,6457
16,2023-10-17,6.1,6.22,6.09,6.13,2465916.0,6.17034,8520
17,2023-10-18,6.15,6.165,6.045,6.08,1696600.0,6.09476,6479
18,2023-10-19,6.07,6.07,5.83,5.84,1371032.0,5.92953,5156
19,2023-10-20,5.84,5.94,5.72,5.79,1839429.0,5.80054,6689
20,2023-10-23,5.75,5.81,5.64,5.78,1775682.0,5.75215,5927
21,2023-10-24,5.79,5.93,5.79,5.89,1253488.0,5.88419,5119
22,2023-10-25,5.86,5.96,5.86,5.93,1667764.0,5.92255,5718
23,2023-10-26,5.97,6.03,5.85,5.96,1758044.0,5.93971,6271
24,2023-10-27,5.94,5.95,5.76,5.81,1566893.0,5.81969,5949
25,2023-10-30,5.89,5.98,5.83,5.93,2342377.0,5.91721,7901
26,2023-10-31,5.925,6.02,5.92,5.99,1122037.0,5.9857,4364
27,2023-11-01,6.02,6.07,5.945,6.04,1374118.0,6.01523,5453
28,2023-11-02,6.07,6.125,6.03,6.09,1226936.0,6.06918,4845
29,2023-11-03,6.15,6.26,6.14,6.2,1690935.0,6.21527,6134
30,2023-11-06,6.2,6.235,6.1,6.15,1031513.0,6.15601,4712
31,2023-11-07,6.12,6.12,6.015,6.09,874584.0,6.07254,4236
32,2023-11-08,6.09,6.12,5.96,6.0,822361.0,6.00586,3854
33,2023-11-09,5.83,5.83,5.325,5.51,4442545.0,5.48547,14664
34,2023-11-10,5.54,5.74,5.48,5.5,1956660.0,5.54719,8866
35,2023-11-13,5.47,5.6481,5.47,5.61,3175006.0,5.6047,8943
36,2023-11-14,5.74,5.89,5.66,5.87,3242713.0,5.8172,11192
37,2023-11-15,5.88,5.955,5.83,5.83,1469943.0,5.88454,5184
38,2023-11-16,5.85,5.885,5.735,5.77,1336247.0,5.77881,5048
39,2023-11-17,5.81,5.91,5.77,5.78,1794061.0,5.82107,4887
40,2023-11-20,5.77,5.93,5.77,5.88,1307495.0,5.88636,4301
