,date,open,high,low,close,volume,average,barCount
0,2023-10-06,13.53,14.13,13.37,14.02,711143.0,13.844,4198
1,2023-10-09,13.84,14.08,13.76,14.02,353727.0,13.964,2019
2,2023-10-10,14.1,14.37,13.9,13.9,498693.0,14.109,3006
3,2023-10-11,13.84,14.2,13.83,14.06,473487.0,14.048,3251
4,2023-10-12,14.02,14.02,13.17,13.21,1250627.0,13.357,7055
5,2023-10-13,13.19,13.29,12.76,12.92,1202187.0,12.936,6527
6,2023-10-16,13.04,13.05,12.69,12.83,882885.0,12.875,5823
7,2023-10-17,12.7,13.39,12.68,13.35,934130.0,13.222,5600
8,2023-10-18,13.23,13.24,12.66,12.72,1020197.0,12.838,6139
9,2023-10-19,11.99,12.36,11.48,12.16,3011063.0,11.907,12926
10,2023-10-20,12.06,12.3,11.98,12.16,688452.0,12.14,3969
11,2023-10-23,12.07,12.35,11.91,12.17,562997.0,12.153,2947
12,2023-10-24,12.37,12.48,12.04,12.09,971443.0,12.172,5533
13,2023-10-25,12.0,12.16,11.9,12.01,1258060.0,11.995,6260
14,2023-10-26,12.04,12.15,11.28,11.34,1436205.0,11.505,7810
15,2023-10-27,11.53,11.54,11.2,11.32,846824.0,11.308,5699
16,2023-10-30,11.4,11.54,11.1,11.19,1698175.0,11.245,8614
17,2023-10-31,11.12,11.22,10.87,11.1,2325418.0,11.09,10354
18,2023-11-01,10.43,10.82,9.8,10.13,4400724.0,10.088,20780
19,2023-11-02,10.32,10.44,10.14,10.27,2272174.0,10.288,13790
20,2023-11-03,10.42,10.57,10.22,10.4,2958439.0,10.435,15007
21,2023-11-06,10.5,10.52,10.07,10.11,1872191.0,10.217,9387
22,2023-11-07,10.06,10.4,9.96,10.39,2200965.0,10.283,11516
23,2023-11-08,10.4,10.88,10.24,10.64,1512456.0,10.662,8269
24,2023-11-09,10.66,10.87,10.26,10.28,924220.0,10.502,4803
25,2023-11-10,10.21,10.34,9.96,10.13,3161110.0,10.067,11512
26,2023-11-13,10.1,10.17,9.91,10.02,1168765.0,10.034,6472
27,2023-11-14,10.33,10.79,10.3,10.71,1832799.0,10.656,9271
28,2023-11-15,10.77,11.33,10.77,11.01,1325486.0,11.105,6996
29,2023-11-16,10.89,10.99,10.38,10.51,1103342.0,10.586,6204
30,2023-11-17,10.67,10.92,10.62,10.84,1008977.0,10.795,4843
31,2023-11-20,11.04,11.13,10.73,10.85,1032194.0,10.843,5240
32,2023-11-21,10.77,10.86,10.57,10.63,624676.0,10.669,3330
33,2023-11-22,10.81,10.9,10.57,10.64,790704.0,10.738,4101
34,2023-11-24,10.65,10.86,10.65,10.69,366615.0,10.753,2242
35,2023-11-27,10.7,10.73,10.48,10.65,789391.0,10.634,4263
36,2023-11-28,10.65,10.93,10.5,10.85,786436.0,10.797,3939
37,2023-11-29,10.99,11.28,10.96,10.99,1402061.0,11.068,7360
38,2023-11-30,11.01,11.12,10.73,11.1,1187068.0,11.029,6505
39,2023-12-01,11.14,11.79,10.97,11.73,1821844.0,11.6,7767
