,date,open,high,low,close,volume,average,barCount
0,2023-10-06,55.72,56.4,52.59,55.12,333474.0,53.90483,2153
1,2023-10-09,54.75,59.645,54.5,58.0,997794.0,57.59722,5096
2,2023-10-10,57.42,62.16,57.42,61.68,980993.0,59.76943,2859
3,2023-10-11,63.28,64.105,61.69,62.48,1220786.0,62.84452,5166
4,2023-10-12,62.14,66.68,61.95,65.39,1125478.0,64.54166,4964
5,2023-10-13,67.79,67.83,64.5,65.05,608836.0,65.45706,4117
6,2023-10-16,65.15,66.5,63.245,66.05,444983.0,64.97418,2523
7,2023-10-17,67.33,68.03,64.595,64.98,324556.0,65.71497,2506
8,2023-10-18,65.99,66.17,63.21,65.86,605135.0,65.42518,2781
9,2023-10-19,66.56,67.23,64.3113,66.96,347426.0,66.07665,2272
10,2023-10-20,67.13,69.1,65.965,67.52,394944.0,67.42212,2417
11,2023-10-23,66.02,68.645,64.276,67.52,341149.0,67.13829,1617
12,2023-10-24,67.5,69.96,65.17,68.76,162291.0,68.84494,1133
13,2023-10-25,68.94,68.96,66.73,67.61,500851.0,67.76706,2664
14,2023-10-26,68.85,70.6999,67.8,70.0,539769.0,69.78071,3386
15,2023-10-27,69.0,69.79,65.5701,68.17,571404.0,67.52712,3456
16,2023-10-30,69.65,71.48,67.31,69.69,209932.0,69.07705,1302
17,2023-10-31,69.8,74.43,68.0101,74.3,802656.0,70.71716,2568
18,2023-11-01,75.0,75.0167,72.181,73.87,341863.0,73.30067,2058
19,2023-11-02,73.55,74.2051,71.0,71.87,446175.0,72.40607,2164
20,2023-11-03,72.6,72.75,69.13,69.88,284559.0,70.79912,1268
21,2023-11-06,69.88,70.515,67.09,68.52,270544.0,69.41175,1427
22,2023-11-07,68.96,71.91,67.0251,70.68,247607.0,70.36721,1663
23,2023-11-08,70.9,72.16,69.37,70.39,154663.0,70.79235,1003
24,2023-11-09,69.86,69.87,56.555,56.67,1509708.0,60.28903,5219
25,2023-11-10,56.94,57.46,52.36,54.87,1070230.0,54.22408,5853
26,2023-11-13,54.0,55.65,52.99,54.67,607758.0,54.21203,3634
27,2023-11-14,54.45,55.7599,53.1,53.59,333028.0,54.07801,2185
28,2023-11-15,54.09,56.38,47.83,48.32,895614.0,50.70715,5363
29,2023-11-16,48.1,48.37,42.25,47.95,1900704.0,45.85134,10089
30,2023-11-17,46.77,53.96,46.72,53.77,727279.0,52.3691,4589
31,2023-11-20,54.67,56.01,51.547,53.46,419313.0,53.23311,2834
32,2023-11-21,53.44,54.88,50.87,51.33,204720.0,52.25234,1404
33,2023-11-22,51.42,52.25,50.44,51.37,214059.0,51.27108,1434
34,2023-11-24,50.97,53.15,50.97,51.52,56805.0,52.3004,436
35,2023-11-27,52.0,52.485,50.38,52.4,264096.0,51.81987,1259
36,2023-11-28,52.59,54.09,51.79,54.09,248099.0,52.85713,1567
37,2023-11-29,53.79,53.94,49.78,52.48,628440.0,51.81829,3432
38,2023-11-30,53.42,57.6153,51.5501,55.69,551046.0,55.3752,3151
39,2023-12-01,58.65,60.05,56.25,59.57,769492.0,58.44832,3608
40,2023-12-04,59.78,66.38,59.58,64.17,787887.0,64.13382,4363
41,2023-12-05,63.03,64.45,61.5,61.5,337457.0,62.60736,2088
42,2023-12-06,62.9,63.3,60.38,60.73,333746.0,61.27989,2013
43,2023-12-07,61.48,62.61,59.59,59.86,262207.0,60.46347,1563
44,2023-12-08,59.91,62.85,58.94,61.87,246464.0,60.93964,1286
45,2023-12-11,62.13,62.2,57.7,58.78,272149.0,59.82204,1733
46,2023-12-12,59.85,60.145,56.06,56.7,403037.0,57.39901,2589
47,2023-12-13,56.5,59.72,54.17,59.6,328653.0,57.53442,2170
48,2023-12-14,60.0,60.96,57.88,58.59,611074.0,58.98753,2642
49,2023-12-15,59.04,60.0,56.63,59.16,602523.0,57.67943,3360
50,2023-12-18,31.9,40.2999,26.61,33.83,11675367.0,33.58975,47732
51,2023-12-19,33.16,38.695,33.1,37.23,1831024.0,36.60393,10525
52,2023-12-20,37.22,39.38,32.88,32.99,1496864.0,35.89183,8241
