,date,open,high,low,close,volume,average,barCount
0,2023-09-25,41.28,42.21,41.28,42.06,120465.0,41.93,899
1,2023-09-26,41.75,42.4,41.21,41.57,161685.0,41.634,1203
2,2023-09-27,42.2,42.57,41.26,41.67,99187.0,41.894,626
3,2023-09-28,41.69,43.0,41.66,42.44,92455.0,42.471,694
4,2023-09-29,42.93,43.07,41.02,41.51,101683.0,41.591,709
5,2023-10-02,41.24,42.08,40.4,40.95,231071.0,40.976,1630
6,2023-10-03,40.65,40.88,39.69,40.26,159279.0,40.189,1183
7,2023-10-04,40.38,41.04,39.86,40.92,197841.0,40.688,1400
8,2023-10-05,40.81,41.12,40.1,40.38,214856.0,40.467,1679
9,2023-10-06,39.82,41.07,39.29,40.65,152279.0,40.447,1191
10,2023-10-09,40.42,41.38,39.84,41.18,202629.0,40.966,1509
11,2023-10-10,41.5,42.62,41.22,41.27,168696.0,41.827,1284
12,2023-10-11,41.57,42.45,40.74,41.73,160000.0,41.463,1218
13,2023-10-12,41.8,41.8,39.47,39.9,300978.0,40.113,1800
14,2023-10-13,40.67,41.03,39.57,40.22,270679.0,40.163,1783
15,2023-10-16,40.8,40.99,39.37,39.93,212420.0,40.012,1367
16,2023-10-17,39.9,40.94,39.71,40.73,164069.0,40.544,1076
17,2023-10-18,40.18,40.51,39.48,39.59,154271.0,39.881,1105
18,2023-10-19,39.85,39.87,38.38,38.48,215955.0,38.963,1572
19,2023-10-20,38.69,38.91,37.89,38.19,233148.0,38.43,1666
20,2023-10-23,38.05,39.39,37.94,38.85,204373.0,38.88,1521
21,2023-10-24,38.95,39.71,38.54,39.4,194817.0,39.245,1523
22,2023-10-25,39.21,39.47,38.45,38.79,138344.0,38.893,977
23,2023-10-26,39.06,39.68,38.36,38.56,190766.0,38.915,1568
24,2023-10-27,38.84,39.07,37.97,38.36,132739.0,38.377,1059
25,2023-10-30,38.77,39.13,37.8,38.26,151062.0,38.243,1139
26,2023-10-31,37.33,38.95,37.33,38.7,281763.0,38.459,1768
27,2023-11-01,38.5,41.61,37.31,41.48,527224.0,40.562,3514
28,2023-11-02,42.1,44.01,42.1,42.7,320074.0,42.822,2260
29,2023-11-03,44.4,45.69,44.1,44.89,310106.0,45.01,2065
30,2023-11-06,44.28,44.45,43.0,43.37,219974.0,43.446,1286
31,2023-11-07,43.06,44.32,43.06,44.07,213611.0,43.946,1534
