,date,open,high,low,close,volume,average,barCount
0,2023-10-06,146.31,151.66,144.82,151.16,514653.0,148.406,3647
1,2023-10-09,149.25,155.33,149.22,154.12,173455.0,153.287,1327
2,2023-10-10,155.61,159.43,155.22,158.01,173591.0,158.048,1348
3,2023-10-11,158.82,164.68,156.92,164.62,266335.0,162.18,2313
4,2023-10-12,165.09,165.09,156.41,160.33,203671.0,159.915,1544
5,2023-10-13,160.95,161.97,155.67,157.39,196879.0,157.299,1509
6,2023-10-16,160.21,163.25,158.13,159.32,114312.0,160.193,898
7,2023-10-17,157.73,167.95,155.56,166.17,220382.0,165.855,1319
8,2023-10-18,162.46,163.52,159.86,159.87,152615.0,161.125,1134
9,2023-10-19,158.54,160.0,154.22,155.04,189355.0,157.215,1286
10,2023-10-20,154.3,154.53,150.11,150.31,124548.0,151.889,923
11,2023-10-23,149.05,151.63,148.05,148.29,129073.0,149.528,1011
12,2023-10-24,151.34,153.48,149.23,150.83,130672.0,150.875,1066
13,2023-10-25,148.82,150.0,146.65,146.7,182233.0,148.04,865
14,2023-10-26,147.43,149.69,145.82,146.58,255413.0,147.091,1905
15,2023-10-27,138.46,142.54,109.48,110.12,3258692.0,116.536,18724
16,2023-10-30,114.52,123.38,114.4,121.33,1118188.0,118.852,6987
17,2023-10-31,123.83,123.83,115.27,116.23,489230.0,117.215,3764
18,2023-11-01,114.84,117.57,111.82,114.84,518106.0,113.926,3488
19,2023-11-02,119.99,122.61,117.56,122.33,428892.0,120.204,3136
20,2023-11-03,124.99,128.45,121.77,122.5,438572.0,124.521,2546
21,2023-11-06,123.31,123.7,119.23,119.86,198416.0,120.414,1538
22,2023-11-07,118.5,119.0,114.88,116.95,285768.0,117.028,2078
23,2023-11-08,116.61,119.15,115.74,118.35,235412.0,117.774,1511
24,2023-11-09,120.17,120.17,114.98,116.31,244220.0,117.295,1530
25,2023-11-10,117.04,117.52,112.65,115.01,455642.0,114.242,3122
26,2023-11-13,114.25,116.81,113.99,114.4,882210.0,114.568,3131
27,2023-11-14,118.71,126.11,118.71,124.55,419888.0,124.217,3222
28,2023-11-15,124.89,129.85,124.89,125.93,589923.0,126.372,2259
29,2023-11-16,124.61,125.37,119.91,121.49,245528.0,121.837,1906
30,2023-11-17,123.58,125.72,122.61,125.69,413947.0,124.846,3219
31,2023-11-20,126.12,128.84,124.97,127.28,288172.0,127.001,2107
32,2023-11-21,126.26,130.06,124.86,128.65,351700.0,128.562,2816
33,2023-11-22,129.76,132.81,127.49,132.75,310511.0,131.045,2382
34,2023-11-24,132.42,135.35,131.59,133.74,167545.0,134.262,1353
35,2023-11-27,132.62,133.99,130.33,131.64,271541.0,132.167,2271
36,2023-11-28,130.0,130.82,125.0,125.4,407992.0,126.695,3147
37,2023-11-29,127.15,128.91,125.99,126.57,335574.0,127.238,2477
38,2023-11-30,127.69,132.24,125.89,130.03,308297.0,129.829,2117
39,2023-12-01,129.67,135.14,129.32,134.84,387883.0,133.545,3127
40,2023-12-04,133.64,137.02,132.04,132.65,239731.0,134.345,1711
41,2023-12-05,131.64,131.64,125.04,125.83,441960.0,126.658,2818
42,2023-12-06,127.68,129.31,121.69,121.74,274226.0,124.679,2173
43,2023-12-07,122.0,125.8,121.54,124.41,685735.0,124.449,1460
44,2023-12-08,124.26,126.16,121.28,123.63,221715.0,123.704,1670
45,2023-12-11,123.34,127.44,122.68,126.63,254841.0,126.061,1932
46,2023-12-12,125.89,125.93,121.09,121.98,437954.0,122.716,2608
