,date,open,high,low,close,volume,average,barCount
0,2023-10-06,88.22,92.6,88.19,91.46,291630.0,91.348,2101
1,2023-10-09,90.17,91.91,89.74,91.48,183345.0,91.197,1489
2,2023-10-10,91.26,92.68,91.26,91.56,174153.0,91.886,1147
3,2023-10-11,91.61,92.91,90.96,92.24,201431.0,92.02,1204
4,2023-10-12,92.39,92.39,90.03,90.33,172514.0,90.969,1203
5,2023-10-13,90.32,90.35,88.62,89.28,170296.0,89.188,1330
6,2023-10-16,89.58,91.37,89.12,90.63,168118.0,90.71,1089
7,2023-10-17,89.87,92.12,89.46,91.71,138034.0,91.509,1047
8,2023-10-18,91.34,92.19,90.17,90.24,495608.0,90.901,3030
9,2023-10-19,90.96,91.32,88.4,89.07,206255.0,89.451,1635
10,2023-10-20,89.25,89.34,86.34,87.51,186103.0,87.824,1171
11,2023-10-23,86.73,88.37,86.0,87.29,166830.0,87.416,1231
12,2023-10-24,88.12,89.88,88.08,89.43,158074.0,89.139,1240
13,2023-10-25,88.79,89.13,86.11,86.23,169905.0,87.214,1286
14,2023-10-26,86.29,87.15,85.15,86.13,164859.0,86.01,1238
15,2023-10-27,86.35,86.79,85.47,85.99,160490.0,85.937,1258
16,2023-10-30,86.87,87.26,85.85,86.76,224078.0,86.705,1754
17,2023-10-31,87.08,90.27,86.49,90.13,410614.0,89.396,3191
18,2023-11-01,90.12,90.19,87.88,89.31,244267.0,89.15,1842
19,2023-11-02,91.2,91.89,89.35,89.92,242748.0,90.012,1851
20,2023-11-03,90.65,91.98,90.03,91.45,327199.0,91.397,2449
21,2023-11-06,92.27,92.27,89.08,90.3,171331.0,90.061,1331
22,2023-11-07,91.52,95.09,90.86,92.38,564441.0,93.025,3634
23,2023-11-08,92.67,93.22,91.7,92.26,223839.0,92.166,1671
24,2023-11-09,92.36,92.36,89.36,89.6,252099.0,90.446,1877
25,2023-11-10,89.74,91.31,89.42,91.09,344060.0,90.519,2606
26,2023-11-13,90.77,92.57,90.5,91.63,226976.0,91.703,1806
27,2023-11-14,94.55,96.91,94.51,96.64,403975.0,96.143,3011
28,2023-11-15,97.2,98.78,97.2,97.42,580630.0,97.857,3315
29,2023-11-16,96.91,96.97,94.97,96.45,226912.0,96.02,1717
30,2023-11-17,96.39,96.89,96.02,96.83,135114.0,96.564,1102
31,2023-11-20,97.15,98.44,97.15,98.18,205670.0,97.972,1641
32,2023-11-21,97.75,98.68,96.95,97.79,154274.0,97.702,1137
33,2023-11-22,98.49,98.66,97.07,97.12,103143.0,97.617,841
34,2023-11-24,96.85,97.32,96.54,97.28,74222.0,96.995,596
35,2023-11-27,96.76,98.29,96.76,97.63,228849.0,97.854,1834
36,2023-11-28,97.18,97.9,96.76,97.33,174400.0,97.166,1047
37,2023-11-29,99.68,101.37,98.97,99.52,404050.0,99.768,2039
38,2023-11-30,100.0,100.23,98.7,99.94,272439.0,99.51,1962
