,date,open,high,low,close,volume,average,barCount
0,2023-10-06,3.73,3.86,3.68,3.84,4679080.0,3.805,14614
1,2023-10-09,3.81,3.88,3.75,3.79,3541959.0,3.807,12359
2,2023-10-10,3.81,3.99,3.79,3.92,5758468.0,3.921,16318
3,2023-10-11,3.94,3.99,3.91,3.98,3668185.0,3.962,12002
4,2023-10-12,3.98,3.98,3.82,3.88,4545413.0,3.888,14425
5,2023-10-13,3.89,4.0,3.86,3.96,4024810.0,3.944,11357
6,2023-10-16,4.01,4.22,4.0,4.17,5477723.0,4.158,12481
7,2023-10-17,4.16,4.47,4.15,4.45,5585104.0,4.403,14178
8,2023-10-18,4.43,4.45,4.35,4.38,5787585.0,4.389,17284
9,2023-10-19,4.35,4.56,4.32,4.44,5176941.0,4.458,14918
10,2023-10-20,4.44,4.49,4.36,4.39,3411025.0,4.413,11906
11,2023-10-23,4.35,4.42,4.22,4.33,4018464.0,4.353,13498
12,2023-10-24,4.38,4.46,4.31,4.33,3395229.0,4.356,12137
13,2023-10-25,4.27,4.38,4.27,4.31,2889232.0,4.33,10339
14,2023-10-26,4.33,4.44,4.23,4.32,5005046.0,4.309,13742
15,2023-10-27,4.36,4.41,4.16,4.17,4180782.0,4.227,16091
16,2023-10-30,4.21,4.31,4.16,4.18,3895636.0,4.204,12135
17,2023-10-31,4.13,4.26,4.11,4.19,3396277.0,4.191,10953
18,2023-11-01,4.19,4.24,4.04,4.11,4653600.0,4.093,15473
19,2023-11-02,4.16,4.43,4.16,4.38,7005674.0,4.374,18759
20,2023-11-03,4.46,4.6,4.46,4.48,4703814.0,4.509,15984
21,2023-11-06,4.45,4.49,4.38,4.42,4921213.0,4.423,15467
22,2023-11-07,4.39,4.47,4.37,4.41,5925992.0,4.418,17165
23,2023-11-08,4.38,4.4,4.19,4.22,7966252.0,4.254,23762
24,2023-11-09,4.2,4.56,3.91,4.0,13405765.0,4.115,36124
25,2023-11-10,4.0,4.08,3.93,4.02,7993009.0,4.026,23547
26,2023-11-13,3.93,3.98,3.73,3.76,8527035.0,3.806,24621
27,2023-11-14,3.93,4.2,3.93,4.16,12481338.0,4.128,26522
28,2023-11-15,4.16,4.44,4.14,4.37,10107502.0,4.377,24301
29,2023-11-16,4.3,4.32,4.1,4.17,3879493.0,4.156,11783
30,2023-11-17,4.25,4.27,4.09,4.1,5807506.0,4.145,14441
31,2023-11-20,4.11,4.11,3.92,4.0,5798301.0,3.991,13614
32,2023-11-21,3.92,3.95,3.87,3.91,7286346.0,3.912,16515
33,2023-11-22,3.89,3.96,3.78,3.78,7499279.0,3.851,13907
34,2023-11-24,3.8,3.84,3.71,3.77,3185201.0,3.751,8077
35,2023-11-27,3.76,3.77,3.66,3.67,7378239.0,3.707,17372
36,2023-11-28,3.67,3.9,3.63,3.86,10985211.0,3.83,25040
37,2023-11-29,3.91,3.93,3.7,3.71,10405520.0,3.775,21204
38,2023-11-30,3.72,3.76,3.58,3.64,8340126.0,3.664,23019
39,2023-12-01,3.63,3.95,3.61,3.95,7724424.0,3.872,17330
40,2023-12-04,3.93,3.98,3.87,3.91,6418874.0,3.916,15779
41,2023-12-05,3.87,3.87,3.74,3.77,7475197.0,3.796,23154
42,2023-12-06,3.78,3.86,3.7,3.72,5772746.0,3.772,16017
43,2023-12-07,3.73,3.91,3.72,3.9,6543521.0,3.849,18898
44,2023-12-08,3.88,3.92,3.79,3.86,5252494.0,3.855,14500
45,2023-12-11,3.88,3.94,3.83,3.87,6609005.0,3.873,19995
46,2023-12-12,3.84,3.85,3.75,3.79,4305385.0,3.802,12684
47,2023-12-13,3.75,4.04,3.71,4.01,7078785.0,3.888,18393
48,2023-12-14,4.06,4.31,4.06,4.21,9996873.0,4.239,24582
49,2023-12-15,4.16,4.18,3.98,4.09,9129427.0,4.064,21230
50,2023-12-18,4.01,4.11,3.97,4.0,5008661.0,4.025,13907
51,2023-12-19,4.04,4.16,4.0,4.13,7253547.0,4.112,17966
52,2023-12-20,4.08,4.11,3.93,3.94,7523180.0,4.037,16469
53,2023-12-21,4.01,4.17,3.95,4.17,6228334.0,4.059,14994
54,2023-12-22,4.03,4.28,3.99,4.23,6356552.0,4.205,13159
55,2023-12-26,4.23,4.47,4.22,4.45,7734980.0,4.39,16133
56,2023-12-27,4.48,4.48,4.36,4.44,6055147.0,4.408,13689
57,2023-12-28,4.4,4.45,4.36,4.44,4721809.0,4.407,10603
58,2023-12-29,4.42,4.5,4.36,4.46,6330575.0,4.423,13371
59,2024-01-02,4.41,4.56,4.34,4.47,4939348.0,4.48,15526
60,2024-01-03,4.38,4.4,4.18,4.2,6392737.0,4.244,15514
61,2024-01-04,4.19,4.27,4.13,4.24,3131651.0,4.216,10298
62,2024-01-05,4.2,4.25,4.03,4.04,7081502.0,4.111,18856
63,2024-01-08,4.0,4.31,4.0,4.24,5180808.0,4.229,14595
64,2024-01-09,4.18,4.28,4.14,4.26,5190742.0,4.229,11858
65,2024-01-10,4.23,4.24,4.12,4.23,3856948.0,4.196,9933
66,2024-01-11,4.19,4.23,4.1,4.19,4071127.0,4.161,11876
67,2024-01-12,4.24,4.34,4.11,4.12,5873759.0,4.167,13869
68,2024-01-16,4.1,4.1,3.97,4.04,4373290.0,4.047,12185
69,2024-01-17,3.97,4.01,3.9,3.96,4922393.0,3.943,10790
70,2024-01-18,3.97,4.0,3.88,3.96,5115737.0,3.926,14091
71,2024-01-19,4.01,4.04,3.88,4.04,3977201.0,3.967,9455
72,2024-01-22,4.03,4.16,4.0,4.13,5941078.0,4.093,13824
73,2024-01-23,4.23,4.29,4.13,4.29,4401177.0,4.21,10829
74,2024-01-24,4.35,4.4,4.27,4.29,4868951.0,4.334,13272
75,2024-01-25,4.34,4.47,4.33,4.44,6497680.0,4.413,14358
76,2024-01-26,4.48,4.61,4.47,4.58,5126152.0,4.567,14744
77,2024-01-29,4.55,4.66,4.5,4.63,5520004.0,4.585,13752
78,2024-01-30,4.6,4.68,4.54,4.62,5569639.0,4.631,15279
79,2024-01-31,4.59,4.7,4.49,4.5,7593414.0,4.596,21441
80,2024-02-01,4.52,4.75,4.43,4.74,5676994.0,4.607,13899
81,2024-02-02,4.67,4.82,4.59,4.76,8643957.0,4.724,20827
82,2024-02-05,4.68,4.68,4.42,4.43,6910850.0,4.481,16191
83,2024-02-06,4.38,4.54,4.31,4.5,7702022.0,4.469,17204
84,2024-02-07,4.46,4.47,4.26,4.4,7631800.0,4.357,21596
85,2024-02-08,4.42,4.65,4.41,4.56,6522173.0,4.552,12714
86,2024-02-09,4.62,4.67,4.51,4.6,6402603.0,4.596,15628
87,2024-02-12,4.66,4.9,4.65,4.86,7835268.0,4.817,18123
88,2024-02-13,4.61,4.68,4.43,4.52,8302790.0,4.499,21565
89,2024-02-14,4.61,4.69,4.54,4.61,2185082.0,4.592,5727
