,date,open,high,low,close,volume,average,barCount
0,2023-09-25,15.99,17.13,15.99,16.85,143747.0,16.655,1043
1,2023-09-26,16.49,16.52,16.14,16.21,50062.0,16.365,289
2,2023-09-27,16.99,16.99,16.55,16.69,157211.0,16.782,1240
3,2023-09-28,16.69,17.2,16.58,16.95,88350.0,16.915,644
4,2023-09-29,17.05,17.19,16.88,16.94,44884.0,17.026,329
5,2023-10-02,16.95,17.09,16.66,16.72,34179.0,16.84,194
6,2023-10-03,16.5,16.66,16.4,16.66,23910.0,16.537,197
7,2023-10-04,16.6,16.6,16.05,16.29,14036.0,16.235,114
8,2023-10-05,16.36,16.42,16.01,16.41,41182.0,16.192,262
9,2023-10-06,16.3,17.22,16.3,16.77,51432.0,16.861,363
10,2023-10-09,16.42,16.87,16.42,16.58,31651.0,16.62,222
11,2023-10-10,16.3,16.35,16.12,16.25,42015.0,16.247,266
12,2023-10-11,16.7,18.2,16.7,17.51,110345.0,17.505,592
13,2023-10-12,17.69,17.9,17.4,17.7,90543.0,17.661,586
14,2023-10-13,17.9,18.89,17.8,18.67,149927.0,18.27,1074
15,2023-10-16,18.61,19.01,18.27,18.78,50160.0,18.714,360
16,2023-10-17,18.53,18.53,17.9,18.26,43404.0,18.141,321
17,2023-10-18,17.69,17.69,16.54,16.82,90068.0,16.959,544
18,2023-10-19,16.95,17.45,16.95,17.28,49912.0,17.138,314
19,2023-10-20,17.28,17.46,16.77,16.91,36056.0,16.942,290
20,2023-10-23,16.82,17.04,16.21,16.73,70775.0,16.643,496
21,2023-10-24,17.16,17.85,16.89,17.73,257861.0,17.474,1908
22,2023-10-25,17.3,17.56,17.13,17.55,140237.0,17.415,942
23,2023-10-26,17.54,17.54,16.83,17.0,85801.0,17.054,616
24,2023-10-27,18.4,18.76,18.25,18.47,177062.0,18.445,1205
25,2023-10-30,19.97,20.73,19.81,20.23,208524.0,20.15,1410
26,2023-10-31,19.86,19.97,19.09,19.48,123573.0,19.452,986
27,2023-11-01,19.66,19.77,19.03,19.5,315462.0,19.538,2064
28,2023-11-02,19.82,20.0,19.32,19.55,116125.0,19.542,917
29,2023-11-03,19.93,19.99,19.5,19.7,305760.0,19.712,2349
30,2023-11-06,20.14,20.14,19.66,19.69,187297.0,19.758,1435
31,2023-11-07,19.7,19.8,19.38,19.74,206978.0,19.702,1621
32,2023-11-08,19.6,19.62,19.23,19.5,95775.0,19.505,770
33,2023-11-09,19.17,19.3,17.85,18.09,249352.0,18.148,1802
34,2023-11-10,18.65,19.25,18.4,19.02,123605.0,18.888,1034
35,2023-11-13,18.5,18.7,18.12,18.52,110802.0,18.486,851
36,2023-11-14,19.52,19.52,18.92,19.04,159539.0,19.117,809
37,2023-11-15,18.6,19.12,18.6,18.71,74330.0,18.807,586
38,2023-11-16,18.03,18.1,17.35,17.57,227774.0,17.548,1439
39,2023-11-17,18.1,18.78,18.07,18.62,144061.0,18.509,1098
40,2023-11-20,18.24,18.81,18.24,18.54,42097.0,18.489,333
41,2023-11-21,18.4,18.46,18.07,18.16,35237.0,18.24,287
42,2023-11-22,18.16,18.77,18.01,18.24,38475.0,18.209,314
43,2023-11-24,19.21,19.68,18.95,19.25,163947.0,19.309,1182
44,2023-11-27,19.14,19.42,18.99,19.1,63443.0,19.124,499
45,2023-11-28,19.4,19.69,19.28,19.36,101845.0,19.395,828
46,2023-11-29,19.0,19.0,18.57,18.78,99392.0,18.784,823
47,2023-11-30,19.04,19.52,18.84,19.28,61758.0,19.286,517
48,2023-12-01,18.07,18.57,18.06,18.56,83745.0,18.363,553
49,2023-12-04,18.41,18.41,17.68,17.92,90563.0,17.859,585
50,2023-12-05,17.71,17.89,17.46,17.83,131485.0,17.712,1095
51,2023-12-06,17.71,18.19,17.71,18.03,57962.0,18.026,312
52,2023-12-07,18.55,19.05,18.53,18.88,95278.0,18.855,807
53,2023-12-08,18.8,18.83,18.41,18.8,65827.0,18.653,490
54,2023-12-11,18.62,18.64,18.31,18.5,30918.0,18.512,271
55,2023-12-12,18.59,19.39,18.59,19.28,61394.0,19.02,449
56,2023-12-13,18.79,19.52,18.6,19.43,53650.0,19.246,326
57,2023-12-14,19.32,19.81,19.28,19.52,120674.0,19.499,989
58,2023-12-15,19.64,19.74,19.14,19.32,34415.0,19.353,240
59,2023-12-18,18.51,18.75,17.83,18.03,134132.0,18.082,767
60,2023-12-19,18.0,18.15,17.52,17.87,57979.0,17.946,457
61,2023-12-20,17.4,17.51,16.82,16.83,63260.0,17.109,398
62,2023-12-21,16.88,17.12,16.81,16.98,38089.0,16.955,266
63,2023-12-22,16.98,17.16,16.75,16.85,44434.0,16.945,307
64,2023-12-26,16.95,17.23,16.78,16.85,36917.0,16.934,255
65,2023-12-27,17.12,17.62,17.12,17.51,65173.0,17.46,452
66,2023-12-28,17.92,17.95,17.47,17.63,58316.0,17.62,473
67,2023-12-29,17.75,18.3,17.68,18.11,59343.0,18.004,428
68,2024-01-02,17.7,17.8,17.35,17.51,48210.0,17.551,381
69,2024-01-03,17.35,17.4,17.1,17.23,18714.0,17.251,157
70,2024-01-04,17.11,17.35,17.11,17.23,24160.0,17.238,197
71,2024-01-05,17.0,17.0,16.35,16.46,52897.0,16.567,338
72,2024-01-08,15.78,16.12,15.71,16.03,31381.0,15.907,186
73,2024-01-09,15.85,16.16,15.81,16.06,30261.0,16.005,247
74,2024-01-10,16.1,16.12,15.85,16.09,15013.0,15.988,95
75,2024-01-11,16.64,16.79,16.39,16.61,40316.0,16.598,259
76,2024-01-12,16.48,16.62,16.23,16.47,46921.0,16.485,373
77,2024-01-16,16.23,16.34,15.84,15.98,22634.0,16.018,140
78,2024-01-17,15.51,15.51,14.8,15.03,52214.0,15.065,345
79,2024-01-18,15.1,15.38,15.05,15.28,19260.0,15.244,156
80,2024-01-19,14.46,14.61,14.04,14.27,82161.0,14.276,486
81,2024-01-22,13.39,13.63,12.99,13.2,235288.0,13.308,927
82,2024-01-23,13.6,14.23,13.44,13.87,108149.0,13.931,848
83,2024-01-24,14.04,14.08,13.4,13.55,47493.0,13.719,364
84,2024-01-25,13.72,14.04,13.72,13.85,42288.0,13.923,318
85,2024-01-26,13.26,13.37,12.93,13.14,75901.0,13.105,583
86,2024-01-29,13.07,13.07,12.72,12.93,93989.0,12.889,552
87,2024-01-30,12.82,12.9,12.5,12.67,54599.0,12.701,410
88,2024-01-31,12.59,12.83,12.41,12.5,46003.0,12.631,312
89,2024-02-01,12.75,13.3,12.75,12.93,45064.0,12.971,344
