,date,open,high,low,close,volume,average,barCount
0,2023-10-06,28.1,28.63,28.07,28.47,346847.0,28.431,2133
1,2023-10-09,28.85,29.35,28.79,29.12,419771.0,29.13,2464
2,2023-10-10,29.23,29.66,29.21,29.39,286887.0,29.448,2059
3,2023-10-11,29.41,29.82,29.41,29.57,232968.0,29.591,1497
4,2023-10-12,29.69,29.72,29.37,29.59,226381.0,29.601,1551
5,2023-10-13,29.85,30.3,29.73,30.3,307840.0,30.104,1983
6,2023-10-16,30.29,30.76,30.2,30.61,734384.0,30.504,3388
7,2023-10-17,30.74,30.81,30.51,30.76,549241.0,30.631,2136
8,2023-10-18,30.89,31.37,30.84,31.22,805958.0,31.191,3767
9,2023-10-19,31.25,31.3,30.65,30.76,453833.0,30.898,2895
10,2023-10-20,30.69,30.8,30.51,30.53,378415.0,30.618,2155
11,2023-10-23,30.57,30.84,29.77,30.08,1673526.0,30.151,8015
12,2023-10-24,30.44,30.71,30.22,30.32,550877.0,30.428,3581
13,2023-10-25,30.54,30.98,30.13,30.18,987224.0,30.466,4962
14,2023-10-26,30.23,30.3,29.78,30.08,643335.0,30.011,4512
15,2023-10-27,30.14,30.28,29.72,29.82,608831.0,29.892,4012
16,2023-10-30,29.91,30.06,29.44,29.51,857721.0,29.587,4885
17,2023-10-31,29.5,30.02,29.48,30.0,871751.0,29.867,4728
18,2023-11-01,29.55,29.7,29.2,29.46,662385.0,29.444,3493
19,2023-11-02,29.4,30.3,29.34,30.22,780959.0,30.024,5153
20,2023-11-03,30.2,30.39,30.13,30.37,690682.0,30.309,4532
21,2023-11-06,30.5,30.62,29.83,30.03,460221.0,30.12,2817
22,2023-11-07,29.75,29.79,29.37,29.7,686102.0,29.622,3946
23,2023-11-08,29.65,29.79,29.2,29.45,762201.0,29.425,5336
24,2023-11-09,29.57,29.8,29.35,29.39,265535.0,29.534,1926
25,2023-11-10,29.46,29.88,29.45,29.61,407885.0,29.68,2590
26,2023-11-13,29.76,29.76,29.4,29.67,393712.0,29.62,2279
27,2023-11-14,29.98,30.23,29.9,30.12,334461.0,30.076,2089
28,2023-11-15,30.05,30.65,30.05,30.58,1097079.0,30.518,5487
29,2023-11-16,30.63,30.78,30.31,30.52,434398.0,30.458,2874
30,2023-11-17,30.73,31.32,30.73,31.32,370880.0,31.131,2120
31,2023-11-20,31.3,31.73,31.23,31.45,610662.0,31.562,3685
32,2023-11-21,31.45,31.76,31.36,31.7,375011.0,31.657,2489
33,2023-11-22,31.54,31.96,31.34,31.95,286652.0,31.81,1889
34,2023-11-24,31.9,32.23,31.81,31.96,131630.0,32.059,810
35,2023-11-27,31.92,32.22,31.75,32.19,425596.0,32.072,2546
36,2023-11-28,32.23,32.32,31.86,32.17,529681.0,32.131,2536
37,2023-11-29,32.32,33.32,32.19,32.55,931218.0,32.802,5747
38,2023-11-30,32.61,32.84,32.03,32.54,1215173.0,32.415,7352
39,2023-12-01,32.47,32.81,32.42,32.74,599770.0,32.688,3847
40,2023-12-04,32.52,33.02,32.52,32.85,427068.0,32.834,3011
41,2023-12-05,32.76,32.84,32.22,32.28,691379.0,32.402,4586
42,2023-12-06,32.18,32.41,30.96,31.12,1239187.0,31.391,7212
43,2023-12-07,31.31,31.39,30.66,30.7,688357.0,30.86,3890
44,2023-12-08,30.86,31.16,30.6,31.0,789844.0,30.986,4807
45,2023-12-11,31.0,31.14,30.48,30.56,614313.0,30.61,3471
46,2023-12-12,30.4,30.54,30.08,30.27,706920.0,30.249,3881
47,2023-12-13,30.34,30.86,30.13,30.69,601624.0,30.482,2774
48,2023-12-14,30.98,31.53,30.98,31.42,680353.0,31.367,3572
49,2023-12-15,31.29,31.49,31.03,31.12,575872.0,31.243,3572
50,2023-12-18,31.45,31.65,31.06,31.14,434864.0,31.204,3173
51,2023-12-19,31.09,31.34,31.02,31.29,415974.0,31.202,2454
52,2023-12-20,31.3,31.85,31.17,31.17,253658.0,31.494,1705
53,2023-12-21,31.25,31.55,31.18,31.52,214615.0,31.403,1420
54,2023-12-22,31.74,31.83,31.58,31.76,262953.0,31.72,1487
55,2023-12-26,31.84,31.93,31.58,31.84,176743.0,31.833,1116
56,2023-12-27,31.87,32.14,31.7,31.8,266934.0,31.801,1831
57,2023-12-28,31.77,32.06,31.64,31.66,345815.0,31.848,1898
58,2023-12-29,31.6,31.8,31.52,31.63,335646.0,31.671,1672
59,2024-01-02,31.72,32.08,31.58,31.72,412358.0,31.729,2779
60,2024-01-03,31.67,31.98,31.53,31.84,408310.0,31.781,2805
61,2024-01-04,32.0,32.12,31.54,31.59,423708.0,31.697,2211
62,2024-01-05,31.75,31.75,31.34,31.51,196694.0,31.533,1143
63,2024-01-08,31.4,31.45,31.07,31.33,241864.0,31.261,1405
64,2024-01-09,31.28,31.28,30.72,31.22,411798.0,31.058,2350
65,2024-01-10,31.25,31.42,31.11,31.29,238294.0,31.286,1630
66,2024-01-11,31.27,31.66,31.24,31.58,818973.0,31.419,4560
67,2024-01-12,32.0,32.4,31.9,32.25,582493.0,32.124,3912
68,2024-01-16,32.19,32.38,32.08,32.35,674157.0,32.279,4408
69,2024-01-17,32.11,32.6,32.11,32.37,933636.0,32.371,5711
70,2024-01-18,32.5,32.67,32.06,32.36,796451.0,32.301,5222
71,2024-01-19,32.4,32.48,32.03,32.13,727163.0,32.24,4341
72,2024-01-22,32.17,32.77,32.14,32.73,1059513.0,32.526,6031
73,2024-01-23,32.75,32.91,32.52,32.88,679747.0,32.771,4382
74,2024-01-24,32.98,33.28,32.78,33.17,637772.0,33.158,3951
75,2024-01-25,33.36,33.73,33.05,33.7,792808.0,33.476,4931
76,2024-01-26,33.7,33.96,33.56,33.9,293810.0,33.819,1595
77,2024-01-29,33.92,34.13,33.49,34.05,856569.0,33.763,3219
78,2024-01-30,34.11,34.25,33.68,34.14,763881.0,34.055,4438
79,2024-01-31,33.33,33.85,33.12,33.81,948676.0,33.621,5853
80,2024-02-01,34.16,34.55,33.81,34.18,1631107.0,34.21,8263
81,2024-02-02,34.05,34.42,33.71,34.23,889174.0,34.11,4484
82,2024-02-05,34.74,34.75,34.03,34.65,679035.0,34.543,3686
83,2024-02-06,33.16,33.6,33.04,33.28,3071781.0,33.36,16645
84,2024-02-07,32.82,32.96,32.44,32.62,1177435.0,32.654,6815
85,2024-02-08,32.46,32.71,32.41,32.52,545977.0,32.583,2964
86,2024-02-09,32.52,32.61,32.14,32.27,496537.0,32.328,3054
87,2024-02-12,32.27,32.84,32.19,32.76,394205.0,32.646,2317
88,2024-02-13,32.57,32.79,32.36,32.77,474808.0,32.628,2398
89,2024-02-14,32.92,33.09,32.71,32.83,98431.0,32.88,513
