,date,open,high,low,close,volume,average,barCount
0,2023-10-06,12.48,13.49,12.23,13.31,1135881.0,13.092,6946
1,2023-10-09,13.23,13.79,13.11,13.74,882354.0,13.588,5524
2,2023-10-10,13.87,14.21,13.87,13.94,836445.0,14.014,5038
3,2023-10-11,14.0,14.2,13.78,14.03,559841.0,13.972,3668
4,2023-10-12,14.07,14.16,13.58,13.59,505132.0,13.764,3298
5,2023-10-13,13.55,13.86,13.5,13.67,870306.0,13.669,4990
6,2023-10-16,13.83,14.92,13.83,14.53,2945364.0,14.597,15364
7,2023-10-17,14.45,15.35,14.45,15.3,1768320.0,15.154,9575
8,2023-10-18,15.27,15.71,15.11,15.37,893531.0,15.429,5882
9,2023-10-19,15.29,15.37,14.11,14.31,1183635.0,14.579,7669
10,2023-10-20,14.31,14.53,14.11,14.2,653236.0,14.298,3962
11,2023-10-23,13.98,14.36,13.41,13.6,793772.0,13.751,5095
12,2023-10-24,13.72,14.22,13.56,13.96,983908.0,13.918,6273
13,2023-10-25,14.03,14.36,14.02,14.27,2024343.0,14.119,12604
14,2023-10-26,14.32,14.96,14.13,14.76,1127312.0,14.576,6534
15,2023-10-27,14.82,14.84,13.49,13.95,1307927.0,14.111,8824
16,2023-10-30,14.09,14.47,14.01,14.33,716881.0,14.232,5075
17,2023-10-31,14.27,14.37,13.96,14.25,459350.0,14.191,3289
18,2023-11-01,14.05,14.29,13.6,13.91,2158155.0,13.872,13529
19,2023-11-02,14.1,15.2,13.73,13.89,2476690.0,14.418,15953
20,2023-11-03,14.25,14.44,12.63,13.26,2536378.0,13.239,15828
21,2023-11-06,13.29,14.26,13.23,13.78,1299335.0,13.775,8338
22,2023-11-07,13.6,13.89,13.2,13.21,887463.0,13.44,6072
23,2023-11-08,13.16,13.42,12.94,13.33,664735.0,13.238,4168
24,2023-11-09,13.33,13.36,12.86,12.95,663451.0,13.073,3994
25,2023-11-10,12.95,12.99,12.31,12.92,789615.0,12.708,4826
26,2023-11-13,12.86,12.86,12.32,12.36,744154.0,12.486,4108
27,2023-11-14,12.97,13.66,12.69,13.07,1721112.0,13.166,9287
28,2023-11-15,13.16,13.57,13.07,13.13,916436.0,13.244,6403
29,2023-11-16,13.1,13.1,12.5,12.7,828120.0,12.69,4729
30,2023-11-17,12.83,13.0,12.63,12.79,811512.0,12.814,4823
31,2023-11-20,12.63,12.81,12.59,12.66,721956.0,12.706,4332
32,2023-11-21,12.53,12.75,12.47,12.47,576813.0,12.568,3783
33,2023-11-22,12.45,12.87,12.45,12.86,695454.0,12.719,3924
34,2023-11-24,12.81,13.0,12.75,12.83,229797.0,12.857,1519
35,2023-11-27,12.8,13.02,12.64,12.94,794763.0,12.889,3452
36,2023-11-28,12.98,12.98,12.61,12.72,880145.0,12.749,4468
37,2023-11-29,12.57,13.22,12.51,13.09,953675.0,12.913,5355
38,2023-11-30,13.14,13.21,12.6,12.88,1175675.0,12.809,6847
39,2023-12-01,12.88,13.3,12.71,13.15,895249.0,13.103,5300
40,2023-12-04,12.99,13.33,12.86,12.95,530937.0,13.017,3528
41,2023-12-05,12.87,13.08,12.66,13.0,633257.0,12.96,4159
42,2023-12-06,13.07,13.86,13.02,13.28,1706887.0,13.477,8295
43,2023-12-07,13.29,14.34,13.29,14.18,1156375.0,14.088,6191
44,2023-12-08,14.17,14.42,13.92,14.0,678194.0,14.109,4342
45,2023-12-11,14.02,14.24,13.87,14.12,443404.0,14.066,2970
46,2023-12-12,14.06,14.09,13.7,13.77,538494.0,13.8,3344
47,2023-12-13,13.69,14.35,13.21,14.3,771827.0,13.73,5080
48,2023-12-14,14.68,15.3,14.68,15.03,1669425.0,14.998,8954
49,2023-12-15,15.23,15.23,14.6,14.78,935346.0,14.93,4686
50,2023-12-18,14.89,15.0,14.48,14.68,498837.0,14.687,2891
51,2023-12-19,14.85,15.35,14.85,15.22,771493.0,15.198,4753
52,2023-12-20,15.09,15.66,14.94,14.97,1515659.0,15.31,7148
53,2023-12-21,15.15,15.26,14.67,15.08,561236.0,14.968,3270
54,2023-12-22,15.01,15.4,14.93,15.07,413155.0,15.178,2523
55,2023-12-26,15.02,15.43,15.02,15.25,419270.0,15.306,2936
56,2023-12-27,15.32,15.47,15.2,15.4,382545.0,15.36,2417
57,2023-12-28,15.34,15.5,15.19,15.4,396988.0,15.357,2424
58,2023-12-29,15.32,15.43,15.19,15.26,421406.0,15.31,2598
59,2024-01-02,15.13,15.43,15.04,15.36,397311.0,15.278,2713
60,2024-01-03,15.05,15.05,14.26,14.38,1094496.0,14.477,7148
61,2024-01-04,14.39,14.39,13.26,13.31,1495223.0,13.474,9512
62,2024-01-05,13.18,13.5,12.74,12.78,1072053.0,13.008,5732
63,2024-01-08,12.81,13.7,12.79,13.69,817849.0,13.493,5067
64,2024-01-09,13.43,13.52,13.08,13.17,627093.0,13.277,3511
65,2024-01-10,13.17,13.71,13.06,13.64,595022.0,13.482,3610
66,2024-01-11,13.6,13.63,13.16,13.35,431231.0,13.356,2994
67,2024-01-12,13.51,13.62,13.27,13.39,534613.0,13.423,3593
68,2024-01-16,13.21,13.3,12.48,12.52,1035403.0,12.724,5656
69,2024-01-17,12.36,12.59,12.06,12.33,968846.0,12.286,6058
70,2024-01-18,12.35,12.5,11.97,12.45,906841.0,12.292,5672
71,2024-01-19,12.46,12.69,11.88,12.41,865269.0,12.282,5304
72,2024-01-22,12.54,12.95,12.2,12.28,502811.0,12.43,3278
73,2024-01-23,12.5,12.79,12.16,12.33,411564.0,12.381,2788
74,2024-01-24,12.5,12.53,12.09,12.1,377094.0,12.227,2368
75,2024-01-25,12.33,12.58,12.17,12.57,449357.0,12.409,2539
76,2024-01-26,12.7,12.9,12.43,12.43,363339.0,12.594,2267
77,2024-01-29,12.36,12.5,12.22,12.48,353512.0,12.4,2311
78,2024-01-30,12.34,12.36,12.16,12.16,380855.0,12.232,1905
79,2024-01-31,12.24,12.52,12.05,12.05,751164.0,12.192,4298
80,2024-02-01,12.23,12.52,12.07,12.45,586754.0,12.318,3727
81,2024-02-02,12.15,12.17,11.55,11.78,1234054.0,11.803,7182
82,2024-02-05,11.89,12.03,11.28,11.29,838147.0,11.515,4888
83,2024-02-06,11.23,11.58,10.94,11.54,677645.0,11.409,4121
84,2024-02-07,11.63,11.74,11.39,11.63,501189.0,11.56,3111
85,2024-02-08,12.11,12.81,11.9,12.36,2099337.0,12.283,5365
86,2024-02-09,12.4,12.62,11.94,12.07,886681.0,12.168,5903
87,2024-02-12,12.18,12.69,12.18,12.59,1160835.0,12.499,5504
88,2024-02-13,12.2,12.41,11.67,11.8,1157144.0,11.798,7170
89,2024-02-14,11.94,12.09,11.6,11.76,239761.0,11.868,1595
