,date,open,high,low,close,volume,average,barCount
0,2023-10-06,3.6,3.84,3.6,3.78,4838458.0,3.754,10706
1,2023-10-09,3.85,3.92,3.76,3.8,3336528.0,3.81234,8728
2,2023-10-10,3.79,3.835,3.76,3.81,3190783.0,3.79256,8673
3,2023-10-11,3.85,3.94,3.795,3.93,6045421.0,3.85387,12954
4,2023-10-12,3.92,3.95,3.65,3.66,5242363.0,3.72328,12871
5,2023-10-13,3.88,4.23,3.84,4.14,9992712.0,4.143,22767
6,2023-10-16,4.12,4.22,4.1014,4.15,4578145.0,4.16785,12953
7,2023-10-17,4.16,4.4,4.13,4.36,4746165.0,4.33275,12726
8,2023-10-18,4.46,4.615,4.28,4.32,6577102.0,4.39395,17760
9,2023-10-19,4.29,4.305,4.2,4.26,3588455.0,4.24188,9415
10,2023-10-20,4.25,4.45,4.245,4.26,6630907.0,4.33094,16706
11,2023-10-23,4.17,4.36,4.06,4.25,6064024.0,4.24906,15214
12,2023-10-24,4.2,4.29,4.09,4.18,12360133.0,4.20539,37326
13,2023-10-25,4.2,4.29,4.13,4.13,4585174.0,4.20121,12197
14,2023-10-26,4.12,4.155,4.02,4.09,3541510.0,4.09557,11873
15,2023-10-27,4.09,4.15,3.98,4.14,4907953.0,4.08027,13618
16,2023-10-30,4.23,4.275,4.105,4.2,3987000.0,4.19938,12053
17,2023-10-31,4.17,4.245,4.04,4.07,5097664.0,4.11217,14623
18,2023-11-01,4.06,4.13,3.97,4.05,4302187.0,4.05123,11732
19,2023-11-02,4.13,4.18,4.0,4.1,4716750.0,4.07226,12210
20,2023-11-03,4.19,4.4,4.1531,4.34,6528934.0,4.3327,16724
21,2023-11-06,4.3,4.36,4.18,4.2,4514039.0,4.2564,15441
22,2023-11-07,4.06,4.23,3.96,4.09,6098925.0,4.05678,16753
23,2023-11-08,4.05,4.15,3.945,3.98,4112751.0,4.00406,11832
24,2023-11-09,4.0,4.11,3.88,3.9,4848441.0,3.98667,13915
25,2023-11-10,3.88,3.8995,3.6,3.79,5182298.0,3.8148,12423
26,2023-11-13,3.81,3.87,3.77,3.79,2702953.0,3.81547,7665
27,2023-11-14,3.96,4.27,3.93,4.24,6702701.0,4.17439,15297
28,2023-11-15,4.21,4.34,4.195,4.24,3205705.0,4.26428,8825
29,2023-11-16,4.33,4.53,4.32,4.47,6497208.0,4.44581,16754
30,2023-11-17,4.53,4.65,4.47,4.64,8518478.0,4.58853,18394
31,2023-11-20,4.53,4.64,4.49,4.61,3520325.0,4.59171,10155
32,2023-11-21,4.71,4.91,4.67,4.68,5826088.0,4.76358,14979
33,2023-11-22,4.67,4.69,4.5901,4.66,2726163.0,4.65981,7600
34,2023-11-24,4.7,4.9,4.68,4.81,3579054.0,4.82086,9193
35,2023-11-27,4.93,4.93,4.77,4.85,4759333.0,4.8626,13049
36,2023-11-28,4.9,4.93,4.805,4.93,4956818.0,4.88605,12522
37,2023-11-29,4.91,4.945,4.84,4.91,4111482.0,4.89906,10525
38,2023-11-30,4.9,4.99,4.86,4.98,3901460.0,4.94978,11139
39,2023-12-01,4.95,5.145,4.89,5.13,7768406.0,5.08484,21856
40,2023-12-04,5.02,5.02,4.8147,4.9,6172880.0,4.9018,17296
41,2023-12-05,4.85,4.89,4.69,4.76,5189388.0,4.76859,12448
42,2023-12-06,4.85,4.865,4.753,4.77,4020297.0,4.7966,10893
43,2023-12-07,4.8,4.8,4.7,4.79,3134241.0,4.76033,9749
44,2023-12-08,4.68,4.815,4.63,4.69,4495072.0,4.70555,11227
45,2023-12-11,4.58,4.73,4.425,4.71,5577781.0,4.65579,15776
46,2023-12-12,4.71,4.73,4.49,4.52,3807218.0,4.56027,10561
47,2023-12-13,4.53,4.92,4.51,4.91,6730352.0,4.72885,19665
48,2023-12-14,5.09,5.2,4.9425,5.06,7695892.0,5.05769,21863
49,2023-12-15,5.02,5.05,4.88,4.95,7686356.0,4.96611,15480
50,2023-12-18,4.97,4.99,4.84,4.87,3953605.0,4.88782,11354
51,2023-12-19,4.9,5.07,4.845,5.04,5651995.0,5.0213,14313
52,2023-12-20,5.07,5.09,4.88,4.9,6364739.0,5.00486,16007
53,2023-12-21,4.97,5.01,4.9115,4.98,4054550.0,4.96922,10775
54,2023-12-22,5.1,5.15,4.96,4.98,4601271.0,5.04489,13337
55,2023-12-26,5.01,5.04,4.93,5.0,2721671.0,4.99512,7569
56,2023-12-27,5.0,5.09,4.99,5.06,4203414.0,5.05029,10843
57,2023-12-28,5.0,5.09,4.92,4.93,3832402.0,4.98872,10232
58,2023-12-29,4.85,4.885,4.765,4.81,3986005.0,4.8319,11962
59,2024-01-02,4.8,4.85,4.67,4.69,4325651.0,4.74816,11961
60,2024-01-03,4.52,4.53,4.34,4.39,7071059.0,4.39599,18623
61,2024-01-04,4.39,4.39,4.3,4.37,6483771.0,4.34537,18218
62,2024-01-05,4.34,4.43,4.27,4.3,5233654.0,4.32747,13415
63,2024-01-08,4.24,4.39,4.18,4.39,4046996.0,4.33114,9624
64,2024-01-09,4.4,4.4,4.29,4.31,3119783.0,4.32742,9243
65,2024-01-10,4.3,4.33,4.2,4.27,3589285.0,4.27439,8650
66,2024-01-11,4.29,4.3,4.12,4.18,5593740.0,4.18121,15250
67,2024-01-12,4.35,4.55,4.35,4.39,6119111.0,4.44902,15414
68,2024-01-16,4.32,4.33,4.175,4.19,4538889.0,4.22414,10982
69,2024-01-17,4.1,4.12,4.02,4.05,4801895.0,4.04889,12237
70,2024-01-18,4.06,4.08,3.93,4.01,3590496.0,3.98284,8842
71,2024-01-19,4.05,4.06,3.92,4.01,3680494.0,3.9718,9688
72,2024-01-22,3.95,4.09,3.9104,4.03,5313586.0,4.01737,10205
73,2024-01-23,4.1,4.135,4.02,4.04,4703958.0,4.05985,11485
74,2024-01-24,4.17,4.18,3.92,3.93,4073104.0,3.98185,9825
75,2024-01-25,4.02,4.04,3.92,3.99,4337972.0,3.96648,8756
76,2024-01-26,4.0,4.0255,3.965,3.99,3612473.0,3.99551,7320
77,2024-01-29,4.02,4.105,3.9201,4.1,5320470.0,4.03889,11690
78,2024-01-30,4.08,4.12,3.94,3.95,3779696.0,3.98223,10221
79,2024-01-31,3.97,3.975,3.79,3.81,7646442.0,3.88848,15954
80,2024-02-01,3.85,3.96,3.81,3.94,4677205.0,3.89619,12497
81,2024-02-02,3.82,3.82,3.72,3.78,5395293.0,3.76836,12856
82,2024-02-05,3.69,3.7099,3.57,3.58,7026578.0,3.6113,19241
83,2024-02-06,3.61,3.68,3.59,3.66,4448622.0,3.64838,10047
84,2024-02-07,3.64,3.67,3.54,3.55,4416382.0,3.5749,10933
85,2024-02-08,3.54,3.59,3.52,3.56,3643646.0,3.54752,10333
86,2024-02-09,3.56,3.58,3.48,3.57,4638825.0,3.53804,10503
