,date,open,high,low,close,volume,average,barCount
0,2023-09-25,19.0,19.07,18.82,18.88,99383.0,18.949,478
1,2023-09-26,18.78,19.05,18.76,18.96,139279.0,18.922,860
2,2023-09-27,18.92,19.21,18.84,19.05,153651.0,19.011,739
3,2023-09-28,19.02,19.22,18.95,19.19,242222.0,19.112,1202
4,2023-09-29,19.2,20.21,19.2,19.84,1077926.0,19.858,1846
5,2023-10-02,20.78,21.04,20.65,20.87,456087.0,20.804,2260
6,2023-10-03,20.55,20.83,20.21,20.4,161890.0,20.441,883
7,2023-10-04,20.2,21.08,20.2,20.87,202487.0,20.858,1083
8,2023-10-05,20.98,21.02,20.63,20.71,174543.0,20.867,1002
9,2023-10-06,20.54,20.87,20.3,20.76,125993.0,20.657,772
10,2023-10-09,20.71,20.92,20.51,20.81,67790.0,20.813,530
11,2023-10-10,20.72,20.89,20.68,20.76,79645.0,20.799,552
12,2023-10-11,20.88,22.0,20.62,20.8,2518661.0,21.832,1586
13,2023-10-12,20.84,21.03,20.52,20.75,96256.0,20.79,715
14,2023-10-13,20.69,20.7,20.22,20.41,98143.0,20.402,519
15,2023-10-16,20.39,20.39,20.03,20.17,102171.0,20.171,519
16,2023-10-17,20.06,20.45,20.02,20.21,131019.0,20.259,838
17,2023-10-18,20.12,20.24,19.53,19.63,228304.0,19.962,1151
18,2023-10-19,19.62,19.96,19.4,19.48,214046.0,19.651,1219
19,2023-10-20,19.53,19.53,19.13,19.21,193124.0,19.305,853
20,2023-10-23,19.2,19.3,18.85,18.87,184416.0,19.122,1163
21,2023-10-24,18.81,20.46,18.81,19.86,988022.0,19.866,4234
22,2023-10-25,20.01,21.0,19.26,19.69,2233937.0,20.873,1166
23,2023-10-26,19.68,20.75,19.4,20.25,1901981.0,20.664,948
24,2023-10-27,20.27,21.0,20.11,20.42,1219875.0,20.896,1156
25,2023-10-30,20.73,20.91,20.59,20.71,174390.0,20.726,1107
26,2023-10-31,20.57,21.0,20.31,20.51,383995.0,20.793,851
27,2023-11-01,20.43,20.79,20.33,20.7,93571.0,20.658,634
28,2023-11-02,20.63,20.87,20.0,20.73,102050.0,20.616,701
29,2023-11-03,20.92,21.0,20.36,20.6,456325.0,20.875,1060
