,date,open,high,low,close,volume,average,barCount
0,2023-10-06,39.16,39.82,39.155,39.275,71446.0,39.3665,313
1,2023-10-09,39.12,39.815,38.955,39.545,87826.0,39.5325,415
2,2023-10-10,39.63,40.18,39.63,39.89,50064.0,39.9735,234
3,2023-10-11,39.785,40.145,38.99,39.54,93492.0,39.355,384
4,2023-10-12,39.635,39.635,38.89,39.235,72256.0,39.199,322
5,2023-10-13,39.12,39.45,38.555,38.71,86184.0,38.93,376
6,2023-10-16,38.94,39.745,38.94,39.555,105268.0,39.5095,439
7,2023-10-17,39.455,40.865,39.455,40.075,213850.0,40.3005,854
8,2023-10-18,39.815,39.815,38.485,38.57,160760.0,38.7875,665
9,2023-10-19,38.875,38.885,38.095,38.16,90604.0,38.4355,363
10,2023-10-20,38.65,39.0,38.27,38.48,174082.0,38.645,648
11,2023-10-23,38.435,38.575,37.75,38.0,119102.0,38.123,534
12,2023-10-24,38.205,38.435,37.37,37.64,89508.0,37.6935,373
13,2023-10-25,37.345,37.825,36.645,36.94,109292.0,36.8615,495
14,2023-10-26,37.095,37.095,36.215,36.51,124458.0,36.4735,480
15,2023-10-27,31.725,35.545,31.725,35.04,644234.0,34.512,2288
16,2023-10-30,35.37,35.92,34.3,35.02,277576.0,35.2855,1122
17,2023-10-31,35.045,35.41,34.23,34.375,307274.0,34.7625,1267
18,2023-11-01,34.53,34.765,33.675,34.03,427346.0,34.083,1793
19,2023-11-02,34.37,34.66,33.375,34.075,1236410.0,33.685,2429
20,2023-11-03,34.7,35.795,34.67,35.575,609880.0,35.08,1791
21,2023-11-06,35.49,36.235,34.975,36.04,290290.0,35.8435,1208
22,2023-11-07,35.84,35.84,34.91,35.06,189872.0,35.146,816
23,2023-11-08,35.065,35.675,34.985,35.55,216210.0,35.404,843
24,2023-11-09,35.71,35.73,34.51,34.955,216610.0,35.1535,909
25,2023-11-10,35.15,35.635,34.935,35.535,145250.0,35.4175,602
26,2023-11-13,35.4,35.87,35.285,35.665,164814.0,35.6705,705
27,2023-11-14,36.555,37.705,36.51,37.65,290366.0,37.419,1179
28,2023-11-15,37.66,38.395,37.55,38.055,275366.0,38.1435,1214
29,2023-11-16,37.885,37.92,37.2,37.405,216242.0,37.3895,902
30,2023-11-17,37.835,37.835,37.34,37.45,233378.0,37.5155,876
31,2023-11-20,37.36,37.53,36.975,37.53,136390.0,37.3635,538
