,date,open,high,low,close,volume,average,barCount
0,2023-10-06,459.23,485.51,454.32,483.18,512911.0,477.809,3380
1,2023-10-09,477.0,491.63,477.0,487.98,241788.0,487.198,1908
2,2023-10-10,487.54,500.3,467.3,467.8,908402.0,480.066,6382
3,2023-10-11,450.02,464.2,445.86,455.45,1032234.0,452.37,8065
4,2023-10-12,457.05,463.64,448.52,456.39,285671.0,455.436,2440
5,2023-10-13,464.06,466.62,451.61,456.27,251261.0,458.464,1955
6,2023-10-16,458.32,471.84,456.38,469.16,143318.0,468.396,1217
7,2023-10-17,457.66,474.98,457.66,468.74,149755.0,469.201,1089
8,2023-10-18,458.32,465.05,442.82,445.4,497978.0,450.36,3775
9,2023-10-19,451.98,452.75,442.33,444.83,220075.0,447.468,1642
10,2023-10-20,444.4,444.4,425.2,429.07,475737.0,430.148,3684
11,2023-10-23,426.49,437.23,424.03,431.02,355693.0,430.716,2394
12,2023-10-24,433.17,437.83,423.58,433.5,225714.0,431.536,1828
13,2023-10-25,429.03,429.5,411.18,411.69,303182.0,417.797,2289
14,2023-10-26,417.75,422.42,407.23,410.93,687066.0,411.019,4173
15,2023-10-27,417.72,422.16,410.0,416.27,228120.0,416.624,1708
16,2023-10-30,421.17,421.44,411.22,415.64,224112.0,415.72,1676
17,2023-10-31,420.0,426.16,414.25,423.77,257187.0,422.525,1989
18,2023-11-01,422.06,425.64,409.5,421.12,229915.0,417.347,1736
19,2023-11-02,433.2,435.59,415.78,421.74,499262.0,422.349,3356
20,2023-11-03,418.87,422.91,408.62,422.89,817146.0,417.985,6551
21,2023-11-06,427.56,427.56,414.54,420.5,396147.0,419.155,3106
22,2023-11-07,429.0,446.86,427.35,437.89,916574.0,439.024,7165
23,2023-11-08,437.36,444.98,435.21,442.15,546384.0,440.744,4408
24,2023-11-09,465.0,465.0,413.07,415.12,1135283.0,427.863,8147
25,2023-11-10,413.95,429.57,413.95,428.92,306931.0,425.434,2472
26,2023-11-13,428.0,436.48,425.07,431.73,333583.0,432.971,2541
27,2023-11-14,444.3,457.62,444.3,455.3,393346.0,455.059,3102
28,2023-11-15,457.02,469.89,456.5,468.32,501642.0,465.82,3951
29,2023-11-16,468.0,472.31,462.03,465.67,249405.0,466.377,1933
30,2023-11-17,464.5,469.87,459.63,468.62,228885.0,465.811,1912
31,2023-11-20,470.55,481.77,470.0,475.46,223389.0,476.833,1862
32,2023-11-21,466.8,476.94,465.99,471.6,162662.0,470.576,1190
33,2023-11-22,476.22,476.22,467.01,467.69,143644.0,470.301,781
34,2023-11-24,466.11,468.15,462.78,467.75,55389.0,465.972,466
35,2023-11-27,466.64,472.9,465.25,465.42,92198.0,469.048,736
36,2023-11-28,462.55,476.89,462.55,475.59,159089.0,472.897,979
37,2023-11-29,482.01,499.15,482.01,496.52,394588.0,493.433,3003
38,2023-11-30,500.0,508.29,488.26,493.93,326088.0,494.382,2388
39,2023-12-01,494.45,517.46,492.2,516.97,481117.0,510.44,3760
40,2023-12-04,512.01,517.31,506.38,506.99,270180.0,511.73,1948
41,2023-12-05,502.35,507.91,496.96,503.0,109156.0,502.43,831
42,2023-12-06,503.11,508.0,497.56,497.79,112906.0,502.464,879
43,2023-12-07,495.74,497.13,490.1,492.04,121076.0,493.302,972
44,2023-12-08,488.46,506.7,485.78,502.04,160011.0,502.499,1227
45,2023-12-11,500.06,507.86,497.99,501.7,87384.0,503.51,657
46,2023-12-12,512.81,528.77,505.25,527.24,233571.0,521.417,1834
47,2023-12-13,527.0,537.01,518.75,533.79,157672.0,529.113,1308
48,2023-12-14,540.0,556.43,539.91,553.35,354323.0,549.958,2556
49,2023-12-15,555.23,565.74,550.0,557.72,233863.0,558.029,1609
50,2023-12-18,555.23,566.15,553.81,563.67,118136.0,560.39,927
51,2023-12-19,562.68,574.0,562.42,567.35,122003.0,568.968,823
52,2023-12-20,561.36,576.9,558.81,564.71,299301.0,569.11,2153
53,2023-12-21,573.93,580.53,570.63,578.31,143238.0,576.659,1087
