,date,open,high,low,close,volume,average,barCount
0,2023-10-06,29.8,31.18,29.74,30.8,668475.0,30.672,4609
1,2023-10-09,30.63,30.81,29.7,30.43,620479.0,30.262,4421
2,2023-10-10,30.78,31.85,30.59,31.45,765617.0,31.46,5259
3,2023-10-11,31.55,31.75,31.02,31.26,379518.0,31.3,2779
4,2023-10-12,31.46,31.55,30.45,30.8,396242.0,30.877,2896
5,2023-10-13,30.8,31.06,30.33,30.58,515827.0,30.571,3386
6,2023-10-16,30.99,31.04,30.6,30.87,438059.0,30.823,2974
7,2023-10-17,30.5,31.1,30.15,30.35,658066.0,30.53,4220
8,2023-10-18,30.04,30.12,29.59,29.97,689304.0,29.912,4981
9,2023-10-19,29.86,30.55,29.41,30.01,838060.0,29.999,5231
10,2023-10-20,29.96,29.96,29.51,29.71,1309138.0,29.711,7237
11,2023-10-23,29.5,30.32,29.27,29.82,901456.0,29.883,6140
12,2023-10-24,30.17,30.5,29.82,30.44,564981.0,30.344,3900
13,2023-10-25,29.84,29.95,28.17,28.18,2031979.0,29.147,10384
14,2023-10-26,28.08,28.14,25.69,25.76,2633153.0,26.362,15281
15,2023-10-27,25.84,27.13,25.18,26.97,2357293.0,26.384,13509
16,2023-10-30,27.36,27.43,26.14,26.42,1518549.0,26.43,8965
17,2023-10-31,26.86,27.27,25.05,25.42,3031904.0,25.487,16336
18,2023-11-01,25.73,27.01,25.59,25.73,2084288.0,26.102,12527
19,2023-11-02,26.23,27.45,26.08,27.2,1816404.0,26.925,9455
20,2023-11-03,27.59,28.26,27.48,28.2,1314086.0,28.002,7690
21,2023-11-06,28.2,28.36,27.86,28.31,732310.0,28.2,4429
22,2023-11-07,28.28,28.88,28.19,28.85,747794.0,28.689,4652
23,2023-11-08,29.0,29.17,28.51,28.85,1592218.0,28.813,8250
24,2023-11-09,28.95,28.95,26.17,26.53,3525576.0,26.92,13129
25,2023-11-10,26.65,27.17,26.45,26.99,775817.0,26.925,4995
26,2023-11-13,26.86,27.19,26.35,26.49,1000214.0,26.653,5898
27,2023-11-14,27.35,27.49,26.97,27.19,911173.0,27.245,5878
28,2023-11-15,27.18,27.45,26.57,26.9,950596.0,26.89,5847
29,2023-11-16,26.77,26.97,26.46,26.75,898504.0,26.746,4471
30,2023-11-17,26.87,27.1,26.67,26.83,879630.0,26.82,5053
31,2023-11-20,27.07,27.15,26.66,26.9,911959.0,26.872,5416
32,2023-11-21,26.58,26.77,26.22,26.59,931723.0,26.634,4815
33,2023-11-22,26.71,27.2,26.53,27.11,570146.0,27.018,3913
34,2023-11-24,27.11,27.36,26.99,27.17,177461.0,27.144,1221
35,2023-11-27,27.0,27.08,26.21,26.31,760201.0,26.428,4702
36,2023-11-28,26.11,26.62,26.03,26.51,570037.0,26.468,3447
37,2023-11-29,26.75,26.88,26.27,26.37,509165.0,26.529,3079
38,2023-11-30,26.51,26.88,26.16,26.73,680486.0,26.613,3995
39,2023-12-01,26.57,27.61,26.44,27.6,717683.0,27.354,4533
40,2023-12-04,27.46,27.82,26.88,27.21,1099088.0,27.345,5636
41,2023-12-05,27.09,27.18,26.16,26.47,709756.0,26.672,5096
42,2023-12-06,26.85,27.27,26.23,26.29,458263.0,26.562,3256
43,2023-12-07,26.31,26.74,26.13,26.59,387631.0,26.492,2254
44,2023-12-08,26.5,27.24,26.5,27.0,680504.0,27.067,4324
45,2023-12-11,27.08,27.65,27.05,27.34,462215.0,27.424,3303
46,2023-12-12,27.24,27.45,26.61,26.81,625546.0,26.864,3511
47,2023-12-13,26.88,27.34,26.35,27.32,512731.0,26.89,3496
48,2023-12-14,27.75,28.82,27.71,28.04,870740.0,28.075,5627
49,2023-12-15,28.13,28.16,27.25,27.42,720326.0,27.702,3693
50,2023-12-18,27.53,27.74,27.07,27.26,373183.0,27.301,2540
51,2023-12-19,27.54,28.15,27.47,28.09,451897.0,27.911,3059
52,2023-12-20,27.94,28.23,27.09,27.15,499432.0,27.751,3271
53,2023-12-21,27.51,27.76,27.16,27.52,397186.0,27.418,2408
54,2023-12-22,27.54,27.85,27.42,27.56,248158.0,27.642,1759
55,2023-12-26,27.71,27.84,27.44,27.7,295782.0,27.683,1846
56,2023-12-27,27.68,27.89,27.28,27.7,392176.0,27.561,2377
57,2023-12-28,27.48,27.82,27.48,27.6,251070.0,27.62,1625
58,2023-12-29,27.49,27.68,27.24,27.41,348398.0,27.455,2470
59,2024-01-02,27.23,27.69,26.93,27.4,593012.0,27.431,3942
60,2024-01-03,26.96,26.99,26.07,26.1,1038948.0,26.486,5020
61,2024-01-04,25.55,25.62,24.63,25.25,1759992.0,25.21,8930
62,2024-01-05,25.19,25.96,25.04,25.66,602614.0,25.679,3806
63,2024-01-08,25.59,26.1,25.44,26.08,628199.0,25.919,3871
64,2024-01-09,25.64,26.32,25.12,25.61,1009947.0,25.511,5764
65,2024-01-10,25.54,25.81,25.38,25.8,375670.0,25.611,2521
66,2024-01-11,25.71,26.01,25.34,25.9,563369.0,25.75,3785
67,2024-01-12,26.16,26.31,25.62,25.75,442157.0,25.77,2818
68,2024-01-16,25.44,25.87,25.24,25.78,480058.0,25.71,3173
69,2024-01-17,25.45,25.78,25.27,25.68,338756.0,25.596,2202
70,2024-01-18,25.99,26.29,25.81,26.28,367308.0,26.081,2397
71,2024-01-19,26.39,26.43,25.59,26.0,410655.0,25.962,2624
72,2024-01-22,26.49,26.55,26.02,26.21,266795.0,26.233,1846
73,2024-01-23,26.58,26.77,26.34,26.67,391586.0,26.612,2657
74,2024-01-24,27.01,27.17,26.18,26.18,318000.0,26.427,2023
75,2024-01-25,26.55,26.92,26.2,26.52,269849.0,26.44,1922
76,2024-01-26,26.86,26.87,26.43,26.65,417455.0,26.607,2192
77,2024-01-29,26.67,26.99,26.45,26.87,354776.0,26.763,2374
78,2024-01-30,26.62,26.78,26.33,26.49,428075.0,26.534,2785
79,2024-01-31,26.46,26.73,25.88,25.96,377137.0,26.252,2597
80,2024-02-01,26.15,26.58,26.04,26.43,371047.0,26.396,2688
81,2024-02-02,26.15,26.38,25.78,26.09,444930.0,26.105,3310
82,2024-02-05,25.81,25.84,25.37,25.63,278977.0,25.653,1916
83,2024-02-06,25.62,26.25,25.59,25.86,286430.0,25.971,1938
84,2024-02-07,26.06,26.12,25.81,25.95,317076.0,25.953,2005
85,2024-02-08,25.98,26.25,25.87,25.88,260389.0,26.001,1664
86,2024-02-09,26.14,26.74,25.75,26.72,465571.0,26.495,3095
87,2024-02-12,26.61,27.21,26.61,27.0,452055.0,27.052,2709
88,2024-02-13,25.99,26.24,25.62,25.95,414959.0,25.921,2613
89,2024-02-14,26.21,26.26,25.87,26.2,62435.0,26.104,369
