,date,open,high,low,close,volume,average,barCount
0,2023-10-06,71.8,74.0,71.2,73.45,94133.0,72.998,494
1,2023-10-09,72.9,75.47,72.67,74.94,92703.0,74.385,626
2,2023-10-10,75.12,76.9,75.12,76.2,82990.0,76.158,554
3,2023-10-11,77.19,78.2,75.99,76.01,168229.0,76.925,1098
4,2023-10-12,75.8,75.8,74.08,75.03,72893.0,74.67,484
5,2023-10-13,75.67,76.21,75.0,75.48,62315.0,75.589,323
6,2023-10-16,76.39,78.5,75.12,77.64,101691.0,77.355,651
7,2023-10-17,76.99,79.31,76.99,78.65,88850.0,78.446,677
8,2023-10-18,77.97,78.01,76.62,76.86,56557.0,77.128,372
9,2023-10-19,76.59,76.99,75.04,75.17,61095.0,75.74,408
10,2023-10-20,75.68,75.68,73.76,73.8,82649.0,74.819,420
11,2023-10-23,73.37,74.22,71.05,71.15,196979.0,72.509,1184
12,2023-10-24,71.93,73.23,71.75,73.0,78292.0,72.533,463
13,2023-10-25,71.97,72.28,70.29,71.03,115689.0,71.293,735
14,2023-10-26,71.03,72.43,70.67,71.87,63494.0,71.591,348
15,2023-10-27,72.07,72.25,69.56,69.99,135230.0,70.981,918
16,2023-10-30,70.88,71.69,69.08,70.16,102265.0,70.025,693
17,2023-10-31,70.61,71.92,69.62,71.83,100089.0,71.18,680
18,2023-11-01,71.65,72.75,70.62,72.59,88455.0,72.059,603
19,2023-11-02,75.84,78.31,75.01,77.66,207093.0,77.298,1542
20,2023-11-03,79.24,81.55,79.14,80.59,190393.0,80.665,1247
21,2023-11-06,81.17,81.17,78.77,79.35,102704.0,79.609,627
22,2023-11-07,79.22,79.96,78.31,78.48,73833.0,79.119,495
23,2023-11-08,78.4,78.87,76.65,77.32,68854.0,77.373,485
24,2023-11-09,77.96,77.96,74.81,75.13,88929.0,75.876,568
25,2023-11-10,75.74,76.3,74.78,75.8,77066.0,75.64,499
26,2023-11-13,74.84,75.55,73.04,74.36,84569.0,74.726,591
27,2023-11-14,77.29,80.65,77.29,79.68,111136.0,79.306,758
28,2023-11-15,79.91,82.09,79.78,80.71,116197.0,81.047,766
29,2023-11-16,80.42,80.85,78.15,78.18,98822.0,78.865,590
30,2023-11-17,79.26,79.66,78.54,78.71,60132.0,79.048,292
31,2023-11-20,78.61,80.78,77.88,80.56,99796.0,79.975,584
32,2023-11-21,80.2,80.37,79.25,79.34,53888.0,79.744,342
33,2023-11-22,80.38,80.93,79.63,80.0,64083.0,80.015,433
34,2023-11-24,80.2,80.9,79.75,80.39,17708.0,80.487,93
35,2023-11-27,79.95,81.02,79.75,79.93,63312.0,80.43,380
36,2023-11-28,79.27,80.08,78.1,79.97,72353.0,79.349,417
37,2023-11-29,81.0,82.48,80.46,80.61,64583.0,81.438,445
38,2023-11-30,81.44,81.74,80.24,81.66,67937.0,81.392,420
39,2023-12-01,81.25,84.25,80.83,83.93,135888.0,82.881,900
40,2023-12-04,83.5,87.32,83.41,87.27,215719.0,86.209,880
41,2023-12-05,86.58,87.24,83.86,84.72,124012.0,85.667,612
42,2023-12-06,85.63,86.91,84.85,85.18,65327.0,85.541,441
43,2023-12-07,85.16,86.43,84.61,85.88,57947.0,85.887,337
44,2023-12-08,85.59,88.65,85.59,87.88,132927.0,87.583,725
45,2023-12-11,87.5,88.78,87.08,88.55,123080.0,88.212,512
46,2023-12-12,88.5,88.5,87.06,87.94,91931.0,87.646,521
47,2023-12-13,88.26,93.64,88.06,93.04,181395.0,90.862,1078
48,2023-12-14,96.0,99.16,96.0,98.8,232114.0,97.888,1433
49,2023-12-15,98.4,99.38,97.27,98.3,196970.0,98.392,1030
50,2023-12-18,98.59,99.59,97.45,98.5,144545.0,98.682,936
51,2023-12-19,99.0,101.12,98.89,100.26,124656.0,99.895,773
52,2023-12-20,100.0,102.47,98.17,98.26,143068.0,100.577,925
53,2023-12-21,99.95,100.22,98.5,99.65,70206.0,99.25,456
54,2023-12-22,100.51,102.34,99.95,100.74,100985.0,101.338,701
55,2023-12-26,101.38,103.85,100.5,103.8,141377.0,102.243,873
56,2023-12-27,104.57,105.07,103.19,103.73,134636.0,104.042,857
57,2023-12-28,101.49,103.17,101.0,102.83,86432.0,102.319,449
58,2023-12-29,101.96,102.97,100.82,100.82,89707.0,101.513,572
59,2024-01-02,99.98,101.65,98.86,101.19,107542.0,100.542,677
60,2024-01-03,99.49,100.0,96.73,96.97,182136.0,97.951,1185
61,2024-01-04,96.64,97.76,94.6,95.34,195679.0,96.078,1384
62,2024-01-05,93.94,96.01,93.18,94.8,74274.0,94.869,470
63,2024-01-08,94.14,96.62,93.69,95.84,142014.0,95.321,895
64,2024-01-09,94.79,95.0,93.77,93.92,45008.0,94.306,307
65,2024-01-10,94.26,95.57,93.84,94.36,106121.0,94.783,720
66,2024-01-11,93.92,94.54,92.0,94.38,106813.0,93.625,607
67,2024-01-12,95.87,96.23,93.21,93.21,159345.0,94.355,867
68,2024-01-16,92.75,94.0,92.13,93.74,221456.0,93.175,1426
69,2024-01-17,91.69,93.73,90.9,91.81,122128.0,92.025,898
70,2024-01-18,92.44,92.52,90.01,91.72,120547.0,90.857,682
71,2024-01-19,92.43,94.61,91.21,94.14,133588.0,92.59,712
72,2024-01-22,95.26,96.73,95.2,96.36,149094.0,96.047,898
73,2024-01-23,97.77,98.08,94.6,95.5,124598.0,96.022,673
74,2024-01-24,97.04,97.06,93.11,93.45,140278.0,94.411,725
75,2024-01-25,95.08,95.53,92.75,93.64,116130.0,93.984,708
76,2024-01-26,94.36,94.56,93.71,94.22,112984.0,94.061,727
77,2024-01-29,94.57,96.87,94.17,96.65,99644.0,95.522,499
78,2024-01-30,95.74,96.68,95.04,95.93,46414.0,95.808,334
79,2024-01-31,96.0,96.62,93.13,93.23,133903.0,95.242,833
80,2024-02-01,93.63,95.2,91.58,95.05,129047.0,93.92,705
81,2024-02-02,93.54,94.96,92.75,94.35,69828.0,93.977,465
82,2024-02-05,92.53,92.67,90.75,90.85,107374.0,91.441,608
83,2024-02-06,90.85,92.28,90.51,90.69,105706.0,91.169,679
84,2024-02-07,90.5,90.95,89.45,89.96,68706.0,90.23,420
85,2024-02-08,89.95,91.59,89.74,91.3,69945.0,90.697,424
