,date,open,high,low,close,volume,average,barCount
0,2023-09-25,47.9,49.08,47.3,49.03,33432.0,48.717,272
1,2023-09-26,48.45,49.57,48.25,48.65,75932.0,48.78,543
2,2023-09-27,49.01,49.34,47.84,48.35,56418.0,48.484,498
3,2023-09-28,48.47,49.33,48.17,48.89,87229.0,48.942,738
4,2023-09-29,48.88,49.63,48.8,49.09,79457.0,49.237,677
5,2023-10-02,49.06,49.09,48.21,48.45,83116.0,48.551,663
6,2023-10-03,48.03,48.6,47.18,47.61,73200.0,47.649,564
7,2023-10-04,47.76,48.05,47.18,47.62,58123.0,47.676,502
8,2023-10-05,47.55,48.88,47.08,48.56,106204.0,48.24,874
9,2023-10-06,47.99,49.02,47.05,48.2,102329.0,48.027,784
10,2023-10-09,48.02,49.43,47.95,48.85,55343.0,48.65,383
11,2023-10-10,49.2,49.81,48.9,49.18,74544.0,49.405,354
12,2023-10-11,49.32,49.91,48.39,49.14,80698.0,48.906,636
13,2023-10-12,49.07,49.75,48.05,48.25,46298.0,48.415,315
14,2023-10-13,48.6,48.74,47.02,47.28,32300.0,47.552,278
15,2023-10-16,47.72,48.62,47.7,48.38,59595.0,48.288,404
16,2023-10-17,48.12,50.64,47.6,49.78,32590.0,49.698,281
17,2023-10-18,49.3,49.62,48.24,48.39,26948.0,48.735,231
18,2023-10-19,48.64,49.1,47.6,47.8,75672.0,48.126,587
19,2023-10-20,50.1,50.1,45.55,45.61,122041.0,46.711,869
20,2023-10-23,45.21,47.26,44.91,46.37,106295.0,46.559,849
21,2023-10-24,46.69,47.36,45.11,45.44,99101.0,45.732,719
22,2023-10-25,44.99,46.4,44.63,46.09,120846.0,45.644,886
23,2023-10-26,46.29,48.77,45.5,48.6,142025.0,48.084,1053
24,2023-10-27,48.59,48.97,46.75,47.34,119327.0,47.507,939
25,2023-10-30,47.89,49.31,46.61,48.82,97047.0,48.729,669
26,2023-10-31,48.83,49.67,48.52,48.8,79060.0,48.96,498
27,2023-11-01,49.05,50.28,48.51,49.98,114898.0,49.767,768
28,2023-11-02,50.36,52.74,50.36,52.4,90974.0,51.968,685
29,2023-11-03,53.71,55.17,52.99,53.97,103257.0,54.487,692
30,2023-11-06,53.85,54.23,53.37,53.86,133613.0,53.964,984
31,2023-11-07,53.49,53.8,53.01,53.13,95280.0,53.315,616
32,2023-11-08,53.09,53.21,51.46,51.71,80062.0,51.903,672
33,2023-11-09,51.83,52.36,51.17,51.51,73942.0,51.651,485
