,date,open,high,low,close,volume,average,barCount
0,2023-09-25,6.64,6.65,6.34,6.41,2120923.0,6.408,11372
1,2023-09-26,6.33,6.41,6.05,6.07,1470898.0,6.168,8358
2,2023-09-27,6.11,6.36,6.05,6.35,1865968.0,6.199,10805
3,2023-09-28,6.28,6.43,6.2,6.31,1192433.0,6.308,7270
4,2023-09-29,6.39,6.57,6.22,6.3,1314597.0,6.354,7879
5,2023-10-02,6.27,6.37,6.1,6.13,982365.0,6.179,5251
6,2023-10-03,6.05,6.12,5.68,5.7,1741527.0,5.837,8396
7,2023-10-04,5.79,5.84,5.63,5.8,1194553.0,5.716,5765
8,2023-10-05,5.77,5.82,5.55,5.59,1759386.0,5.621,7669
9,2023-10-06,5.5,5.74,5.47,5.72,1028865.0,5.621,5452
10,2023-10-09,5.59,5.63,5.38,5.55,955450.0,5.505,4745
11,2023-10-10,5.53,5.8,5.51,5.68,909238.0,5.686,4841
12,2023-10-11,5.7,5.8,5.46,5.55,839042.0,5.572,4239
13,2023-10-12,5.56,5.6,5.11,5.11,2691191.0,5.255,11674
14,2023-10-13,5.17,5.17,4.82,4.87,2231414.0,4.913,9130
15,2023-10-16,5.15,5.88,5.05,5.77,3066998.0,5.655,14587
16,2023-10-17,5.67,5.94,5.57,5.83,1906133.0,5.81,10801
17,2023-10-18,5.74,5.76,5.3,5.31,1466487.0,5.462,7887
18,2023-10-19,5.32,5.39,5.16,5.22,1164020.0,5.251,6561
19,2023-10-20,5.22,5.47,5.16,5.34,1422302.0,5.305,6502
20,2023-10-23,5.29,5.32,5.09,5.25,1924901.0,5.223,9684
21,2023-10-24,5.33,5.39,5.23,5.26,921849.0,5.288,4626
22,2023-10-25,5.2,5.22,4.92,4.96,1264876.0,5.017,5727
23,2023-10-26,4.96,5.31,4.94,5.23,1525519.0,5.144,8141
24,2023-10-27,5.31,5.32,4.98,5.05,905773.0,5.094,5383
25,2023-10-30,5.06,5.07,4.72,4.85,1908687.0,4.851,9607
26,2023-10-31,4.86,4.98,4.73,4.89,1215800.0,4.894,6376
27,2023-11-01,4.94,4.94,4.67,4.75,1085234.0,4.76,5236
28,2023-11-02,4.86,5.15,4.85,5.09,1510427.0,5.017,8128
29,2023-11-03,5.23,5.46,5.17,5.23,1339814.0,5.276,6767
30,2023-11-06,5.23,5.31,5.05,5.11,1111354.0,5.129,6611
31,2023-11-07,5.07,5.27,5.02,5.15,742820.0,5.168,4300
32,2023-11-08,5.16,5.26,5.05,5.06,1224217.0,5.137,6667
33,2023-11-09,5.22,5.26,4.86,4.94,2341386.0,5.015,10767
34,2023-11-10,5.76,6.1,5.42,5.64,6373429.0,5.631,27135
35,2023-11-13,5.55,5.85,5.48,5.78,2231898.0,5.753,11766
36,2023-11-14,6.06,6.56,5.95,6.55,3598046.0,6.303,16870
37,2023-11-15,6.62,6.92,6.58,6.85,3222101.0,6.806,15851
38,2023-11-16,6.7,7.02,6.66,6.84,2377783.0,6.827,9771
39,2023-11-17,6.93,7.26,6.82,7.19,2679853.0,7.067,12480
40,2023-11-20,7.15,7.42,7.1,7.35,2351548.0,7.268,12643
41,2023-11-21,7.23,7.29,7.03,7.15,2257849.0,7.131,10514
42,2023-11-22,7.25,7.42,7.13,7.19,1966635.0,7.276,8691
43,2023-11-24,7.15,7.34,7.1,7.19,771334.0,7.214,3765
44,2023-11-27,7.1,7.32,7.0,7.16,1348227.0,7.201,7032
45,2023-11-28,7.15,7.21,7.03,7.18,1187987.0,7.137,7256
46,2023-11-29,7.31,7.75,7.26,7.63,2544895.0,7.618,11551
47,2023-11-30,7.69,7.76,7.42,7.46,1636503.0,7.546,9191
48,2023-12-01,7.51,7.53,7.12,7.48,2002227.0,7.367,10361
49,2023-12-04,7.43,7.59,7.21,7.58,1797245.0,7.412,9440
50,2023-12-05,7.47,7.48,7.11,7.2,1732168.0,7.232,7261
51,2023-12-06,7.37,7.58,7.19,7.35,1247338.0,7.418,6330
52,2023-12-07,7.43,7.58,7.3,7.54,1224567.0,7.476,6769
53,2023-12-08,7.5,7.76,7.41,7.75,1365531.0,7.659,6759
54,2023-12-11,7.71,7.79,7.59,7.77,1042288.0,7.715,6068
55,2023-12-12,7.73,7.83,7.6,7.74,1236330.0,7.73,6369
56,2023-12-13,7.72,7.87,7.47,7.87,1646658.0,7.677,7842
57,2023-12-14,8.0,8.23,7.77,8.22,2822944.0,8.018,14369
58,2023-12-15,8.38,8.44,7.94,8.15,2404486.0,8.151,9821
59,2023-12-18,8.21,8.5,8.05,8.46,2536769.0,8.371,12853
60,2023-12-19,8.51,8.55,8.28,8.4,1813514.0,8.445,8571
61,2023-12-20,8.31,8.33,7.84,7.85,1722544.0,8.072,8707
62,2023-12-21,8.05,8.37,7.95,8.35,1848693.0,8.126,9601
63,2023-12-22,8.41,8.69,8.25,8.41,1330694.0,8.471,6669
64,2023-12-26,8.45,8.63,8.28,8.57,904036.0,8.498,4487
65,2023-12-27,8.59,8.62,8.4,8.47,1276338.0,8.504,6408
66,2023-12-28,8.48,8.55,8.29,8.4,971037.0,8.412,4984
67,2023-12-29,8.38,8.38,8.06,8.11,983568.0,8.171,4870
68,2024-01-02,7.97,8.0,7.47,7.58,1802333.0,7.714,8755
69,2024-01-03,7.45,7.53,7.26,7.35,1745770.0,7.386,8279
70,2024-01-04,6.92,7.26,6.7,7.07,3893016.0,7.062,17510
71,2024-01-05,7.01,7.17,6.86,7.08,2310570.0,7.048,12315
72,2024-01-08,7.1,7.66,7.07,7.51,1414058.0,7.446,6979
73,2024-01-09,7.35,7.64,7.31,7.5,1019007.0,7.508,5746
74,2024-01-10,7.47,7.49,7.05,7.21,1140605.0,7.218,5694
75,2024-01-11,7.17,7.25,6.83,7.12,1297319.0,7.049,6824
76,2024-01-12,7.2,7.33,6.94,6.96,799315.0,7.059,4597
77,2024-01-16,6.89,6.93,6.71,6.79,963123.0,6.798,5164
78,2024-01-17,6.66,6.69,6.52,6.64,1317050.0,6.589,7034
79,2024-01-18,6.83,6.9,6.64,6.85,1067040.0,6.749,5854
80,2024-01-19,6.93,7.13,6.79,7.1,1379299.0,6.963,6977
81,2024-01-22,7.2,7.32,6.81,7.14,2857807.0,7.031,12658
82,2024-01-23,7.31,7.51,7.17,7.24,1319855.0,7.321,6835
