,date,open,high,low,close,volume,average,barCount
0,2023-09-25,21.55,22.28,21.51,21.51,5488.0,21.623,28
1,2023-09-26,21.65,21.8,21.55,21.55,2147.0,21.7,11
2,2023-09-27,21.43,22.57,21.31,21.31,3361.0,21.478,17
3,2023-09-28,21.55,21.82,21.42,21.75,3765.0,21.655,24
4,2023-09-29,21.99,23.12,21.75,23.07,19401.0,22.618,80
5,2023-10-02,21.24,22.24,21.03,21.87,12255.0,21.289,84
6,2023-10-03,20.44,21.04,20.0,20.78,7312.0,20.493,32
7,2023-10-04,20.15,20.77,19.72,19.98,7498.0,19.97,41
8,2023-10-05,19.95,20.34,19.82,20.32,3696.0,20.088,22
9,2023-10-06,19.82,21.0,19.81,20.99,14263.0,20.358,101
10,2023-10-09,19.91,20.4,19.69,20.4,5602.0,19.899,31
11,2023-10-10,20.52,20.85,20.37,20.77,2205.0,20.719,13
12,2023-10-11,20.39,20.84,20.1,20.2,2483.0,20.406,15
13,2023-10-12,20.06,20.39,19.65,20.3,6296.0,19.998,31
14,2023-10-13,19.35,19.9,18.99,19.4,4061.0,19.358,21
15,2023-10-16,19.09,19.4,18.96,19.4,2195.0,19.176,12
16,2023-10-17,19.23,19.91,19.18,19.84,3213.0,19.489,15
17,2023-10-18,18.81,20.19,18.79,19.2,8707.0,18.892,35
18,2023-10-19,18.61,19.49,18.28,19.3,6976.0,18.689,28
19,2023-10-20,18.3,19.2,18.29,18.6,11884.0,18.432,55
20,2023-10-23,19.33,19.7,19.19,19.7,8796.0,19.507,39
21,2023-10-24,19.41,20.5,19.07,20.4,2288.0,19.693,16
22,2023-10-25,20.01,20.42,19.93,20.31,4907.0,20.083,25
23,2023-10-26,19.68,19.8,19.44,19.8,2530.0,19.519,14
24,2023-10-27,19.4,20.43,19.25,20.39,1176.0,19.876,8
25,2023-10-30,19.2,19.6,19.2,19.6,1858.0,19.352,10
26,2023-10-31,19.32,19.41,18.0,18.38,33336.0,18.634,198
27,2023-11-01,19.24,19.51,19.23,19.49,21235.0,19.378,55
28,2023-11-02,20.04,20.22,19.84,19.84,4635.0,20.072,23
29,2023-11-03,20.19,20.43,19.71,20.09,3415.0,20.126,12
30,2023-11-06,19.74,19.74,19.54,19.55,2630.0,19.682,8
31,2023-11-07,19.23,19.45,19.22,19.45,1077.0,19.273,7
32,2023-11-08,19.07,20.28,18.99,19.3,2762.0,19.296,20
33,2023-11-09,18.0,18.24,17.0,18.24,27726.0,17.565,109
34,2023-11-10,15.86,16.32,15.77,15.96,41209.0,15.914,173
35,2023-11-13,15.49,15.96,15.25,15.73,20823.0,15.504,110
36,2023-11-14,16.35,17.99,16.35,17.48,9900.0,16.724,43
37,2023-11-15,16.18,17.92,16.18,17.8,3355.0,16.484,21
