,date,open,high,low,close,volume,average,barCount
0,2023-10-06,13.38,13.58,13.26,13.52,1650534.0,13.45,4226
1,2023-10-09,13.16,13.29,13.12,13.28,990331.0,13.213,3246
2,2023-10-10,13.54,13.59,13.47,13.5,1337851.0,13.526,3844
3,2023-10-11,13.61,13.68,13.56,13.66,1467154.0,13.625,3932
4,2023-10-12,13.5,13.5,13.31,13.35,1352635.0,13.42,4040
5,2023-10-13,13.23,13.28,13.04,13.07,1970619.0,13.139,4769
6,2023-10-16,13.21,13.27,13.14,13.25,1572390.0,13.221,4480
7,2023-10-17,13.16,13.39,13.16,13.33,1593234.0,13.282,4556
8,2023-10-18,13.14,13.16,13.01,13.03,2421292.0,13.075,5474
9,2023-10-19,12.93,13.18,12.92,12.96,2279532.0,13.037,6206
10,2023-10-20,12.84,12.88,12.7,12.75,2769294.0,12.783,6527
11,2023-10-23,12.75,12.96,12.75,12.81,1791622.0,12.855,5266
12,2023-10-24,12.76,12.83,12.71,12.76,1736175.0,12.764,4411
13,2023-10-25,12.67,12.78,12.6,12.68,1912989.0,12.686,5244
14,2023-10-26,12.54,12.66,12.5,12.61,3414432.0,12.571,7735
15,2023-10-27,12.69,12.71,12.45,12.63,5524246.0,12.581,10940
16,2023-10-30,12.66,12.87,12.66,12.87,5372079.0,12.772,10259
17,2023-10-31,12.69,12.86,12.69,12.84,11086950.0,12.789,16665
18,2023-11-01,12.73,12.84,12.59,12.71,6221884.0,12.745,16669
19,2023-11-02,12.53,12.69,12.44,12.63,3178720.0,12.566,9937
20,2023-11-03,13.07,13.29,13.05,13.26,4811503.0,13.206,11469
21,2023-11-06,13.27,13.33,13.18,13.26,3945689.0,13.258,8933
22,2023-11-07,13.0,13.1,12.96,13.02,2934447.0,13.033,7669
23,2023-11-08,13.02,13.11,12.97,13.04,1655788.0,13.038,4935
24,2023-11-09,13.0,13.09,12.91,12.94,1982702.0,13.008,5584
25,2023-11-10,13.07,13.13,12.95,13.13,2380146.0,13.035,5732
26,2023-11-13,13.12,13.19,13.07,13.12,1731707.0,13.128,4915
27,2023-11-14,13.34,13.59,13.34,13.55,2143366.0,13.53,5400
28,2023-11-15,13.69,13.72,13.63,13.65,1655869.0,13.676,4237
29,2023-11-16,13.71,13.76,13.63,13.67,1553286.0,13.69,5112
30,2023-11-17,13.88,13.98,13.85,13.98,1310930.0,13.923,3809
31,2023-11-20,13.91,13.97,13.89,13.93,1100719.0,13.929,3297
32,2023-11-21,13.95,13.97,13.87,13.89,2188896.0,13.926,5854
33,2023-11-22,13.85,13.88,13.79,13.83,871830.0,13.824,3198
34,2023-11-24,13.9,13.95,13.86,13.94,1451520.0,13.922,4174
35,2023-11-27,13.9,13.95,13.82,13.9,841155.0,13.879,2570
36,2023-11-28,13.87,13.94,13.82,13.88,1331119.0,13.874,3656
37,2023-11-29,14.03,14.14,14.02,14.08,1612027.0,14.076,4363
38,2023-11-30,14.07,14.09,14.0,14.08,1283130.0,14.059,3004
39,2023-12-01,14.02,14.17,13.97,14.13,2619692.0,14.069,6632
40,2023-12-04,14.0,14.13,13.99,14.09,1475254.0,14.078,4427
41,2023-12-05,14.15,14.17,14.08,14.11,1469282.0,14.131,4010
42,2023-12-06,14.31,14.42,14.2,14.21,2472978.0,14.301,6302
43,2023-12-07,14.33,14.44,14.29,14.42,1428986.0,14.389,3849
44,2023-12-08,14.48,14.64,14.47,14.59,2208014.0,14.566,5398
45,2023-12-11,14.57,14.6,14.53,14.57,1578114.0,14.571,4824
46,2023-12-12,14.7,14.75,14.65,14.72,1420829.0,14.71,4456
47,2023-12-13,14.69,14.91,14.59,14.89,1901937.0,14.755,4876
48,2023-12-14,14.96,15.08,14.87,14.99,2754491.0,14.992,6244
49,2023-12-15,14.86,15.01,14.85,14.91,2559674.0,14.945,7140
50,2023-12-18,15.06,15.07,14.93,14.99,2000751.0,14.996,5337
51,2023-12-19,15.08,15.12,15.01,15.06,1982485.0,15.063,5170
52,2023-12-20,14.94,14.99,14.76,14.76,2714381.0,14.888,6475
53,2023-12-21,14.93,14.98,14.86,14.97,1858034.0,14.928,4596
54,2023-12-22,15.06,15.12,14.98,15.03,2101383.0,15.046,5763
55,2023-12-26,15.08,15.18,15.05,15.15,806262.0,15.146,2830
56,2023-12-27,15.11,15.22,15.11,15.19,1291438.0,15.184,3659
57,2023-12-28,15.06,15.1,15.0,15.01,1562478.0,15.043,4223
58,2023-12-29,15.05,15.07,14.95,15.02,1746529.0,15.021,3908
59,2024-01-02,14.68,14.82,14.66,14.76,2105084.0,14.747,6356
60,2024-01-03,14.56,14.74,14.52,14.66,2572562.0,14.626,6456
61,2024-01-04,14.38,14.59,14.37,14.44,2803037.0,14.48,7429
62,2024-01-05,14.56,14.67,14.49,14.53,2160898.0,14.569,5926
63,2024-01-08,14.55,14.6,14.51,14.55,1507376.0,14.543,4205
64,2024-01-09,14.25,14.31,14.17,14.18,2067925.0,14.232,6011
65,2024-01-10,14.16,14.21,14.11,14.19,2799127.0,14.161,5632
66,2024-01-11,14.22,14.25,14.0,14.09,3577741.0,14.083,6586
67,2024-01-12,14.21,14.24,14.04,14.09,2066736.0,14.131,5265
68,2024-01-16,13.87,13.88,13.73,13.74,3269356.0,13.79,7263
69,2024-01-17,13.67,13.78,13.63,13.73,3186893.0,13.726,7857
70,2024-01-18,13.81,13.85,13.71,13.84,2193768.0,13.788,5330
71,2024-01-19,13.87,14.0,13.82,13.99,1901724.0,13.906,4635
72,2024-01-22,14.01,14.05,13.95,13.98,2170171.0,14.004,4629
73,2024-01-23,13.99,14.03,13.89,14.02,1867408.0,13.968,4916
74,2024-01-24,14.23,14.25,14.15,14.17,2387853.0,14.196,6186
75,2024-01-25,14.19,14.2,14.03,14.17,2260445.0,14.112,5294
76,2024-01-26,14.25,14.29,14.2,14.28,1608135.0,14.257,5169
77,2024-01-29,14.15,14.2,14.08,14.19,1317264.0,14.146,3929
78,2024-01-30,14.14,14.27,14.14,14.24,1812664.0,14.218,4460
79,2024-01-31,14.42,14.44,14.18,14.2,2798899.0,14.308,7333
80,2024-02-01,13.35,13.46,13.21,13.36,7100433.0,13.338,19238
81,2024-02-02,13.26,13.32,13.1,13.18,3575903.0,13.179,9269
82,2024-02-05,12.95,13.01,12.88,12.97,2349636.0,12.951,5954
83,2024-02-06,13.0,13.1,12.98,13.04,1966542.0,13.022,4820
84,2024-02-07,12.85,12.93,12.77,12.9,3162508.0,12.866,8404
85,2024-02-08,12.89,12.91,12.81,12.89,2622720.0,12.872,5469
86,2024-02-09,12.89,13.07,12.88,13.05,3630459.0,12.97,6455
87,2024-02-12,13.17,13.25,13.15,13.21,2358414.0,13.195,5794
88,2024-02-13,13.16,13.17,12.94,13.02,4657046.0,13.068,11534
89,2024-02-14,13.12,13.16,13.11,13.13,1054769.0,13.133,2517
