,date,open,high,low,close,volume,average,barCount
0,2023-10-06,28.24,29.43,28.19,29.14,4693652.0,29.102,24821
1,2023-10-09,29.09,29.41,28.81,29.32,2337270.0,29.137,12593
2,2023-10-10,29.53,29.57,29.2,29.42,2077998.0,29.396,10674
3,2023-10-11,29.41,29.54,28.91,29.14,2232126.0,29.16,13436
4,2023-10-12,29.45,29.54,28.97,29.21,2843735.0,29.2,14108
5,2023-10-13,29.19,29.21,28.7,28.87,1959918.0,28.887,12407
6,2023-10-16,29.06,29.79,28.94,29.77,2617446.0,29.564,13868
7,2023-10-17,29.61,30.49,29.61,30.09,2853921.0,30.142,16340
8,2023-10-18,29.71,29.83,28.9,29.03,3998319.0,29.156,21690
9,2023-10-19,28.8,29.13,28.43,28.54,4929832.0,28.72,27962
10,2023-10-20,28.06,29.08,27.2,27.69,9543718.0,27.9,39070
11,2023-10-23,27.68,28.53,27.53,28.2,6251761.0,28.286,28633
12,2023-10-24,28.45,28.61,27.78,27.9,3415385.0,28.035,18681
13,2023-10-25,27.88,27.93,27.68,27.69,3726604.0,27.788,20438
14,2023-10-26,27.66,28.14,27.59,27.82,4523053.0,27.943,23050
15,2023-10-27,27.79,27.95,27.54,27.56,2880692.0,27.704,16983
16,2023-10-30,27.74,28.12,27.68,27.96,4361632.0,27.932,25129
17,2023-10-31,27.97,28.49,27.97,28.4,2789937.0,28.341,15573
18,2023-11-01,28.42,28.49,27.84,28.35,2432566.0,28.177,13465
19,2023-11-02,28.62,29.2,28.56,29.08,2372256.0,28.98,12920
20,2023-11-03,29.53,30.03,29.53,29.76,1904028.0,29.801,11624
21,2023-11-06,29.64,29.73,29.34,29.41,1785648.0,29.454,9248
22,2023-11-07,29.26,29.39,29.01,29.09,1506933.0,29.135,8581
23,2023-11-08,29.14,29.33,28.87,28.98,2118571.0,29.022,10563
24,2023-11-09,29.15,29.15,28.55,28.64,1538075.0,28.76,8738
25,2023-11-10,28.6,29.11,28.27,28.98,1744159.0,28.849,9907
26,2023-11-13,28.78,28.92,28.54,28.73,2032920.0,28.728,9775
27,2023-11-14,29.25,29.91,29.06,29.87,1807269.0,29.741,10319
28,2023-11-15,29.88,30.33,29.74,30.24,3057951.0,30.206,15345
29,2023-11-16,30.24,30.49,29.74,29.83,2860890.0,29.93,16755
30,2023-11-17,30.03,30.35,29.87,30.34,1641693.0,30.14,9122
31,2023-11-20,30.27,30.68,30.09,30.51,2163066.0,30.496,11516
32,2023-11-21,30.33,30.45,30.2,30.23,1163918.0,30.296,6596
33,2023-11-22,30.42,30.66,30.26,30.47,1263002.0,30.456,7241
34,2023-11-24,30.55,30.69,30.29,30.62,680825.0,30.491,3741
35,2023-11-27,30.4,30.54,30.3,30.35,1483217.0,30.428,7748
36,2023-11-28,30.32,30.35,30.05,30.18,1521401.0,30.212,8616
37,2023-11-29,30.4,30.9,30.4,30.64,2023065.0,30.69,11532
38,2023-11-30,30.44,30.8,30.28,30.74,1769162.0,30.626,10171
39,2023-12-01,30.76,31.36,30.46,31.31,2539777.0,31.11,14339
40,2023-12-04,31.21,31.81,31.1,31.5,2373979.0,31.546,12106
41,2023-12-05,31.26,31.43,30.56,30.82,2355563.0,30.894,14229
42,2023-12-06,31.13,31.56,31.02,31.14,2550414.0,31.271,13863
43,2023-12-07,31.26,31.33,30.67,30.83,3855752.0,30.844,19646
44,2023-12-08,30.9,31.31,30.68,31.22,2122704.0,31.023,11889
45,2023-12-11,31.08,31.92,31.08,31.6,3780905.0,31.693,20401
46,2023-12-12,31.54,31.62,31.21,31.33,2433833.0,31.396,13412
47,2023-12-13,31.31,31.56,30.83,31.5,2280489.0,31.257,13770
48,2023-12-14,31.81,32.76,31.76,32.74,4574145.0,32.442,24002
49,2023-12-15,32.6,33.53,32.58,32.85,5200494.0,33.089,25628
50,2023-12-18,32.74,33.0,32.37,32.7,2362220.0,32.715,12360
51,2023-12-19,32.88,33.12,32.76,32.98,1245475.0,32.939,7212
52,2023-12-20,32.89,33.09,32.44,32.51,1431365.0,32.808,7834
53,2023-12-21,32.8,33.0,32.42,32.97,1737720.0,32.74,8771
54,2023-12-22,33.11,33.13,32.67,32.86,1531420.0,32.918,8382
55,2023-12-26,33.01,33.23,32.75,33.11,1072005.0,33.075,5252
56,2023-12-27,33.05,33.19,32.82,32.95,1314624.0,32.987,8499
57,2023-12-28,32.92,33.07,32.77,32.94,1273120.0,32.894,7217
58,2023-12-29,32.94,32.95,32.35,32.64,1943513.0,32.563,12128
59,2024-01-02,32.64,33.21,32.44,33.1,2553900.0,33.003,12939
60,2024-01-03,33.0,33.0,32.08,32.12,1654363.0,32.413,10892
61,2024-01-04,32.27,32.56,31.95,32.19,2792800.0,32.226,13444
62,2024-01-05,32.2,32.77,32.19,32.44,1623356.0,32.535,9406
63,2024-01-08,32.53,33.36,32.45,33.23,3205434.0,33.145,13555
64,2024-01-09,32.88,33.06,32.72,32.91,1617545.0,32.895,8664
65,2024-01-10,33.02,33.06,32.44,32.58,2648331.0,32.648,13605
66,2024-01-11,32.43,32.53,31.79,32.5,2044917.0,32.285,12778
67,2024-01-12,32.67,32.78,31.88,31.97,1512671.0,32.107,9252
68,2024-01-16,31.71,31.95,31.53,31.81,2343711.0,31.782,13587
69,2024-01-17,31.54,31.66,31.26,31.46,3259715.0,31.468,17380
70,2024-01-18,31.74,31.86,31.41,31.77,2959316.0,31.639,18107
71,2024-01-19,31.77,31.87,31.23,31.85,2041121.0,31.633,10986
72,2024-01-22,32.0,32.43,31.91,32.11,2712239.0,32.163,11850
73,2024-01-23,32.44,32.7,32.12,32.28,1703799.0,32.351,9824
74,2024-01-24,32.53,32.78,32.21,32.23,1750802.0,32.439,9471
75,2024-01-25,32.45,32.93,32.37,32.92,2341426.0,32.674,11653
76,2024-01-26,33.13,33.14,32.74,32.98,1706583.0,32.92,10319
77,2024-01-29,33.0,33.4,32.84,33.4,1784278.0,33.204,10120
78,2024-01-30,33.3,33.57,33.23,33.27,1341332.0,33.331,8066
79,2024-01-31,33.27,33.49,32.98,32.99,1750678.0,33.222,10987
80,2024-02-01,33.07,33.22,32.64,33.2,2507350.0,32.995,12936
81,2024-02-02,33.02,33.32,32.81,33.08,2640372.0,33.102,14464
82,2024-02-05,32.8,33.03,32.4,32.91,3361940.0,32.794,17223
83,2024-02-06,32.84,33.17,32.7,32.99,3395655.0,32.938,17542
84,2024-02-07,33.24,33.24,31.85,32.24,5871497.0,32.359,31236
85,2024-02-08,32.0,33.1,31.56,31.8,5274256.0,32.078,31335
86,2024-02-09,31.6,31.71,30.6,30.78,4941250.0,31.082,26822
87,2024-02-12,30.91,32.07,30.83,32.04,3219454.0,31.792,19572
88,2024-02-13,31.65,31.89,31.12,31.7,3584478.0,31.469,20556
