,date,open,high,low,close,volume,average,barCount
0,2023-10-06,51.06,51.97,50.76,50.97,136836.0,51.196,1112
1,2023-10-09,50.7,52.05,49.53,52.02,623094.0,50.598,2575
2,2023-10-10,51.79,54.78,51.13,54.29,658908.0,53.746,4443
3,2023-10-11,54.18,54.59,53.1,53.85,1024930.0,53.896,7091
4,2023-10-12,53.01,53.01,50.94,52.5,934609.0,52.111,6191
5,2023-10-13,52.52,54.06,51.42,53.66,624063.0,53.061,4349
6,2023-10-16,53.96,55.58,53.44,54.98,472832.0,54.741,3234
7,2023-10-17,55.42,55.69,53.56,53.56,207378.0,54.211,1810
8,2023-10-18,53.06,53.41,51.73,52.19,344169.0,52.285,2010
9,2023-10-19,52.07,52.07,49.67,49.74,351309.0,50.266,2657
10,2023-10-20,49.82,50.37,49.61,50.06,310740.0,50.01,2262
11,2023-10-23,49.95,50.11,48.86,49.12,217484.0,49.336,1431
12,2023-10-24,49.48,50.03,49.09,49.17,187795.0,49.428,1613
13,2023-10-25,48.62,49.0,47.67,48.4,584931.0,48.339,4395
14,2023-10-26,48.43,48.88,47.99,48.04,371589.0,48.363,2744
15,2023-10-27,47.65,49.61,46.89,48.55,1952746.0,48.302,11218
16,2023-10-30,48.52,48.71,45.5,46.37,738830.0,46.381,5379
17,2023-10-31,46.68,49.79,46.1,49.76,921813.0,48.514,6849
18,2023-11-01,49.9,50.92,49.3,50.87,579712.0,50.332,4224
19,2023-11-02,52.77,54.27,50.87,52.38,1672238.0,53.116,8633
20,2023-11-03,53.27,55.67,53.27,54.99,734914.0,54.819,5633
21,2023-11-06,54.99,56.77,54.59,56.01,579128.0,56.1,4655
22,2023-11-07,55.64,56.57,54.5,56.24,487800.0,55.406,2878
23,2023-11-08,56.6,56.6,54.66,55.14,350555.0,55.135,2641
24,2023-11-09,55.28,55.35,53.17,53.52,317095.0,53.797,2465
25,2023-11-10,53.8,54.22,52.9,53.46,432218.0,53.34,2895
26,2023-11-13,53.35,54.93,52.88,54.37,232586.0,54.206,1806
27,2023-11-14,56.0,56.85,55.51,56.7,271224.0,56.445,2301
28,2023-11-15,56.22,57.77,56.22,56.69,321619.0,57.149,2569
29,2023-11-16,56.73,56.73,54.76,55.02,514068.0,55.177,3595
30,2023-11-17,55.56,57.33,54.17,57.19,386862.0,56.243,2604
31,2023-11-20,57.33,59.16,56.82,58.56,447846.0,58.543,3101
32,2023-11-21,58.2,59.48,57.67,58.53,467245.0,58.719,3340
33,2023-11-22,59.71,60.25,58.34,59.26,407512.0,59.203,3138
34,2023-11-24,59.04,60.31,58.96,59.42,169636.0,59.813,1355
35,2023-11-27,58.89,59.61,58.14,59.6,407102.0,58.961,3102
36,2023-11-28,59.65,60.06,58.86,59.07,328402.0,59.551,2053
37,2023-11-29,59.81,60.54,58.78,59.43,440990.0,59.252,2873
38,2023-11-30,59.63,61.41,59.37,61.37,335315.0,60.74,2320
39,2023-12-01,61.37,63.01,59.79,62.84,538923.0,61.696,4237
40,2023-12-04,62.88,63.93,61.2,61.46,476942.0,61.997,3734
41,2023-12-05,61.27,63.38,60.6,62.83,435548.0,62.604,2578
42,2023-12-06,63.11,63.11,60.64,61.45,633200.0,61.4,5281
43,2023-12-07,61.48,62.0,60.45,60.94,315095.0,60.885,1930
44,2023-12-08,61.04,61.74,59.77,60.29,426818.0,60.342,3226
45,2023-12-11,61.77,61.77,59.05,59.89,392945.0,59.875,3160
46,2023-12-12,59.89,64.46,58.92,64.4,1076129.0,62.684,7002
47,2023-12-13,64.36,66.63,63.69,66.34,746349.0,65.068,5287
48,2023-12-14,66.47,67.99,64.61,65.32,519153.0,65.667,3948
49,2023-12-15,65.81,66.7,64.64,65.44,527492.0,65.559,2316
50,2023-12-18,65.4,65.82,64.01,65.26,205129.0,64.923,1703
51,2023-12-19,65.92,67.27,65.4,65.52,370908.0,65.985,2634
52,2023-12-20,65.1,66.45,64.05,65.28,567067.0,65.638,3645
53,2023-12-21,65.37,66.86,65.37,66.69,357016.0,66.472,2744
54,2023-12-22,68.5,71.78,68.5,70.35,865473.0,70.65,5128
55,2023-12-26,70.79,71.36,69.89,71.28,363780.0,70.834,2102
56,2023-12-27,71.76,73.9,71.3,73.65,407149.0,73.036,3224
57,2023-12-28,73.65,74.17,71.45,71.99,458613.0,72.487,3152
58,2023-12-29,71.74,72.18,70.81,71.62,302662.0,71.651,2388
59,2024-01-02,70.69,72.33,69.43,70.49,490734.0,70.627,3234
60,2024-01-03,71.62,71.63,69.03,69.45,555581.0,69.788,3243
61,2024-01-04,69.62,69.97,68.79,69.04,337956.0,69.331,2453
62,2024-01-05,68.31,70.77,67.75,68.5,342723.0,69.265,2744
63,2024-01-08,67.99,71.71,67.68,71.66,343709.0,70.111,2699
64,2024-01-09,70.99,71.35,69.93,70.75,352364.0,70.73,2347
65,2024-01-10,71.0,71.11,67.3,67.58,483618.0,68.187,3615
66,2024-01-11,66.85,68.01,65.72,68.01,402984.0,67.106,2746
67,2024-01-12,68.93,69.14,65.87,66.36,455801.0,66.867,3211
68,2024-01-16,66.12,67.93,65.52,67.47,577962.0,67.283,4083
69,2024-01-17,66.65,67.21,65.36,65.95,333160.0,66.273,2891
70,2024-01-18,66.27,66.27,64.74,65.14,390719.0,65.202,3337
71,2024-01-19,65.39,65.84,64.38,65.45,352302.0,65.376,2578
72,2024-01-22,66.39,67.72,66.25,67.32,232742.0,66.976,1911
73,2024-01-23,67.94,67.94,66.29,66.46,342997.0,66.919,2508
74,2024-01-24,67.03,67.18,65.65,66.09,399104.0,66.283,2217
75,2024-01-25,67.2,67.4,66.41,66.98,609771.0,66.935,4743
76,2024-01-26,67.53,68.49,67.35,67.37,472321.0,67.988,3586
77,2024-01-29,67.23,70.15,66.85,69.86,353107.0,68.829,2453
78,2024-01-30,69.66,69.66,67.0,68.39,334771.0,67.915,2722
79,2024-01-31,68.49,69.33,67.26,67.34,306874.0,68.408,2405
