,date,open,high,low,close,volume,average,barCount
0,2023-10-06,128.2,129.6,127.64,128.92,101018.0,128.808,779
1,2023-10-09,128.07,129.82,127.45,128.86,122847.0,128.69,885
2,2023-10-10,129.15,130.51,128.09,130.34,132235.0,130.082,1033
3,2023-10-11,130.86,130.86,128.78,129.99,110437.0,129.629,898
4,2023-10-12,130.33,130.33,127.05,128.02,156896.0,128.088,1183
5,2023-10-13,128.02,129.9,126.66,129.12,218162.0,128.523,1913
6,2023-10-16,129.25,136.6,128.71,136.0,862316.0,134.386,6536
7,2023-10-17,134.8,135.98,132.51,132.73,256457.0,133.952,1841
8,2023-10-18,131.76,133.65,131.62,132.58,123428.0,132.549,955
9,2023-10-19,132.04,135.96,128.26,132.03,875621.0,133.06,6660
10,2023-10-20,137.37,137.39,132.69,133.55,1527782.0,134.855,10151
11,2023-10-23,131.7,131.82,128.21,128.59,516807.0,129.361,4242
12,2023-10-24,129.2,131.88,128.56,131.05,280889.0,130.702,2315
13,2023-10-25,130.42,130.57,127.81,130.12,204612.0,129.788,1379
14,2023-10-26,129.17,130.0,128.26,128.88,306492.0,129.137,2430
15,2023-10-27,128.0,128.62,125.61,126.07,257468.0,126.752,1859
16,2023-10-30,127.2,128.12,124.13,124.96,348988.0,125.31,2427
17,2023-10-31,125.32,127.74,124.34,127.02,289540.0,126.703,2399
18,2023-11-01,127.96,128.89,126.52,127.34,241717.0,127.811,1936
19,2023-11-02,127.73,129.01,126.3,128.84,160594.0,128.016,1251
20,2023-11-03,130.16,132.4,130.0,132.06,246175.0,131.769,1813
21,2023-11-06,132.06,133.8,131.57,132.79,256817.0,132.634,2144
22,2023-11-07,132.94,134.48,132.65,133.67,231349.0,133.848,1808
23,2023-11-08,134.26,134.26,127.59,128.24,651679.0,129.493,4867
24,2023-11-09,128.5,129.22,116.32,116.52,1029505.0,119.617,7393
25,2023-11-10,116.52,121.22,115.97,120.2,711198.0,118.948,4646
26,2023-11-13,119.76,122.69,117.51,122.0,740289.0,121.031,4748
27,2023-11-14,124.06,125.37,122.55,124.8,578569.0,124.563,4107
28,2023-11-15,124.26,126.05,123.74,125.4,462832.0,125.168,3119
29,2023-11-16,125.35,125.35,118.55,121.79,565231.0,121.2,3638
30,2023-11-17,122.43,122.43,120.07,120.56,344986.0,120.853,2265
31,2023-11-20,120.08,121.4,119.73,120.65,206770.0,120.505,1405
32,2023-11-21,120.26,120.42,118.16,118.27,215171.0,118.959,1252
33,2023-11-22,118.66,122.34,118.33,121.72,268886.0,120.747,2058
34,2023-11-24,121.45,122.88,120.61,121.35,70468.0,121.628,599
35,2023-11-27,119.0,120.14,117.02,117.54,260341.0,118.09,1710
36,2023-11-28,117.21,117.21,111.25,114.49,967988.0,113.983,6272
37,2023-11-29,114.71,116.09,113.78,114.26,258741.0,114.553,1961
38,2023-11-30,114.08,118.47,113.48,118.23,469623.0,116.803,3354
39,2023-12-01,117.89,119.41,116.0,119.11,341134.0,118.173,2600
40,2023-12-04,118.84,122.45,118.84,121.45,241856.0,121.404,1887
41,2023-12-05,120.91,122.64,120.33,121.49,237861.0,121.598,1645
42,2023-12-06,121.94,122.92,120.91,121.63,158867.0,121.979,1135
43,2023-12-07,120.82,121.54,119.54,119.55,379980.0,120.456,2226
44,2023-12-08,120.54,121.88,119.52,120.42,258663.0,120.347,1569
45,2023-12-11,120.46,121.48,120.18,121.26,245061.0,120.855,1718
46,2023-12-12,121.9,123.22,120.21,122.42,392951.0,122.104,2336
47,2023-12-13,122.21,125.49,120.91,125.47,426055.0,123.145,2188
48,2023-12-14,125.55,126.86,122.33,123.02,295984.0,124.038,2319
49,2023-12-15,122.57,123.6,120.45,121.5,398961.0,121.458,2852
50,2023-12-18,121.19,121.81,120.03,121.14,218384.0,120.995,1719
51,2023-12-19,121.42,122.64,120.92,122.15,267271.0,121.846,2061
52,2023-12-20,122.17,123.01,119.65,119.72,185974.0,121.385,1505
53,2023-12-21,120.29,121.39,120.14,121.1,227264.0,120.745,1716
54,2023-12-22,119.74,121.82,117.54,121.25,514771.0,120.317,3730
55,2023-12-26,121.24,122.13,119.56,121.0,455483.0,120.266,3399
56,2023-12-27,121.13,123.05,120.56,122.42,317544.0,122.154,2303
57,2023-12-28,122.21,123.46,122.19,123.36,259482.0,123.076,2122
58,2023-12-29,123.19,123.23,121.22,123.0,302966.0,122.447,2452
59,2024-01-02,122.41,127.27,122.41,126.93,328150.0,126.162,2310
60,2024-01-03,129.16,129.31,125.24,125.35,302578.0,126.81,2250
61,2024-01-04,125.82,126.85,122.72,124.35,200769.0,124.419,1383
62,2024-01-05,123.99,128.71,123.83,127.6,222349.0,127.244,1494
63,2024-01-08,126.9,127.24,122.36,125.51,194564.0,124.919,1334
64,2024-01-09,125.64,125.86,122.08,122.38,363552.0,123.581,2514
65,2024-01-10,122.51,123.22,119.51,120.25,358646.0,120.425,2656
66,2024-01-11,120.0,121.86,118.59,120.4,401357.0,120.274,2905
67,2024-01-12,120.83,121.8,118.37,118.94,298768.0,119.446,1887
68,2024-01-16,118.61,119.93,117.54,119.13,253500.0,119.115,1801
69,2024-01-17,118.09,119.25,117.12,117.81,230276.0,117.941,1588
70,2024-01-18,117.3,117.34,114.11,115.19,342057.0,115.237,2274
71,2024-01-19,114.72,116.55,113.55,116.54,245359.0,115.07,1749
72,2024-01-22,116.91,119.91,116.03,119.83,300075.0,118.725,1900
73,2024-01-23,119.98,120.25,116.27,120.11,517464.0,118.246,3024
74,2024-01-24,120.82,124.06,120.28,123.14,545692.0,122.687,3836
75,2024-01-25,123.48,123.93,121.06,122.82,267903.0,122.225,2062
76,2024-01-26,123.75,124.0,121.09,122.54,238989.0,122.27,1282
77,2024-01-29,122.42,127.55,122.42,127.39,501786.0,125.789,2879
78,2024-01-30,127.57,127.57,123.58,125.56,220717.0,125.063,1737
79,2024-01-31,126.66,126.96,122.35,122.72,274424.0,124.516,1756
80,2024-02-01,122.52,124.41,121.8,123.68,278120.0,123.379,2167
81,2024-02-02,122.35,123.51,121.11,122.9,159698.0,122.657,1203
82,2024-02-05,122.66,122.93,121.25,121.98,141911.0,122.002,1051
83,2024-02-06,122.63,125.8,122.16,124.71,210998.0,124.334,1309
84,2024-02-07,124.69,124.69,122.73,122.94,133933.0,123.485,784
85,2024-02-08,122.05,123.12,120.71,122.67,139342.0,121.854,1022
86,2024-02-09,123.19,123.48,122.2,123.43,116496.0,122.999,951
87,2024-02-12,123.43,124.84,123.12,124.24,155890.0,124.15,1214
88,2024-02-13,122.37,123.53,120.99,121.83,229340.0,122.061,1755
89,2024-02-14,122.99,122.99,120.64,121.55,91285.0,121.36,620
