,date,open,high,low,close,volume,average,barCount
0,2023-10-06,129.0,131.84,128.66,129.95,1118922.0,130.57,8058
1,2023-10-09,128.93,134.5,128.57,134.0,1221296.0,133.157,8154
2,2023-10-10,133.8,136.25,133.65,134.33,1007226.0,134.66,6991
3,2023-10-11,134.75,139.17,134.51,138.5,1404310.0,137.788,9237
4,2023-10-12,138.82,141.38,138.0,139.12,1148850.0,139.619,8165
5,2023-10-13,138.5,139.91,135.07,135.98,982108.0,136.605,6987
6,2023-10-16,136.79,139.49,136.75,137.14,814509.0,137.951,5661
7,2023-10-17,136.0,138.75,135.57,137.42,926821.0,137.597,6487
8,2023-10-18,136.0,137.07,134.67,135.4,743468.0,135.594,5802
9,2023-10-19,136.28,136.88,130.1,130.34,1004458.0,131.769,6959
10,2023-10-20,129.75,130.09,124.48,125.02,1649333.0,125.979,11757
11,2023-10-23,124.26,125.83,122.64,124.23,993826.0,124.702,7260
12,2023-10-24,124.4,125.14,123.31,124.47,1024030.0,124.471,7836
13,2023-10-25,124.02,124.2,121.1,121.78,1172763.0,122.287,8169
14,2023-10-26,121.5,123.25,120.4,121.92,1256753.0,121.891,9389
15,2023-10-27,121.98,123.14,120.8,122.55,735908.0,122.326,5028
16,2023-10-30,123.61,124.55,120.02,120.42,1056303.0,121.316,7593
17,2023-10-31,120.45,123.09,119.24,122.8,933980.0,122.269,6114
18,2023-11-01,122.58,124.85,122.54,124.82,709284.0,123.835,5124
19,2023-11-02,126.09,126.96,123.89,124.94,835662.0,125.103,5962
20,2023-11-03,125.7,129.0,125.7,128.4,806560.0,127.922,6032
21,2023-11-06,128.28,128.8,126.07,127.16,794975.0,126.812,5972
22,2023-11-07,126.24,126.79,125.11,126.3,420480.0,126.059,3064
23,2023-11-08,126.45,128.09,126.01,126.59,410678.0,126.921,2972
24,2023-11-09,126.81,127.79,124.57,125.63,732681.0,125.7,5037
25,2023-11-10,126.47,128.93,126.06,128.26,639090.0,127.49,4905
26,2023-11-13,127.78,130.81,127.46,129.57,679650.0,129.645,4902
27,2023-11-14,130.93,133.21,130.53,131.88,666340.0,132.215,4676
28,2023-11-15,132.15,134.93,132.15,132.73,887300.0,133.138,4633
29,2023-11-16,131.08,132.31,130.1,130.78,1328672.0,130.883,6555
30,2023-11-17,131.11,132.18,130.12,131.39,590343.0,131.412,4403
31,2023-11-20,132.33,132.94,131.33,132.42,442745.0,132.477,3423
32,2023-11-21,132.13,132.76,130.63,130.97,426594.0,131.476,3106
33,2023-11-22,131.83,132.99,129.42,130.5,567560.0,131.053,4213
34,2023-11-24,130.99,131.25,130.1,131.17,203192.0,130.786,1595
35,2023-11-27,130.51,132.26,129.59,131.32,713362.0,131.495,5168
36,2023-11-28,131.06,131.38,129.21,130.68,816989.0,130.498,5769
37,2023-11-29,117.57,120.0,111.62,115.24,6555399.0,115.074,40716
38,2023-11-30,115.51,115.8,113.75,115.32,1852875.0,114.959,13635
39,2023-12-01,114.79,118.73,113.5,116.91,1347182.0,117.241,9435
40,2023-12-04,117.8,117.8,114.45,115.35,1680814.0,115.697,11405
41,2023-12-05,114.7,115.1,113.36,114.26,873041.0,114.419,6408
42,2023-12-06,116.09,116.75,114.26,114.39,742693.0,115.14,4693
43,2023-12-07,114.55,116.91,114.55,116.42,918646.0,116.16,5823
44,2023-12-08,116.38,119.86,116.38,119.0,858398.0,118.73,6353
45,2023-12-11,120.0,121.56,118.89,120.99,916848.0,120.612,7234
46,2023-12-12,121.13,121.96,119.74,120.15,989953.0,120.546,6875
47,2023-12-13,120.04,121.2,118.82,120.6,1668505.0,120.122,11602
