,date,open,high,low,close,volume,average,barCount
0,2023-10-06,28.7,29.73,28.66,29.61,8094446.0,29.424,36524
1,2023-10-09,29.09,29.37,28.83,29.23,5469803.0,29.124,26587
2,2023-10-10,29.66,30.32,29.59,30.27,6152789.0,30.165,30626
3,2023-10-11,30.46,30.8,30.19,30.34,6950215.0,30.406,37512
4,2023-10-12,29.95,29.95,27.55,27.83,28375699.0,28.196,115456
5,2023-10-13,26.48,27.19,26.36,27.05,21629057.0,26.893,84381
6,2023-10-16,26.64,27.91,26.51,27.64,12082383.0,27.485,55412
7,2023-10-17,26.99,27.17,26.52,26.65,12827036.0,26.753,63479
8,2023-10-18,26.24,26.26,25.82,25.88,10439840.0,25.969,44528
9,2023-10-19,24.97,25.48,24.9,25.07,10092865.0,25.165,50920
10,2023-10-20,24.51,24.59,24.19,24.38,14186680.0,24.339,69623
11,2023-10-23,24.23,24.95,24.01,24.8,11815261.0,24.662,51864
12,2023-10-24,24.4,25.6,24.39,25.25,14463495.0,25.248,74939
13,2023-10-25,24.86,25.27,24.56,25.12,8128052.0,24.985,42747
14,2023-10-26,25.21,26.17,25.19,25.92,13947438.0,25.838,67217
15,2023-10-27,26.23,26.32,25.19,25.65,11398294.0,25.473,57175
16,2023-10-30,26.1,26.18,25.65,25.94,5817149.0,25.886,30264
17,2023-10-31,25.46,25.59,25.08,25.42,10107153.0,25.329,45032
18,2023-11-01,25.45,25.46,24.96,25.33,7290343.0,25.213,34031
19,2023-11-02,25.69,25.85,25.33,25.81,5767720.0,25.679,30687
20,2023-11-03,26.66,27.16,26.5,26.94,10805272.0,26.972,49457
21,2023-11-06,27.34,27.43,26.86,27.11,7701692.0,27.087,41762
22,2023-11-07,26.72,26.86,26.41,26.82,5693129.0,26.667,28615
23,2023-11-08,26.56,26.79,26.37,26.45,4495368.0,26.507,23561
24,2023-11-09,26.26,26.35,25.64,25.75,5608382.0,25.91,29372
25,2023-11-10,25.65,25.82,25.37,25.76,5576895.0,25.594,25693
26,2023-11-13,25.97,26.03,25.54,25.75,8001189.0,25.783,42616
27,2023-11-14,26.33,26.84,26.12,26.71,12804539.0,26.534,61416
28,2023-11-15,28.52,29.27,28.05,28.59,24930292.0,28.767,112671
29,2023-11-16,27.11,28.1,26.99,28.08,15255143.0,27.712,76276
30,2023-11-17,27.65,27.79,27.25,27.61,9118125.0,27.542,46884
31,2023-11-20,28.16,28.88,28.03,28.55,10780892.0,28.604,48712
32,2023-11-21,28.36,28.68,27.83,28.08,8042740.0,28.188,40841
33,2023-11-22,28.38,28.55,28.08,28.31,4775456.0,28.271,23561
34,2023-11-24,28.14,28.98,28.13,28.76,4817729.0,28.793,23695
35,2023-11-27,28.46,29.17,28.28,28.34,7280480.0,28.515,40006
36,2023-11-28,28.09,28.22,27.61,28.16,10558680.0,27.987,54689
37,2023-11-29,27.43,27.79,27.23,27.44,10466690.0,27.469,51804
38,2023-11-30,27.41,27.71,26.86,27.43,8113692.0,27.38,41384
39,2023-12-01,26.91,27.22,26.66,27.16,8875342.0,27.005,42831
40,2023-12-04,26.68,26.93,26.53,26.59,8096349.0,26.663,37318
41,2023-12-05,26.07,26.59,25.89,26.12,8418359.0,26.094,37211
42,2023-12-06,26.5,26.84,26.31,26.6,7770221.0,26.613,37490
43,2023-12-07,26.81,27.15,26.72,26.93,6151497.0,26.949,31287
44,2023-12-08,26.79,26.92,26.44,26.45,7414658.0,26.62,37552
45,2023-12-11,25.3,25.83,25.01,25.6,11349824.0,25.561,57379
46,2023-12-12,25.57,25.58,25.03,25.18,9382346.0,25.18,44956
47,2023-12-13,25.0,25.3,24.66,25.29,11046990.0,24.927,49056
