,date,open,high,low,close,volume,average,barCount
0,2023-09-25,37.05,37.24,36.76,37.07,856388.0,37.015,5547
1,2023-09-26,36.82,37.12,36.17,36.25,1406408.0,36.461,7359
2,2023-09-27,36.38,36.48,35.86,36.24,1361975.0,36.153,9276
3,2023-09-28,35.35,37.17,35.05,36.92,1823987.0,36.841,10965
4,2023-09-29,37.15,37.46,36.41,36.63,946295.0,36.74,6048
5,2023-10-02,36.55,36.71,35.68,35.8,1685364.0,35.982,10593
6,2023-10-03,35.47,35.69,34.65,35.05,2309690.0,35.032,11934
7,2023-10-04,35.06,35.15,34.62,35.02,1016029.0,34.876,5544
8,2023-10-05,34.88,35.64,34.7,35.33,902769.0,35.36,5735
9,2023-10-06,35.14,36.02,34.69,35.5,956103.0,35.511,5803
10,2023-10-09,35.34,35.57,35.02,35.21,578373.0,35.253,4058
11,2023-10-10,35.12,35.67,35.12,35.25,596361.0,35.331,4091
12,2023-10-11,35.37,35.58,34.69,34.91,896228.0,34.962,5573
13,2023-10-12,35.05,35.11,33.84,33.96,1016632.0,34.132,6024
14,2023-10-13,34.07,34.3,33.19,33.26,805051.0,33.462,5837
15,2023-10-16,33.6,34.32,33.54,33.84,944918.0,33.913,6278
16,2023-10-17,33.56,34.59,33.54,34.18,985452.0,34.167,6335
17,2023-10-18,33.65,33.65,32.52,32.65,973644.0,32.878,6371
18,2023-10-19,32.49,32.99,32.03,32.16,1101109.0,32.448,7339
19,2023-10-20,32.09,32.57,31.72,32.26,949020.0,32.198,5923
20,2023-10-23,32.0,32.32,31.79,32.06,1012085.0,32.12,6086
21,2023-10-24,32.18,32.65,32.14,32.64,1021806.0,32.485,6106
22,2023-10-25,32.4,32.57,32.02,32.15,829202.0,32.186,5721
23,2023-10-26,32.28,32.67,32.14,32.22,743829.0,32.394,4837
24,2023-10-27,32.21,32.21,31.38,31.68,967560.0,31.713,6347
25,2023-10-30,32.01,32.24,31.71,31.99,563838.0,31.978,3923
26,2023-10-31,32.03,32.24,31.92,32.18,424753.0,32.115,2708
27,2023-11-01,32.21,32.6,31.98,32.58,580680.0,32.378,3470
28,2023-11-02,33.02,33.49,32.75,33.45,492118.0,33.293,3074
29,2023-11-03,34.2,35.06,34.13,34.87,924495.0,34.815,6323
30,2023-11-06,34.56,34.88,33.99,34.35,465658.0,34.275,3103
31,2023-11-07,34.15,34.84,34.15,34.58,593276.0,34.574,4006
32,2023-11-08,34.52,34.62,34.16,34.3,416753.0,34.33,3105
33,2023-11-09,34.53,34.54,33.62,33.64,453987.0,33.901,3319
34,2023-11-10,33.56,34.09,33.16,33.93,684331.0,33.73,4355
35,2023-11-13,33.64,34.01,33.49,33.91,480047.0,33.841,3156
36,2023-11-14,34.74,35.36,34.54,34.81,752650.0,35.034,4365
