,date,open,high,low,close,volume,average,barCount
0,2023-10-06,133.97,138.0,133.32,137.6,304807.0,136.952,2167
1,2023-10-09,137.2,140.72,137.2,140.08,362421.0,139.806,2386
2,2023-10-10,140.25,140.51,139.21,139.23,332751.0,139.633,2185
3,2023-10-11,139.5,140.58,139.18,140.35,249688.0,140.027,1315
4,2023-10-12,141.0,141.16,137.61,138.51,247108.0,138.727,1785
5,2023-10-13,138.67,138.77,136.82,138.43,274940.0,137.886,2115
6,2023-10-16,138.97,139.35,137.95,138.22,228421.0,138.518,1384
7,2023-10-17,137.54,140.0,137.5,139.65,203401.0,139.397,1525
8,2023-10-18,139.29,139.29,135.12,135.17,145563.0,136.579,1094
9,2023-10-19,135.0,135.68,132.76,132.82,228343.0,133.821,1829
10,2023-10-20,133.23,134.1,131.01,132.51,315631.0,132.244,2318
11,2023-10-23,131.91,133.27,131.5,131.65,172070.0,132.341,940
12,2023-10-24,131.9,132.85,131.09,132.39,233950.0,132.237,1799
13,2023-10-25,132.3,134.19,132.3,132.8,292282.0,133.235,2278
14,2023-10-26,132.89,134.46,132.13,133.07,301848.0,133.215,2178
15,2023-10-27,132.51,133.59,130.36,131.14,193123.0,131.314,1399
16,2023-10-30,131.15,131.8,130.22,131.2,109856.0,131.053,830
17,2023-10-31,131.48,133.45,131.12,133.3,212742.0,132.922,1558
18,2023-11-01,133.3,133.53,128.13,130.16,408324.0,129.508,3121
19,2023-11-02,131.04,134.12,130.51,133.9,253059.0,133.114,1672
20,2023-11-03,135.09,135.39,133.58,133.97,193480.0,134.026,1330
21,2023-11-06,134.08,134.08,132.01,133.58,161710.0,132.722,1292
22,2023-11-07,133.23,133.84,132.28,133.38,125557.0,133.364,1019
23,2023-11-08,133.68,133.73,132.01,132.62,207071.0,132.812,1391
24,2023-11-09,133.44,133.44,131.54,132.24,214911.0,132.282,1508
25,2023-11-10,132.69,134.34,131.17,133.94,230227.0,133.05,1714
26,2023-11-13,133.59,133.98,132.69,133.88,209643.0,133.531,1536
27,2023-11-14,135.07,138.17,135.07,137.05,219377.0,137.089,1711
28,2023-11-15,136.62,138.17,135.01,137.0,179722.0,137.254,1327
29,2023-11-16,137.45,139.23,131.07,133.1,1008400.0,134.702,6540
30,2023-11-17,134.06,135.37,132.86,135.32,565059.0,134.47,3781
31,2023-11-20,135.38,137.95,133.2,136.98,453371.0,136.45,3095
32,2023-11-21,132.0,132.35,124.99,125.08,1489055.0,127.311,8792
33,2023-11-22,123.58,125.11,120.71,123.96,927930.0,123.624,5165
34,2023-11-24,124.52,124.57,122.93,123.37,273716.0,123.52,2170
