,date,open,high,low,close,volume,average,barCount
0,2023-10-06,57.83,59.48,57.69,59.14,749023.0,58.917,5792
1,2023-10-09,59.43,61.09,59.06,60.84,1432185.0,60.598,9419
2,2023-10-10,60.99,61.66,60.78,61.34,936191.0,61.388,6491
3,2023-10-11,61.36,62.1,61.24,62.02,783444.0,61.752,5800
4,2023-10-12,62.32,62.55,60.78,61.17,643851.0,61.416,4447
5,2023-10-13,61.28,61.42,60.19,60.81,613965.0,60.596,4866
6,2023-10-16,61.37,61.77,61.06,61.09,683178.0,61.284,5334
7,2023-10-17,61.15,61.97,61.15,61.67,1135800.0,61.606,8866
8,2023-10-18,61.33,61.35,60.43,60.56,811734.0,60.838,6157
9,2023-10-19,60.35,60.93,59.64,59.8,914219.0,60.031,6359
10,2023-10-20,59.66,60.09,58.79,59.0,761341.0,59.277,5816
11,2023-10-23,58.63,59.43,58.36,58.49,700773.0,58.818,5328
12,2023-10-24,58.99,59.46,58.11,58.15,1018771.0,58.444,6974
13,2023-10-25,58.28,58.88,57.95,58.16,759235.0,58.322,5830
14,2023-10-26,58.1,58.84,57.82,58.32,999976.0,58.411,6977
15,2023-10-27,58.12,58.36,56.77,57.14,1263881.0,57.157,8243
16,2023-10-30,57.54,57.87,56.79,57.41,1158381.0,57.378,8457
17,2023-10-31,57.62,58.31,57.44,58.15,792250.0,58.055,5392
18,2023-11-01,58.08,58.72,57.76,58.27,769315.0,58.203,5516
19,2023-11-02,55.9,55.9,49.77,50.37,5526981.0,51.07,30489
20,2023-11-03,50.48,51.07,49.37,50.74,2586315.0,50.296,13924
21,2023-11-06,50.82,50.87,49.7,49.88,1467933.0,50.045,9072
22,2023-11-07,49.85,51.93,49.69,51.4,2266010.0,51.115,12938
23,2023-11-08,51.31,52.2,51.31,51.62,1449690.0,51.795,10435
24,2023-11-09,53.0,53.28,52.2,52.53,1503045.0,52.687,10464
25,2023-11-10,52.43,52.79,52.11,52.64,852668.0,52.569,5620
26,2023-11-13,52.34,53.06,52.24,52.73,974596.0,52.738,6275
27,2023-11-14,52.94,53.68,52.94,53.04,1147679.0,53.246,8237
28,2023-11-15,53.14,53.33,52.51,52.55,1106010.0,52.812,6843
29,2023-11-16,52.68,52.82,52.12,52.17,987321.0,52.359,6633
30,2023-11-17,52.44,52.61,51.41,51.86,1228739.0,51.797,8668
31,2023-11-20,51.72,52.71,51.63,52.43,776367.0,52.465,5244
32,2023-11-21,52.35,52.41,52.02,52.17,586184.0,52.256,3836
33,2023-11-22,52.06,52.59,51.84,52.33,714106.0,52.304,4505
34,2023-11-24,52.35,52.49,52.0,52.27,102344.0,52.322,805
35,2023-11-27,52.26,52.71,52.0,52.59,823995.0,52.353,5411
