,date,open,high,low,close,volume,average,barCount
0,2023-09-25,24.14,24.14,23.53,23.71,7016.0,23.745,61
1,2023-09-26,23.17,23.26,22.6,22.61,9172.0,22.887,54
2,2023-09-27,22.58,22.58,22.05,22.17,10607.0,22.279,90
3,2023-09-28,22.97,23.0,22.51,22.61,17670.0,22.753,115
4,2023-09-29,22.75,23.39,22.67,22.7,12589.0,22.764,91
5,2023-10-02,22.59,22.59,22.22,22.22,11421.0,22.392,90
6,2023-10-03,22.41,22.68,22.31,22.53,12368.0,22.494,92
7,2023-10-04,22.45,22.88,22.31,22.75,14930.0,22.547,109
8,2023-10-05,22.64,22.7,22.06,22.15,17214.0,22.385,99
9,2023-10-06,22.04,22.95,22.04,22.9,13123.0,22.393,70
10,2023-10-09,21.71,21.78,21.25,21.49,12634.0,21.482,51
11,2023-10-10,22.31,22.42,22.09,22.15,1030.0,22.223,10
12,2023-10-11,21.9,22.18,21.55,21.66,2289.0,21.859,11
13,2023-10-12,21.85,21.86,21.19,21.19,4181.0,21.39,17
14,2023-10-13,21.84,21.84,21.0,21.09,862.0,21.308,6
15,2023-10-16,21.05,21.05,20.59,20.66,15152.0,20.748,37
16,2023-10-17,20.64,20.8,20.25,20.61,6436.0,20.417,32
17,2023-10-18,20.41,20.95,20.41,20.82,2265.0,20.765,11
18,2023-10-19,21.13,21.13,20.55,20.55,309.0,21.13,1
19,2023-10-20,20.55,20.6,20.45,20.45,1364.0,20.57,6
20,2023-10-23,19.7,19.7,19.14,19.35,2954.0,19.45,20
21,2023-10-24,19.35,19.55,19.1,19.55,11288.0,19.378,44
22,2023-10-25,18.92,18.98,18.43,18.48,9160.0,18.672,32
23,2023-10-26,18.11,18.12,17.9,18.03,4204.0,18.026,25
24,2023-10-27,18.1,18.1,17.81,17.86,1224.0,18.013,7
25,2023-10-30,17.86,18.08,17.64,17.97,4057.0,17.939,21
26,2023-10-31,17.84,18.41,17.84,18.34,4913.0,18.08,25
27,2023-11-01,18.31,19.16,18.31,19.16,6082.0,18.875,37
28,2023-11-02,19.28,20.0,19.28,19.39,10216.0,19.678,59
29,2023-11-03,19.82,19.99,19.76,19.8,9811.0,19.807,31
30,2023-11-06,20.36,20.46,20.06,20.24,7004.0,20.315,29
31,2023-11-07,20.68,20.72,20.52,20.65,1602.0,20.675,8
32,2023-11-08,20.93,20.93,20.25,20.5,1865.0,20.584,12
33,2023-11-09,20.72,20.72,20.28,20.57,2190.0,20.448,9
34,2023-11-10,20.45,20.62,20.27,20.62,2046.0,20.365,18
35,2023-11-13,19.76,20.0,19.66,19.93,3889.0,19.788,16
36,2023-11-14,20.7,20.98,20.32,20.89,8248.0,20.627,64
