,date,open,high,low,close,volume,average,barCount
0,2023-09-25,43.63,44.34,43.0,43.29,91807.0,43.456,717
1,2023-09-26,43.11,43.84,42.81,42.83,123605.0,43.193,871
2,2023-09-27,43.02,43.29,41.88,42.45,197267.0,42.348,1436
3,2023-09-28,42.54,42.88,41.73,42.2,188234.0,42.199,1265
4,2023-09-29,42.34,42.44,41.4,42.03,168593.0,41.884,1233
5,2023-10-02,41.88,42.15,41.19,41.7,134813.0,41.648,928
6,2023-10-03,41.36,41.36,39.8,40.39,242257.0,40.403,1521
7,2023-10-04,40.51,40.7,38.32,39.91,678707.0,39.326,3433
8,2023-10-05,39.91,41.52,39.87,41.47,277565.0,41.025,1608
9,2023-10-06,42.51,43.5,41.52,42.19,339549.0,42.682,2467
10,2023-10-09,41.33,42.43,41.2,42.04,128279.0,41.849,854
11,2023-10-10,42.1,42.71,41.87,42.08,96366.0,42.156,844
12,2023-10-11,41.97,42.61,41.82,42.48,86719.0,42.302,695
13,2023-10-12,42.6,42.8,42.0,42.11,100470.0,42.284,727
14,2023-10-13,42.41,43.9,42.29,43.68,286335.0,43.486,1792
15,2023-10-16,44.11,45.28,43.73,44.98,176260.0,44.986,1208
16,2023-10-17,44.88,46.24,44.51,45.63,114405.0,45.813,913
17,2023-10-18,45.32,45.81,44.64,45.37,140218.0,45.375,955
18,2023-10-19,45.25,45.25,42.92,43.34,144410.0,43.559,1111
19,2023-10-20,43.43,43.77,42.48,42.64,180982.0,42.863,1241
20,2023-10-23,42.23,42.25,40.84,40.84,176596.0,41.434,1140
21,2023-10-24,40.66,42.06,39.84,41.99,410506.0,41.213,2243
22,2023-10-25,41.91,42.71,41.51,42.31,344910.0,42.346,2081
23,2023-10-26,42.5,43.58,42.18,42.49,139816.0,42.697,1065
24,2023-10-27,42.48,42.83,40.8,41.28,189896.0,41.393,1466
25,2023-10-30,41.96,42.3,41.41,42.16,98077.0,42.004,720
26,2023-10-31,40.54,43.72,39.8,39.88,543269.0,40.948,3433
27,2023-11-01,40.01,41.48,38.9,39.64,458191.0,39.96,2509
28,2023-11-02,40.75,41.7,40.01,41.24,281263.0,41.266,1833
