,date,open,high,low,close,volume,average,barCount
0,2023-09-25,24.32,24.86,24.32,24.76,257276.0,24.706,1892
1,2023-09-26,24.58,24.82,24.5,24.51,250313.0,24.606,2073
2,2023-09-27,24.78,25.18,24.7,25.13,532714.0,24.941,3403
3,2023-09-28,24.99,25.59,24.99,25.16,390130.0,25.246,2389
4,2023-09-29,25.4,25.48,24.75,24.88,236242.0,24.969,1812
5,2023-10-02,24.84,25.03,24.51,24.8,275268.0,24.737,1974
6,2023-10-03,24.66,24.85,24.32,24.35,299357.0,24.487,2002
7,2023-10-04,24.2,24.62,23.98,24.56,354963.0,24.373,2153
8,2023-10-05,24.54,24.62,24.27,24.46,325857.0,24.425,2152
9,2023-10-06,24.29,24.99,24.29,24.7,215923.0,24.74,1622
10,2023-10-09,24.32,24.61,24.26,24.47,333077.0,24.468,2436
11,2023-10-10,24.69,25.0,24.61,24.63,266588.0,24.792,1922
12,2023-10-11,24.38,24.77,24.29,24.76,202614.0,24.586,1219
13,2023-10-12,24.73,24.73,24.09,24.18,545910.0,24.25,3055
14,2023-10-13,24.22,24.32,23.68,24.1,368291.0,23.975,2422
15,2023-10-16,24.28,24.49,24.09,24.33,351696.0,24.285,2522
16,2023-10-17,24.05,24.88,24.05,24.66,365348.0,24.718,2817
17,2023-10-18,24.4,24.44,23.62,23.66,259798.0,23.897,1927
18,2023-10-19,23.59,23.86,23.1,23.21,359298.0,23.431,2555
19,2023-10-20,23.3,23.48,23.13,23.17,343279.0,23.283,2251
20,2023-10-23,23.17,23.24,22.64,22.66,393098.0,22.907,2776
21,2023-10-24,22.9,23.09,22.7,22.95,344610.0,22.919,2523
22,2023-10-25,22.82,22.91,22.63,22.86,357597.0,22.802,2681
23,2023-10-26,22.95,23.08,22.67,22.84,483848.0,22.829,3304
24,2023-10-27,22.85,23.03,22.48,22.5,362257.0,22.674,2658
25,2023-10-30,22.85,23.07,22.6,23.01,701851.0,22.913,4186
26,2023-10-31,22.95,23.26,22.91,23.11,549364.0,23.124,3849
27,2023-11-01,24.61,25.24,22.07,22.82,1258350.0,22.736,7275
28,2023-11-02,22.92,23.4,22.74,23.35,558286.0,23.197,3756
29,2023-11-03,23.85,24.23,23.8,24.01,387486.0,23.999,2726
30,2023-11-06,23.79,23.99,22.87,23.02,583140.0,23.073,3914
31,2023-11-07,22.9,22.98,22.63,22.78,442550.0,22.778,2842
32,2023-11-08,22.8,22.89,22.38,22.42,401888.0,22.509,2720
33,2023-11-09,22.66,22.91,22.43,22.56,337138.0,22.639,2391
34,2023-11-10,22.66,22.86,22.53,22.82,266627.0,22.767,1980
35,2023-11-13,22.64,22.83,22.58,22.58,291794.0,22.675,2023
36,2023-11-14,23.25,24.21,23.25,24.15,753533.0,24.048,4924
37,2023-11-15,24.23,24.78,24.15,24.3,417806.0,24.39,2673
38,2023-11-16,24.2,24.36,23.5,23.69,320453.0,23.671,2384
39,2023-11-17,23.96,24.07,23.72,24.04,275718.0,23.942,1614
40,2023-11-20,23.96,23.96,23.48,23.56,418357.0,23.664,2679
41,2023-11-21,23.44,23.6,23.07,23.1,308728.0,23.231,2242
42,2023-11-22,23.22,23.23,22.85,23.05,837279.0,22.962,2924
43,2023-11-24,23.04,23.3,22.97,23.17,119555.0,23.205,901
44,2023-11-27,23.03,23.1,22.75,23.03,333899.0,23.013,2308
45,2023-11-28,23.03,23.25,22.8,23.19,532906.0,23.123,2626
46,2023-11-29,23.45,23.76,23.25,23.36,323151.0,23.394,2285
47,2023-11-30,23.5,23.59,23.13,23.31,310275.0,23.288,2308
48,2023-12-01,23.31,24.16,23.18,24.15,417756.0,23.954,2834
49,2023-12-04,23.98,24.64,23.98,24.64,674216.0,24.473,3926
50,2023-12-05,24.51,24.51,23.91,24.0,287002.0,24.086,2025
51,2023-12-06,24.24,25.07,24.19,24.45,776847.0,24.768,4461
52,2023-12-07,24.45,24.54,24.2,24.33,354599.0,24.304,2609
53,2023-12-08,24.27,24.59,24.19,24.56,299870.0,24.494,2229
54,2023-12-11,24.56,24.81,24.45,24.75,277908.0,24.704,1924
55,2023-12-12,24.7,24.84,24.47,24.78,388973.0,24.724,2704
56,2023-12-13,24.78,25.23,24.15,25.16,482423.0,24.787,3169
57,2023-12-14,25.63,27.04,25.63,26.87,1083274.0,26.62,7415
58,2023-12-15,26.85,26.85,25.83,25.84,689138.0,26.364,3383
59,2023-12-18,25.95,25.95,25.34,25.47,458927.0,25.543,2782
60,2023-12-19,25.67,26.16,25.65,25.8,288573.0,25.846,2080
61,2023-12-20,25.7,26.25,25.54,25.57,364890.0,25.925,2388
62,2023-12-21,25.92,25.92,25.59,25.9,288940.0,25.808,2174
63,2023-12-22,26.0,26.3,25.86,26.03,310809.0,26.14,2204
64,2023-12-26,26.13,26.4,26.01,26.21,160288.0,26.256,1185
65,2023-12-27,26.22,26.35,26.01,26.1,212300.0,26.166,1737
