,date,open,high,low,close,volume,average,barCount
0,2023-10-06,44.08,44.19,42.62,43.45,4837554.0,43.325,27660
1,2023-10-09,43.45,44.64,43.45,44.62,3284643.0,44.129,19139
2,2023-10-10,44.95,45.3,44.83,44.84,3315160.0,45.048,20322
3,2023-10-11,44.85,45.07,43.65,44.19,3313269.0,44.184,19375
4,2023-10-12,44.19,44.54,43.58,44.26,2689898.0,44.202,16532
5,2023-10-13,44.33,44.53,44.04,44.16,2374986.0,44.258,15010
6,2023-10-16,44.47,44.65,44.2,44.29,2476472.0,44.413,15324
7,2023-10-17,44.21,44.68,44.17,44.49,1740285.0,44.473,10193
8,2023-10-18,44.58,44.9,44.21,44.23,2492187.0,44.454,15014
9,2023-10-19,44.19,44.82,44.17,44.5,2993990.0,44.434,18116
10,2023-10-20,44.62,44.69,44.13,44.13,1863985.0,44.419,10273
11,2023-10-23,43.99,44.04,43.17,43.32,2458066.0,43.588,14211
12,2023-10-24,43.58,43.85,43.42,43.61,2047699.0,43.631,11895
13,2023-10-25,43.65,44.42,43.6,44.29,1911000.0,44.161,12104
14,2023-10-26,44.34,44.93,44.16,44.77,2388707.0,44.692,14842
15,2023-10-27,44.65,45.11,44.27,44.43,2150332.0,44.636,13709
16,2023-10-30,44.4,45.15,44.4,44.95,2076498.0,44.864,12745
17,2023-10-31,45.01,45.73,44.8,45.37,2289140.0,45.418,14009
18,2023-11-01,45.56,45.7,45.04,45.39,2226832.0,45.465,13628
19,2023-11-02,45.19,45.64,44.94,45.4,1923309.0,45.303,11910
20,2023-11-03,45.6,45.97,45.34,45.37,1968110.0,45.584,11852
21,2023-11-06,45.38,45.55,45.14,45.16,2035999.0,45.273,12024
22,2023-11-07,45.1,45.39,44.9,45.11,1363401.0,45.18,8466
23,2023-11-08,44.79,44.8,43.54,43.87,3575732.0,44.008,19984
24,2023-11-09,43.89,44.03,43.35,43.89,2135930.0,43.69,12334
25,2023-11-10,43.97,44.07,43.5,43.89,1775377.0,43.852,10136
26,2023-11-13,43.96,44.25,43.69,44.18,2211218.0,44.024,12890
27,2023-11-14,43.94,44.79,43.94,44.24,2468276.0,44.411,14508
28,2023-11-15,44.4,44.84,44.34,44.51,2937386.0,44.572,17156
29,2023-11-16,43.75,44.04,42.57,42.66,5903997.0,42.908,34519
30,2023-11-17,42.66,42.77,42.09,42.44,5706120.0,42.317,29960
31,2023-11-20,42.5,43.11,42.31,42.92,3066945.0,42.775,16987
32,2023-11-21,43.03,43.25,42.53,43.01,2227848.0,42.992,13276
33,2023-11-22,43.2,43.86,43.11,43.82,3953704.0,43.646,19603
34,2023-11-24,43.99,44.26,43.7,44.18,1618305.0,44.046,9629
35,2023-11-27,44.11,44.36,43.94,44.09,2605233.0,44.103,16374
36,2023-11-28,43.89,44.09,43.67,43.92,3807377.0,43.881,19331
37,2023-11-29,43.87,43.94,43.45,43.64,6091991.0,43.636,32106
38,2023-11-30,43.55,44.95,42.96,44.27,10710403.0,44.237,53004
39,2023-12-01,44.51,44.76,43.7,44.6,4456913.0,44.287,23468
