,date,open,high,low,close,volume,average,barCount
0,2023-10-06,89.95,91.34,89.22,90.98,274902.0,90.566,1941
1,2023-10-09,91.84,95.06,91.84,94.41,530723.0,94.137,3895
2,2023-10-10,94.7,95.02,93.88,94.29,364969.0,94.353,2616
3,2023-10-11,94.38,95.77,94.32,95.64,348593.0,95.274,2542
4,2023-10-12,95.84,95.84,93.7,94.51,343935.0,94.591,2257
5,2023-10-13,95.29,95.76,94.13,94.89,391177.0,94.751,2607
6,2023-10-16,95.41,96.01,94.77,95.41,300559.0,95.325,1977
7,2023-10-17,95.43,96.67,95.22,95.47,224741.0,95.649,1817
8,2023-10-18,95.36,95.36,94.1,94.27,220285.0,94.658,1688
9,2023-10-19,94.28,94.83,93.19,93.41,237040.0,93.683,1647
10,2023-10-20,94.0,94.18,92.68,92.71,211300.0,93.295,1314
11,2023-10-23,92.39,93.16,91.88,91.88,179965.0,92.415,1247
12,2023-10-24,92.42,92.88,90.83,91.01,287978.0,91.337,1964
13,2023-10-25,91.07,92.33,91.07,91.32,196860.0,91.568,1630
14,2023-10-26,91.33,92.68,90.64,92.07,306776.0,92.095,2538
15,2023-10-27,91.56,92.11,90.3,90.49,229248.0,90.888,1809
16,2023-10-30,92.32,92.72,90.53,91.79,400827.0,91.376,3320
17,2023-10-31,95.52,99.75,94.56,99.12,831012.0,98.806,6212
18,2023-11-01,100.03,101.92,98.29,101.18,799117.0,100.808,6012
19,2023-11-02,101.25,103.48,100.16,103.18,693455.0,102.765,4928
20,2023-11-03,103.66,105.31,103.5,103.94,614667.0,104.491,4539
21,2023-11-06,103.74,103.89,102.82,103.32,348455.0,103.289,2370
22,2023-11-07,103.02,103.6,102.58,102.81,435414.0,103.079,2859
23,2023-11-08,102.77,103.37,102.21,103.01,356454.0,102.85,2647
24,2023-11-09,103.35,103.58,102.27,102.51,353850.0,102.884,2578
25,2023-11-10,103.0,103.89,102.75,103.55,325583.0,103.558,2332
26,2023-11-13,103.46,104.84,102.72,104.41,382064.0,104.102,2329
27,2023-11-14,104.96,105.47,103.82,104.98,432822.0,104.921,3020
28,2023-11-15,105.01,105.46,104.3,104.96,346974.0,104.896,2450
29,2023-11-16,105.15,105.85,104.63,104.67,349644.0,104.978,2478
30,2023-11-17,105.95,105.95,104.93,105.26,391676.0,105.227,2502
31,2023-11-20,105.0,106.42,104.72,105.92,287417.0,105.905,2121
32,2023-11-21,105.95,106.48,105.33,105.67,228167.0,105.933,1623
33,2023-11-22,105.68,106.69,105.5,106.32,270017.0,106.111,1914
34,2023-11-24,106.72,107.26,106.49,106.76,120793.0,106.866,777
35,2023-11-27,106.53,106.91,106.14,106.75,192569.0,106.588,1346
36,2023-11-28,106.88,107.4,106.33,106.34,276238.0,106.69,1870
37,2023-11-29,106.59,106.94,105.74,106.22,278658.0,106.15,2056
38,2023-11-30,106.28,107.35,105.71,107.32,330450.0,106.987,2323
39,2023-12-01,107.13,108.95,106.8,108.94,334671.0,108.27,2544
40,2023-12-04,109.15,111.39,109.0,111.3,320485.0,110.674,2218
41,2023-12-05,111.0,111.0,109.77,110.0,202766.0,110.081,1500
42,2023-12-06,109.81,110.87,109.34,109.7,244565.0,109.789,1659
43,2023-12-07,109.98,110.29,108.36,108.68,307135.0,108.713,2331
44,2023-12-08,108.91,109.3,108.28,108.49,289562.0,108.616,1967
45,2023-12-11,108.61,108.89,107.79,108.31,246451.0,108.337,1885
46,2023-12-12,108.26,109.46,107.88,109.01,184473.0,108.77,1347
47,2023-12-13,109.06,110.23,108.77,110.18,272641.0,109.708,2019
48,2023-12-14,109.98,110.17,107.52,108.69,439046.0,108.541,3458
49,2023-12-15,107.69,108.58,106.91,107.55,399041.0,107.562,2038
50,2023-12-18,108.2,108.65,107.2,107.89,240137.0,107.627,1923
51,2023-12-19,107.93,108.09,107.4,107.71,246635.0,107.679,1810
52,2023-12-20,107.65,107.71,105.71,105.88,293157.0,106.761,2442
53,2023-12-21,106.35,106.86,105.52,106.59,276489.0,106.376,2033
54,2023-12-22,106.92,108.06,106.92,107.63,229639.0,107.597,1539
55,2023-12-26,107.49,108.24,107.2,107.9,169834.0,107.963,1054
56,2023-12-27,107.86,108.54,107.54,107.82,120116.0,107.828,863
57,2023-12-28,107.71,108.04,107.36,107.94,105940.0,107.746,808
58,2023-12-29,107.96,108.42,107.72,108.24,148628.0,108.171,1166
59,2024-01-02,107.94,108.54,107.27,108.0,354183.0,107.984,2535
60,2024-01-03,107.54,107.82,106.38,107.66,444798.0,107.246,3564
61,2024-01-04,108.42,108.82,107.37,107.82,289173.0,107.933,2125
62,2024-01-05,108.9,109.51,107.51,108.74,605239.0,108.464,4205
63,2024-01-08,109.01,110.22,108.18,110.17,293191.0,109.624,2250
64,2024-01-09,110.27,110.63,109.44,110.22,208612.0,110.155,1447
65,2024-01-10,110.14,110.62,109.43,109.71,270937.0,109.801,2242
66,2024-01-11,109.65,109.74,108.3,108.82,255200.0,108.823,1857
67,2024-01-12,108.8,110.32,108.8,110.19,195611.0,109.777,1518
68,2024-01-16,109.89,110.0,108.14,108.74,226575.0,108.748,1809
69,2024-01-17,108.02,109.28,108.02,108.51,266852.0,108.687,2133
70,2024-01-18,108.62,109.8,107.73,109.73,424854.0,108.852,2436
71,2024-01-19,110.0,110.19,109.07,109.88,233733.0,109.783,1611
72,2024-01-22,110.16,111.52,110.16,111.27,203468.0,111.103,1437
73,2024-01-23,111.37,111.54,110.28,110.57,161441.0,110.692,1237
74,2024-01-24,111.02,111.37,110.05,110.16,123377.0,110.584,990
75,2024-01-25,110.92,110.92,108.95,110.73,208980.0,110.095,1448
76,2024-01-26,111.63,113.5,110.96,111.55,252479.0,111.589,1935
77,2024-01-29,111.33,111.9,110.58,111.51,256678.0,111.187,1811
78,2024-01-30,111.57,111.81,111.2,111.61,255228.0,111.507,2015
79,2024-01-31,111.94,111.94,110.15,110.47,218259.0,110.901,1739
80,2024-02-01,110.67,110.89,109.66,110.85,286991.0,110.524,2326
81,2024-02-02,110.62,111.45,110.04,110.93,156784.0,110.83,1295
82,2024-02-05,110.15,111.16,108.97,110.73,342729.0,110.45,2476
83,2024-02-06,110.65,112.91,110.6,112.16,272788.0,112.104,1921
84,2024-02-07,112.33,113.41,111.95,113.08,277172.0,112.876,1808
85,2024-02-08,112.9,113.72,112.53,113.27,348441.0,113.257,2388
86,2024-02-09,113.63,114.23,112.99,113.53,367623.0,113.48,2454
87,2024-02-12,113.8,115.4,113.67,114.56,657402.0,114.809,4740
88,2024-02-13,119.4,122.5,118.4,121.28,1229616.0,120.598,9000
89,2024-02-14,121.93,122.49,119.99,119.99,171609.0,120.921,1114
