,date,open,high,low,close,volume,average,barCount
0,2023-10-06,107.43,109.96,106.5,109.22,1180272.0,108.751,9108
1,2023-10-09,108.16,111.41,107.53,111.27,816950.0,110.362,6221
2,2023-10-10,111.48,114.73,111.48,113.07,1150655.0,113.62,8589
3,2023-10-11,113.53,114.99,112.68,114.27,1033452.0,113.706,7820
4,2023-10-12,112.56,113.21,107.67,108.46,1227550.0,109.502,8894
5,2023-10-13,108.5,110.42,108.21,109.3,1120487.0,109.044,8719
6,2023-10-16,110.24,110.49,108.45,109.58,797596.0,109.561,6035
7,2023-10-17,109.01,111.13,108.69,109.63,914076.0,109.913,6639
8,2023-10-18,108.3,109.01,106.74,106.78,780210.0,107.556,5846
9,2023-10-19,107.02,107.33,104.2,104.61,1215109.0,105.309,8956
10,2023-10-20,104.67,105.3,103.55,103.79,833927.0,104.321,6022
11,2023-10-23,103.84,106.32,103.47,105.3,985466.0,105.383,6729
12,2023-10-24,105.16,106.46,103.96,104.93,923787.0,105.335,6418
13,2023-10-25,104.45,104.69,102.96,103.07,1038534.0,103.517,8039
14,2023-10-26,103.67,105.46,102.9,103.93,1199823.0,104.167,8671
15,2023-10-27,104.34,104.69,103.34,103.79,667830.0,103.906,5168
16,2023-10-30,104.64,105.39,103.41,104.52,913177.0,104.19,6845
17,2023-10-31,104.91,107.22,104.68,106.68,746923.0,106.593,5713
18,2023-11-01,106.66,111.48,105.74,111.22,1246545.0,109.764,9719
19,2023-11-02,114.07,117.29,113.44,115.86,1379378.0,116.316,10902
20,2023-11-03,118.84,122.08,118.84,119.82,1477501.0,120.6,10386
21,2023-11-06,117.89,119.32,116.62,118.72,858954.0,118.472,6103
22,2023-11-07,118.84,121.58,118.58,120.41,1000799.0,120.538,7007
23,2023-11-08,120.57,121.75,119.69,120.88,780574.0,121.083,5641
24,2023-11-09,120.94,122.17,118.92,119.63,611903.0,120.384,4748
25,2023-11-10,120.34,122.65,119.14,122.2,770440.0,121.658,5495
26,2023-11-13,122.69,122.87,120.5,122.25,673783.0,122.184,4676
27,2023-11-14,126.9,131.27,126.66,128.26,1834318.0,129.475,12541
28,2023-11-15,128.05,129.28,126.8,126.85,1063857.0,127.748,8546
29,2023-11-16,127.06,128.09,126.37,127.08,953858.0,126.905,7130
30,2023-11-17,127.9,128.32,127.12,127.49,840460.0,127.71,5921
31,2023-11-20,126.79,128.37,126.03,128.3,511345.0,127.491,3745
32,2023-11-21,127.74,128.48,126.73,126.78,601591.0,127.543,4146
33,2023-11-22,127.69,128.77,126.61,127.43,465635.0,127.399,3566
34,2023-11-24,127.27,128.01,126.77,127.63,186731.0,127.608,1468
35,2023-11-27,126.08,127.27,126.08,126.84,495241.0,126.858,3292
36,2023-11-28,126.46,127.16,125.55,126.06,501426.0,126.204,3895
37,2023-11-29,127.66,128.08,126.66,126.84,785996.0,127.239,6074
38,2023-11-30,126.4,128.07,125.17,127.92,805504.0,127.396,5494
39,2023-12-01,128.03,131.67,127.94,131.58,826952.0,130.536,5923
40,2023-12-04,130.92,131.96,130.29,131.51,668648.0,131.248,5230
41,2023-12-05,131.68,131.99,130.55,131.9,554538.0,131.368,4322
42,2023-12-06,133.25,137.1,132.27,135.37,1711608.0,135.965,12042
43,2023-12-07,135.31,137.56,135.31,137.47,853792.0,136.418,6546
44,2023-12-08,136.82,140.0,136.69,139.58,894796.0,138.934,6797
45,2023-12-11,139.05,140.41,137.94,139.64,725827.0,139.68,5270
46,2023-12-12,139.78,141.1,139.1,140.53,771047.0,140.327,5860
47,2023-12-13,141.19,145.91,139.68,145.16,1886678.0,142.332,13605
48,2023-12-14,147.87,155.43,147.25,154.81,2390017.0,153.413,16020
49,2023-12-15,146.23,156.01,144.0,149.28,3526678.0,150.654,21709
50,2023-12-18,149.21,149.33,144.91,147.28,1342963.0,146.456,9499
51,2023-12-19,148.62,149.7,147.62,148.65,1017209.0,148.637,7354
52,2023-12-20,148.09,150.08,146.72,146.79,747404.0,148.66,5519
53,2023-12-21,148.71,149.48,146.09,147.91,785864.0,147.233,5367
54,2023-12-22,148.53,148.87,146.5,147.42,540449.0,147.52,3230
55,2023-12-26,147.94,148.51,147.21,148.2,459472.0,148.059,2809
56,2023-12-27,148.26,149.88,147.54,149.3,639642.0,148.971,4844
57,2023-12-28,149.0,149.82,148.39,149.18,473191.0,149.406,3801
58,2023-12-29,148.5,149.67,148.06,149.04,540670.0,149.015,3924
59,2024-01-02,147.25,148.45,145.05,147.46,654242.0,147.284,5085
60,2024-01-03,145.64,146.95,143.73,145.66,793001.0,145.621,6100
61,2024-01-04,145.44,146.94,144.97,145.07,594379.0,146.09,4410
62,2024-01-05,144.39,147.8,144.04,146.27,897997.0,146.769,6370
63,2024-01-08,147.4,149.45,147.2,149.31,672333.0,148.497,5196
64,2024-01-09,147.85,149.19,147.73,148.16,771657.0,148.337,5758
65,2024-01-10,152.6,155.4,151.59,153.35,2207973.0,153.057,14317
66,2024-01-11,152.21,155.26,152.07,155.2,1586278.0,153.662,11632
67,2024-01-12,155.48,155.71,151.53,151.75,1176799.0,152.337,8263
68,2024-01-16,150.65,151.68,149.99,150.5,812612.0,150.65,6224
69,2024-01-17,149.15,150.5,148.51,149.6,1058327.0,149.453,7224
70,2024-01-18,150.94,152.45,148.54,150.32,1092501.0,150.385,6809
71,2024-01-19,150.67,152.66,149.62,151.81,1071531.0,151.242,6551
72,2024-01-22,152.32,155.37,152.31,155.27,995387.0,154.478,7637
73,2024-01-23,150.98,152.92,146.37,147.59,2216136.0,148.303,14863
74,2024-01-24,149.18,149.26,144.77,145.12,1130612.0,145.847,8621
75,2024-01-25,147.91,149.15,145.66,149.12,1374011.0,147.887,11506
76,2024-01-26,149.14,150.12,147.82,148.38,905527.0,148.715,6874
77,2024-01-29,148.5,149.73,147.32,149.57,902622.0,148.969,6464
78,2024-01-30,150.22,152.76,150.22,151.07,926881.0,151.407,6876
79,2024-01-31,150.58,152.78,149.16,149.85,1067374.0,151.1,8036
80,2024-02-01,151.41,154.6,149.96,153.93,1171068.0,152.75,8882
81,2024-02-02,151.31,155.58,150.19,154.01,1033323.0,153.488,8069
82,2024-02-05,152.58,153.18,150.25,152.5,842783.0,151.852,6600
83,2024-02-06,152.5,152.8,149.14,150.94,1013426.0,150.657,7459
84,2024-02-07,152.14,153.87,151.81,152.69,605549.0,153.007,4895
85,2024-02-08,153.15,154.11,151.77,153.29,601096.0,152.7,4538
86,2024-02-09,153.02,153.8,151.28,153.02,751358.0,152.817,5596
87,2024-02-12,153.57,158.36,153.4,157.91,1651967.0,157.068,10773
88,2024-02-13,151.66,152.75,148.77,151.68,1715158.0,151.224,12721
89,2024-02-14,153.22,154.04,151.49,152.27,277629.0,152.34,1968
