,date,open,high,low,close,volume,average,barCount
0,2023-09-25,50.9,51.23,50.58,51.05,628400.0,50.919,4709
1,2023-09-26,50.96,50.96,49.12,49.26,901973.0,49.76,6971
2,2023-09-27,49.17,49.36,48.42,48.55,885923.0,48.745,6333
3,2023-09-28,48.79,48.91,47.8,48.06,901109.0,48.148,6842
4,2023-09-29,48.55,48.89,47.96,48.45,1097907.0,48.32,7761
5,2023-10-02,48.27,48.27,45.87,46.24,1289984.0,46.458,8981
6,2023-10-03,45.83,46.95,45.15,46.79,1412518.0,46.29,10064
7,2023-10-04,46.84,47.54,46.31,47.49,1330782.0,47.041,10154
8,2023-10-05,47.45,47.84,46.95,47.61,1079342.0,47.472,7893
9,2023-10-06,47.2,48.57,46.73,48.38,1307630.0,47.977,9355
10,2023-10-09,48.3,48.72,48.07,48.57,852769.0,48.411,6319
11,2023-10-10,48.49,49.23,48.47,49.15,754471.0,48.992,5504
12,2023-10-11,49.29,49.78,48.89,49.69,655738.0,49.439,5071
13,2023-10-12,49.45,49.76,48.72,49.25,1355578.0,49.172,9659
14,2023-10-13,49.72,49.95,49.35,49.75,931070.0,49.62,7572
15,2023-10-16,49.96,50.59,49.56,50.25,866745.0,50.276,6596
16,2023-10-17,50.0,50.45,49.83,50.02,614333.0,50.083,4582
17,2023-10-18,49.91,50.32,49.45,49.82,801890.0,49.845,6197
18,2023-10-19,49.74,50.11,49.34,49.45,572272.0,49.65,4635
19,2023-10-20,49.57,49.74,48.76,48.82,785316.0,49.219,5757
20,2023-10-23,48.4,49.06,47.97,48.5,974263.0,48.693,7641
21,2023-10-24,48.95,49.67,48.84,49.44,955972.0,49.399,6422
22,2023-10-25,49.35,49.77,49.24,49.54,586840.0,49.529,4325
23,2023-10-26,49.58,50.41,49.58,49.79,767825.0,49.93,6102
24,2023-10-27,49.6,49.85,48.75,48.93,1178699.0,49.139,8290
25,2023-10-30,48.79,49.28,48.27,48.48,676799.0,48.529,5232
26,2023-10-31,48.76,49.0,48.26,48.79,780029.0,48.668,5683
27,2023-11-01,48.86,49.89,48.31,49.5,1099492.0,49.397,8435
28,2023-11-02,49.5,50.72,49.5,50.26,1196498.0,50.454,8647
29,2023-11-03,52.65,52.79,51.08,51.1,1568196.0,51.61,10783
30,2023-11-06,51.02,51.26,50.29,50.44,1126149.0,50.603,8755
31,2023-11-07,50.45,50.6,49.93,50.0,908672.0,50.232,7070
32,2023-11-08,49.77,49.78,48.63,49.61,1197846.0,49.178,9647
33,2023-11-09,49.68,50.01,48.58,48.61,1321023.0,48.947,9782
34,2023-11-10,49.0,49.04,48.34,48.57,870068.0,48.578,7044
35,2023-11-13,48.45,48.55,47.58,47.61,954362.0,47.814,6787
36,2023-11-14,48.49,49.36,48.42,49.12,924310.0,49.02,7055
37,2023-11-15,48.94,49.87,48.91,49.32,1166852.0,49.292,9069
38,2023-11-16,49.76,50.0,49.38,49.48,955266.0,49.589,7336
39,2023-11-17,49.69,49.78,48.92,49.23,1163712.0,49.205,8703
40,2023-11-20,49.05,49.2,48.31,49.11,1309998.0,49.003,8325
41,2023-11-21,49.11,49.25,48.66,49.09,793736.0,48.973,5955
42,2023-11-22,49.21,49.58,48.84,49.54,932040.0,49.316,7295
43,2023-11-24,49.62,49.76,49.3,49.75,398783.0,49.54,3193
44,2023-11-27,49.74,50.09,49.25,49.96,1318041.0,49.795,9560
45,2023-11-28,49.94,50.78,49.76,50.12,1062815.0,50.437,7931
46,2023-11-29,50.17,50.6,49.75,49.94,809939.0,50.077,6386
47,2023-11-30,50.11,50.66,49.71,50.57,1076008.0,50.327,7831
48,2023-12-01,50.64,51.54,50.28,51.49,1285798.0,51.074,9414
49,2023-12-04,51.17,51.73,50.97,51.4,844222.0,51.448,6094
50,2023-12-05,51.51,51.51,51.0,51.25,1438067.0,51.237,7084
51,2023-12-06,51.43,52.11,51.34,52.1,1047590.0,51.785,7216
52,2023-12-07,52.09,52.33,51.72,51.82,1075417.0,52.021,7685
53,2023-12-08,51.7,51.85,51.12,51.38,1030824.0,51.349,7676
54,2023-12-11,51.34,51.91,51.06,51.51,746920.0,51.521,5620
55,2023-12-12,51.68,51.68,51.09,51.39,650916.0,51.341,5084
56,2023-12-13,51.45,53.4,51.13,53.38,798094.0,52.549,5679
57,2023-12-14,53.64,53.85,52.12,52.19,1212367.0,52.704,8787
58,2023-12-15,51.96,51.99,50.27,50.62,2215248.0,51.101,11631
59,2023-12-18,50.98,51.27,50.57,50.86,1148486.0,50.936,8514
60,2023-12-19,51.06,51.29,50.61,51.24,1253560.0,51.074,8320
61,2023-12-20,51.23,51.44,50.21,50.25,686477.0,50.81,5205
62,2023-12-21,50.37,50.78,49.91,50.57,754927.0,50.35,5469
63,2023-12-22,50.96,51.53,50.73,50.94,960193.0,51.163,6922
64,2023-12-26,50.74,51.29,50.68,50.93,427463.0,51.098,3326
65,2023-12-27,50.87,51.05,50.65,50.84,562813.0,50.818,4393
66,2023-12-28,50.68,51.45,50.63,51.32,652681.0,51.242,4928
67,2023-12-29,51.19,51.36,50.89,51.3,699512.0,51.132,5193
68,2024-01-02,50.7,51.93,50.7,51.88,1032682.0,51.691,7603
69,2024-01-03,51.95,52.06,51.51,51.76,835156.0,51.756,6377
70,2024-01-04,51.7,52.29,51.55,51.94,796557.0,52.021,6073
71,2024-01-05,51.91,52.33,51.61,52.03,531587.0,51.934,4138
72,2024-01-08,52.0,52.36,51.73,52.33,639260.0,52.101,4877
73,2024-01-09,52.16,52.33,51.88,52.22,807512.0,52.184,5699
74,2024-01-10,52.21,52.27,51.75,51.91,641898.0,51.991,4775
75,2024-01-11,51.37,51.6,49.95,50.09,1397567.0,50.301,10003
76,2024-01-12,50.45,50.62,50.05,50.38,1253529.0,50.273,7329
77,2024-01-16,50.31,50.77,50.07,50.28,995721.0,50.397,8102
78,2024-01-17,49.9,50.46,49.22,49.54,1147411.0,49.629,9293
79,2024-01-18,49.26,49.3,48.64,49.05,1151521.0,48.94,8977
80,2024-01-19,49.17,49.27,48.68,48.87,840915.0,48.903,6169
81,2024-01-22,48.83,49.15,48.3,48.46,889232.0,48.54,6454
82,2024-01-23,48.5,48.81,48.15,48.77,1231283.0,48.619,9591
83,2024-01-24,48.99,49.33,48.01,48.14,1147364.0,48.3,8584
84,2024-01-25,48.8,48.93,48.28,48.75,1526447.0,48.613,10292
85,2024-01-26,48.84,49.2,48.72,48.85,1548598.0,48.884,11384
86,2024-01-29,48.89,49.33,48.63,49.19,1128071.0,49.037,8060
87,2024-01-30,48.62,49.13,48.11,48.88,1192174.0,48.701,8863
88,2024-01-31,49.26,49.33,48.19,48.66,1715466.0,48.789,12966
89,2024-02-01,48.46,49.87,48.1,49.84,1538651.0,49.248,11178
