,date,open,high,low,close,volume,average,barCount
0,2023-10-06,235.02,241.68,228.23,239.77,217258.0,239.511,1595
1,2023-10-09,236.63,239.08,235.12,236.8,160299.0,236.784,1302
2,2023-10-10,238.59,241.49,237.07,237.17,242688.0,239.165,1766
3,2023-10-11,236.99,237.4,230.54,233.38,204929.0,233.474,1610
4,2023-10-12,231.71,231.75,223.29,227.83,303396.0,228.864,2322
5,2023-10-13,227.66,231.22,224.76,227.86,183555.0,227.052,1548
6,2023-10-16,230.15,233.67,230.15,232.12,163761.0,232.466,1369
7,2023-10-17,233.09,239.61,232.66,238.07,210367.0,237.785,1805
8,2023-10-18,236.54,236.9,232.74,232.74,239421.0,234.499,1670
9,2023-10-19,231.57,232.7,225.77,225.88,155452.0,228.675,1216
10,2023-10-20,225.89,227.08,220.1,221.56,131772.0,222.365,1172
11,2023-10-23,221.56,222.66,218.12,219.18,213660.0,220.426,1828
12,2023-10-24,221.49,222.1,218.62,220.04,216069.0,220.126,1594
13,2023-10-25,219.46,219.64,215.2,216.21,299765.0,216.472,2579
14,2023-10-26,215.0,223.84,215.0,221.93,377398.0,221.184,3145
15,2023-10-27,207.45,227.31,200.18,221.46,715625.0,221.251,5722
16,2023-10-30,221.49,227.46,220.56,223.29,333434.0,224.533,2673
17,2023-10-31,222.68,224.85,218.33,224.52,367614.0,222.333,2787
18,2023-11-01,225.66,228.14,217.0,218.48,456645.0,220.684,3627
19,2023-11-02,218.71,223.62,216.43,219.57,609699.0,221.031,4737
20,2023-11-03,223.77,223.77,215.8,218.03,695362.0,217.755,5436
21,2023-11-06,219.85,221.3,215.6,220.91,480754.0,218.896,3625
22,2023-11-07,219.27,222.97,218.47,221.39,367572.0,221.507,2932
23,2023-11-08,221.36,223.67,220.91,223.14,261418.0,222.576,2251
24,2023-11-09,224.42,229.17,223.84,226.96,307456.0,226.982,2403
25,2023-11-10,227.3,229.33,225.13,228.57,212431.0,227.418,1678
26,2023-11-13,228.78,229.87,226.28,226.57,216695.0,227.448,1771
27,2023-11-14,223.01,225.6,218.69,222.06,464410.0,221.99,3658
28,2023-11-15,223.0,223.55,220.3,221.49,187880.0,221.837,1489
29,2023-11-16,221.94,225.53,217.26,221.02,484315.0,221.112,2857
30,2023-11-17,221.9,224.75,220.83,224.46,636908.0,222.343,2370
31,2023-11-20,224.46,227.86,224.28,225.11,209190.0,226.388,1337
32,2023-11-21,225.52,229.89,225.27,227.71,263447.0,227.982,1852
33,2023-11-22,227.7,229.08,225.12,226.34,141088.0,226.99,1176
34,2023-11-24,225.93,230.24,225.93,228.85,70326.0,229.03,530
35,2023-11-27,227.85,231.69,227.85,230.61,219515.0,230.494,1946
36,2023-11-28,230.92,230.92,216.37,216.46,406313.0,220.954,3115
