,date,open,high,low,close,volume,average,barCount
0,2023-10-06,620.67,632.08,609.22,628.11,373007.0,625.236,2988
1,2023-10-09,622.13,630.87,614.76,627.69,186702.0,625.281,1469
2,2023-10-10,633.46,642.95,628.28,634.38,248832.0,635.668,1992
3,2023-10-11,640.95,643.25,633.94,641.73,228412.0,639.09,1717
4,2023-10-12,645.35,665.0,645.21,654.96,507126.0,656.635,4311
5,2023-10-13,661.34,664.39,642.0,645.12,486337.0,648.528,4038
6,2023-10-16,646.89,655.63,644.11,650.7,250467.0,651.875,2156
7,2023-10-17,640.0,653.44,626.46,649.95,451937.0,643.399,3402
8,2023-10-18,638.0,645.15,626.28,642.24,531782.0,639.449,4159
9,2023-10-19,626.95,632.5,600.21,601.95,1287293.0,609.563,10335
10,2023-10-20,601.12,608.21,598.42,600.35,628592.0,602.254,4713
11,2023-10-23,596.3,607.29,589.39,599.58,345852.0,600.002,2862
12,2023-10-24,605.22,611.34,598.94,604.02,399914.0,604.718,3326
13,2023-10-25,596.69,598.54,581.07,583.34,438660.0,588.006,3562
14,2023-10-26,589.1,604.58,583.52,585.13,508226.0,591.892,4016
15,2023-10-27,584.3,593.56,580.78,584.02,443568.0,584.957,3385
16,2023-10-30,582.41,593.37,577.19,583.5,375874.0,584.869,2872
17,2023-10-31,585.45,590.78,574.42,588.22,325912.0,585.694,2541
18,2023-11-01,592.87,607.64,588.77,606.66,403342.0,598.417,3078
19,2023-11-02,622.51,631.41,618.2,623.28,538881.0,625.533,4354
20,2023-11-03,629.2,639.41,626.89,634.08,401203.0,634.404,3172
21,2023-11-06,634.08,639.58,628.11,639.05,271472.0,634.133,1997
22,2023-11-07,639.04,647.09,636.69,641.26,305773.0,642.588,2461
23,2023-11-08,644.6,649.12,641.08,647.58,327582.0,645.078,2597
24,2023-11-09,650.0,668.5,648.51,650.26,492569.0,659.391,3557
25,2023-11-10,661.08,687.87,656.35,685.43,517610.0,677.578,4137
26,2023-11-13,678.98,680.01,670.55,673.43,289153.0,675.144,2378
27,2023-11-14,691.0,696.18,683.91,694.92,307672.0,690.558,2366
28,2023-11-15,698.2,699.56,691.53,697.9,190873.0,696.925,1526
29,2023-11-16,699.0,706.34,695.84,700.44,319295.0,702.187,2470
30,2023-11-17,691.56,701.56,688.0,700.34,432065.0,696.024,3065
31,2023-11-20,697.33,721.0,697.33,719.15,335618.0,711.931,2464
32,2023-11-21,716.03,716.03,703.48,707.37,300316.0,708.009,2483
33,2023-11-22,715.0,728.23,713.4,717.46,304057.0,720.137,2378
34,2023-11-24,716.48,722.13,715.0,717.5,90608.0,718.689,683
35,2023-11-27,715.0,730.99,710.68,722.45,227005.0,724.797,1712
36,2023-11-28,712.33,717.43,704.49,710.39,291970.0,710.362,2222
