,date,open,high,low,close,volume,average,barCount
0,2023-09-25,22.14,22.79,22.07,22.63,572652.0,22.56,4197
1,2023-09-26,25.1,25.43,23.27,23.52,4332970.0,23.889,26390
2,2023-09-27,23.83,24.79,23.82,24.67,1741665.0,24.522,11699
3,2023-09-28,24.7,25.14,24.34,24.96,1853504.0,24.911,11004
4,2023-09-29,25.13,25.71,24.97,25.45,801020.0,25.411,5383
5,2023-10-02,25.36,25.78,25.06,25.28,808853.0,25.314,6042
6,2023-10-03,25.03,25.48,24.34,24.59,1124564.0,24.579,8260
7,2023-10-04,24.37,25.04,24.37,24.67,967327.0,24.692,7085
8,2023-10-05,24.7,24.95,24.46,24.54,558576.0,24.636,4089
9,2023-10-06,24.49,25.19,24.33,25.0,598554.0,24.957,4736
10,2023-10-09,24.84,25.56,24.7,25.4,485927.0,25.336,3831
11,2023-10-10,25.41,25.71,25.41,25.56,396056.0,25.582,3067
12,2023-10-11,25.6,25.99,25.6,25.91,434045.0,25.838,3462
13,2023-10-12,25.91,26.15,25.61,25.89,528673.0,25.882,2821
14,2023-10-13,25.9,26.22,25.81,26.11,724738.0,26.059,4509
15,2023-10-16,26.25,26.49,25.92,26.27,487227.0,26.198,3127
16,2023-10-17,26.39,26.42,26.03,26.22,347267.0,26.255,2607
17,2023-10-18,26.04,26.05,25.39,25.52,214366.0,25.66,1653
18,2023-10-19,25.52,25.76,25.13,25.16,359913.0,25.401,2621
19,2023-10-20,25.2,25.22,24.82,24.96,415877.0,25.009,2692
20,2023-10-23,24.9,24.94,24.37,24.63,568128.0,24.657,3976
21,2023-10-24,24.81,25.06,24.53,24.66,329008.0,24.719,2217
22,2023-10-25,24.48,24.59,24.05,24.35,549329.0,24.286,3911
23,2023-10-26,24.35,24.35,23.81,24.04,287175.0,24.052,2071
24,2023-10-27,23.83,24.05,23.52,23.74,667976.0,23.782,4462
25,2023-10-30,24.1,24.17,23.78,24.03,308041.0,24.033,2284
26,2023-10-31,24.0,24.55,24.0,24.49,538614.0,24.351,3513
27,2023-11-01,24.41,25.0,24.16,24.99,429788.0,24.82,3434
28,2023-11-02,25.29,25.9,25.18,25.64,623875.0,25.655,4652
29,2023-11-03,24.59,27.0,24.34,25.99,2033490.0,26.303,6860
30,2023-11-06,26.17,26.17,25.41,25.43,335479.0,25.633,2538
31,2023-11-07,25.4,25.72,25.18,25.2,341542.0,25.389,2896
32,2023-11-08,25.2,25.38,24.75,24.91,468597.0,25.019,3433
33,2023-11-09,25.13,25.2,24.82,25.07,447537.0,25.024,2451
34,2023-11-10,25.15,25.49,25.0,25.45,178185.0,25.305,1423
35,2023-11-13,25.25,25.54,24.97,25.33,163257.0,25.34,1407
36,2023-11-14,25.71,25.94,25.58,25.8,300546.0,25.751,2189
37,2023-11-15,26.57,27.06,26.12,26.14,567312.0,26.45,3756
38,2023-11-16,26.42,26.5,26.05,26.35,237627.0,26.275,1834
39,2023-11-17,26.36,26.47,25.66,26.04,530338.0,25.915,3336
40,2023-11-20,26.08,26.56,26.06,26.53,389357.0,26.43,2589
41,2023-11-21,26.44,26.54,26.16,26.36,253152.0,26.295,1951
42,2023-11-22,26.44,26.76,26.37,26.76,379905.0,26.614,2613
43,2023-11-24,26.79,26.99,26.72,26.81,92014.0,26.843,739
44,2023-11-27,26.83,26.83,26.54,26.75,278048.0,26.697,1935
45,2023-11-28,26.71,26.87,26.55,26.84,353892.0,26.789,2311
46,2023-11-29,26.94,26.97,26.61,26.9,601661.0,26.816,2750
47,2023-11-30,26.88,27.05,26.51,26.94,554455.0,26.822,3343
48,2023-12-01,26.91,27.32,26.77,27.22,433839.0,27.136,3121
49,2023-12-04,27.19,27.25,26.18,26.24,595629.0,26.503,4481
50,2023-12-05,26.21,26.21,25.79,26.17,574400.0,26.018,4179
51,2023-12-06,26.18,26.46,26.1,26.28,411363.0,26.295,2321
52,2023-12-07,26.46,26.71,26.21,26.34,457301.0,26.401,3347
53,2023-12-08,26.28,26.63,26.21,26.52,388858.0,26.44,2803
54,2023-12-11,26.48,26.95,26.36,26.64,542197.0,26.712,3953
55,2023-12-12,27.7,28.03,26.68,27.03,4056894.0,27.054,20044
56,2023-12-13,27.27,28.0,26.83,27.6,1750408.0,27.487,10673
57,2023-12-14,27.95,28.57,27.61,28.18,1342144.0,28.237,8533
58,2023-12-15,28.07,28.29,27.13,27.89,1599321.0,27.634,9582
59,2023-12-18,27.93,27.99,27.27,27.62,883532.0,27.565,5268
60,2023-12-19,27.66,28.34,27.62,28.31,807340.0,28.176,4956
61,2023-12-20,28.49,28.53,27.95,27.98,742627.0,28.227,4657
62,2023-12-21,28.37,28.62,27.98,28.59,708427.0,28.377,3845
63,2023-12-22,28.59,29.01,28.47,28.75,403859.0,28.779,2816
64,2023-12-26,28.77,29.07,28.6,28.81,412753.0,28.908,2264
65,2023-12-27,28.82,28.95,28.55,28.6,453299.0,28.702,3691
66,2023-12-28,28.56,28.95,28.56,28.7,300722.0,28.718,1943
67,2023-12-29,28.64,28.87,28.47,28.74,655884.0,28.719,3490
68,2024-01-02,28.72,29.45,28.16,29.21,812762.0,29.18,5143
69,2024-01-03,29.0,30.06,28.89,29.79,2219868.0,29.808,12394
70,2024-01-04,29.8,30.15,29.7,29.93,1007861.0,29.983,5834
71,2024-01-05,30.6,30.68,30.05,30.27,1190479.0,30.339,6883
72,2024-01-08,30.86,30.86,29.99,30.25,1380724.0,30.332,7726
73,2024-01-09,30.27,30.71,30.05,30.58,564237.0,30.482,3771
74,2024-01-10,30.56,31.0,30.47,30.8,812284.0,30.771,5942
75,2024-01-11,30.85,30.85,29.95,29.98,777557.0,30.138,5371
76,2024-01-12,30.42,30.64,30.16,30.5,1207563.0,30.4,5604
77,2024-01-16,30.5,30.63,30.28,30.51,1622847.0,30.435,7963
78,2024-01-17,30.19,30.66,30.19,30.59,963232.0,30.53,5620
79,2024-01-18,30.73,31.21,30.58,31.12,1543498.0,30.967,9701
80,2024-01-19,31.23,31.56,30.95,31.25,1158334.0,31.164,7490
81,2024-01-22,31.48,31.58,30.94,30.97,1135623.0,31.204,8167
82,2024-01-23,30.92,31.11,30.52,30.93,1395820.0,30.979,6747
83,2024-01-24,31.27,31.33,30.95,31.13,1242870.0,31.038,5737
84,2024-01-25,31.1,31.43,30.95,30.98,686755.0,31.043,4122
85,2024-01-26,31.14,31.69,30.92,30.97,1021400.0,31.172,7016
86,2024-01-29,31.3,31.4,30.42,30.45,1254837.0,30.696,7891
87,2024-01-30,30.47,30.61,30.03,30.27,1541138.0,30.258,8182
88,2024-01-31,30.31,30.72,30.27,30.39,1041231.0,30.476,7418
89,2024-02-01,30.43,31.15,30.43,31.15,1355436.0,30.857,8370
