,date,open,high,low,close,volume,average,barCount
0,2023-10-06,10.17,11.15,10.14,11.09,12066915.0,10.837,44662
1,2023-10-09,10.81,11.11,10.75,10.99,7419306.0,10.953,30338
2,2023-10-10,11.09,11.53,11.09,11.18,8007180.0,11.265,28519
3,2023-10-11,11.24,11.68,11.18,11.37,6706367.0,11.388,24382
4,2023-10-12,11.37,11.37,10.61,10.66,11043910.0,10.924,37215
5,2023-10-13,10.62,10.83,10.02,10.07,9844617.0,10.28,32407
6,2023-10-16,10.02,10.62,10.02,10.54,10426591.0,10.418,33484
7,2023-10-17,10.42,10.93,10.4,10.82,9506550.0,10.721,35587
8,2023-10-18,10.74,10.78,10.18,10.31,10857939.0,10.329,36006
9,2023-10-19,10.38,10.55,10.09,10.09,11433044.0,10.335,37818
10,2023-10-20,10.11,10.26,9.82,10.1,12871217.0,10.06,36168
11,2023-10-23,9.95,10.36,9.8,9.99,8271135.0,10.123,28279
12,2023-10-24,10.15,10.39,10.01,10.33,7240255.0,10.228,27799
13,2023-10-25,10.18,10.25,9.73,9.79,11838757.0,9.886,36549
14,2023-10-26,9.8,9.81,9.23,9.43,11531390.0,9.437,41315
15,2023-10-27,9.58,9.7,9.25,9.26,9377374.0,9.367,32832
16,2023-10-30,9.4,9.54,9.29,9.43,6470718.0,9.411,24437
17,2023-10-31,8.98,9.49,8.94,9.17,11367221.0,9.25,36806
18,2023-11-01,9.16,9.28,8.85,9.17,11280284.0,9.097,42887
19,2023-11-02,9.53,10.04,9.53,9.94,17981873.0,9.871,61058
20,2023-11-03,10.12,10.74,10.11,10.66,14338615.0,10.511,49959
21,2023-11-06,10.71,10.76,10.27,10.53,11391746.0,10.49,43222
22,2023-11-07,10.59,10.87,10.32,10.83,14713731.0,10.658,58184
23,2023-11-08,10.73,10.95,10.62,10.72,15734563.0,10.796,55917
24,2023-11-09,10.38,10.89,9.94,10.08,21895712.0,10.434,77670
25,2023-11-10,10.2,10.75,10.14,10.26,17759081.0,10.482,57493
26,2023-11-13,10.13,10.35,9.69,9.77,18004481.0,9.91,55439
