,date,open,high,low,close,volume,average,barCount
0,2023-09-25,2.14,2.16,2.13,2.15,7553556.0,2.14745,6469
1,2023-09-26,2.14,2.155,2.12,2.14,9896702.0,2.13805,7895
2,2023-09-27,2.14,2.14,2.1,2.13,12185996.0,2.12448,8708
3,2023-09-28,2.12,2.15,2.11,2.14,9235102.0,2.13388,8589
4,2023-09-29,2.15,2.16,2.12,2.13,8133378.0,2.13896,8076
5,2023-10-02,2.11,2.11,2.05,2.06,12539950.0,2.07625,8921
6,2023-10-03,2.05,2.0532,2.01,2.03,14371819.0,2.03091,7677
7,2023-10-04,2.03,2.04,2.0,2.03,11130675.0,2.02064,7453
8,2023-10-05,2.0,2.03,2.0,2.03,9423666.0,2.01836,7249
9,2023-10-06,2.02,2.08,2.01,2.07,8554686.0,2.04831,6591
10,2023-10-09,2.02,2.05,2.02,2.04,5507035.0,2.03305,4412
11,2023-10-10,2.1,2.11,2.08,2.1,6861871.0,2.0971,4489
12,2023-10-11,2.11,2.12,2.09,2.11,11060043.0,2.10714,6696
13,2023-10-12,2.1,2.105,2.07,2.09,10183672.0,2.08623,5589
14,2023-10-13,2.08,2.09,2.05,2.05,5633987.0,2.06452,4362
15,2023-10-16,2.08,2.13,2.07,2.11,13913443.0,2.1004,8003
16,2023-10-17,2.09,2.13,2.08,2.12,10928329.0,2.10802,7909
17,2023-10-18,2.07,2.08,2.04,2.04,9660742.0,2.05502,6371
18,2023-10-19,2.02,2.04,1.99,2.0,12109147.0,2.01304,8737
19,2023-10-20,2.0,2.01,1.97,1.98,13884565.0,1.98813,7550
20,2023-10-23,1.98,2.01,1.97,1.97,14013695.0,1.98941,9292
21,2023-10-24,1.95,1.96,1.93,1.94,12136127.0,1.94781,9365
22,2023-10-25,1.98,2.0,1.96,2.0,9582972.0,1.98226,6442
23,2023-10-26,1.97,1.9899,1.95,1.96,11616117.0,1.96592,7129
24,2023-10-27,1.92,1.93,1.88,1.89,12405304.0,1.90348,7868
25,2023-10-30,1.94,1.94,1.91,1.94,11598458.0,1.92617,6323
26,2023-10-31,1.91,1.92,1.9,1.91,7555459.0,1.90834,6687
27,2023-11-01,1.92,1.94,1.9,1.93,11502079.0,1.91814,5988
28,2023-11-02,1.99,2.02,1.98,2.01,9123942.0,2.00053,4574
29,2023-11-03,2.06,2.08,2.05,2.06,5939503.0,2.06421,5216
30,2023-11-06,2.07,2.08,2.04,2.05,4272601.0,2.05375,3835
31,2023-11-07,2.03,2.045,2.02,2.03,5607918.0,2.03544,4967
32,2023-11-08,2.03,2.04,2.01,2.02,6382842.0,2.0278,5887
33,2023-11-09,2.04,2.06,2.02,2.03,7409255.0,2.04165,5657
34,2023-11-10,2.01,2.03,1.99,2.03,5835653.0,2.00985,5309
35,2023-11-13,2.03,2.04,2.01,2.03,4512907.0,2.02946,3886
36,2023-11-14,2.04,2.11,2.04,2.1,10933285.0,2.08286,7756
37,2023-11-15,2.11,2.12,2.1,2.11,4024446.0,2.11107,4435
38,2023-11-16,2.1,2.11,2.08,2.09,7047928.0,2.09284,7847
39,2023-11-17,2.12,2.14,2.11,2.14,8143986.0,2.12861,5976
40,2023-11-20,2.12,2.14,2.11,2.14,5492746.0,2.12675,5135
41,2023-11-21,2.11,2.12,2.1,2.12,6413596.0,2.11204,5701
42,2023-11-22,2.1,2.1,2.08,2.09,5463181.0,2.09152,6044
43,2023-11-24,2.11,2.14,2.1,2.13,3269703.0,2.12202,2953
44,2023-11-27,2.11,2.11,2.09,2.09,9000865.0,2.09998,8736
45,2023-11-28,2.11,2.15,2.1001,2.14,11503076.0,2.1324,8591
46,2023-11-29,2.17,2.2,2.17,2.2,10076695.0,2.18449,9620
47,2023-11-30,2.19,2.19,2.17,2.19,6672145.0,2.17924,6295
48,2023-12-01,2.19,2.25,2.19,2.25,6673691.0,2.22716,6084
49,2023-12-04,2.24,2.27,2.235,2.25,9401560.0,2.25213,7226
50,2023-12-05,2.25,2.26,2.23,2.24,6867818.0,2.24094,5298
51,2023-12-06,2.27,2.3,2.25,2.26,7014899.0,2.27726,5944
52,2023-12-07,2.25,2.28,2.25,2.28,6417346.0,2.26851,6328
53,2023-12-08,2.29,2.32,2.28,2.31,7688001.0,2.30283,6161
54,2023-12-11,2.28,2.29,2.27,2.29,3429075.0,2.28531,4765
55,2023-12-12,2.28,2.29,2.27,2.27,3241378.0,2.27783,3998
56,2023-12-13,2.3,2.34,2.27,2.33,5625120.0,2.31486,5404
57,2023-12-14,2.41,2.43,2.38,2.4,8392305.0,2.4082,8064
58,2023-12-15,2.37,2.41,2.35,2.35,9007226.0,2.37374,6580
59,2023-12-18,2.35,2.36,2.33,2.34,5865389.0,2.34469,5176
60,2023-12-19,2.37,2.37,2.34,2.34,6488790.0,2.36287,9359
61,2023-12-20,2.38,2.4,2.34,2.35,8095104.0,2.37629,8226
62,2023-12-21,2.35,2.38,2.34,2.38,7856542.0,2.35759,10508
63,2023-12-22,2.4,2.44,2.4,2.41,4528293.0,2.42262,5623
64,2023-12-26,2.4,2.45,2.394,2.45,4914136.0,2.435,5198
65,2023-12-27,2.43,2.44,2.42,2.43,7776759.0,2.43129,8034
66,2023-12-28,2.41,2.43,2.41,2.41,2200248.0,2.42005,3617
67,2023-12-29,2.4,2.41,2.38,2.39,3474960.0,2.39115,3946
68,2024-01-02,2.4,2.42,2.39,2.39,7649208.0,2.40191,6256
69,2024-01-03,2.36,2.39,2.36,2.38,7042846.0,2.37435,6627
70,2024-01-04,2.36,2.4,2.36,2.37,7282685.0,2.38611,5470
71,2024-01-05,2.37,2.41,2.364,2.38,9558126.0,2.38815,8240
72,2024-01-08,2.39,2.44,2.38,2.44,8317418.0,2.40557,6708
73,2024-01-09,2.41,2.41,2.38,2.38,5985986.0,2.39828,5185
74,2024-01-10,2.38,2.38,2.37,2.37,2672966.0,2.37394,4188
75,2024-01-11,2.34,2.34,2.28,2.29,8653125.0,2.30123,5793
76,2024-01-12,2.32,2.33,2.27,2.28,7462273.0,2.29438,5793
77,2024-01-16,2.18,2.18,2.15,2.15,11417422.0,2.16411,8164
78,2024-01-17,2.13,2.13,2.09,2.09,10837253.0,2.11668,12072
79,2024-01-18,2.14,2.15,2.12,2.14,9640206.0,2.13669,6555
80,2024-01-19,2.14,2.19,2.13,2.19,8400706.0,2.15463,9678
81,2024-01-22,2.18,2.21,2.18,2.19,6092789.0,2.19551,5633
82,2024-01-23,2.18,2.19,2.15,2.16,5402337.0,2.16632,4639
83,2024-01-24,2.15,2.1599,2.1,2.11,9285000.0,2.13096,6237
84,2024-01-25,2.1,2.12,2.08,2.12,6374588.0,2.09879,8926
85,2024-01-26,2.14,2.15,2.12,2.12,4815215.0,2.12822,5268
86,2024-01-29,2.12,2.14,2.11,2.14,4597674.0,2.12416,4941
87,2024-01-30,2.15,2.16,2.11,2.11,21100338.0,2.13242,14180
88,2024-01-31,2.14,2.15,2.1,2.11,8241637.0,2.13087,6570
89,2024-02-01,2.15,2.16,2.11,2.15,9753612.0,2.13647,8386
