,date,open,high,low,close,volume,average,barCount
0,2023-10-06,84.85,88.13,84.47,87.51,1651307.0,87.196,10596
1,2023-10-09,87.76,87.81,85.55,86.99,628442.0,86.726,4552
2,2023-10-10,87.01,87.61,86.22,86.55,516297.0,86.722,3942
3,2023-10-11,86.85,87.96,86.66,87.61,534848.0,87.508,4071
4,2023-10-12,87.64,87.65,85.54,86.24,610671.0,86.302,4583
5,2023-10-13,86.14,86.51,83.81,84.55,681782.0,84.59,4723
6,2023-10-16,85.1,86.08,84.6,85.58,503169.0,85.637,3659
7,2023-10-17,85.21,85.64,84.09,84.48,654534.0,84.745,4999
8,2023-10-18,83.42,84.03,82.24,82.54,750958.0,82.796,5620
9,2023-10-19,82.87,82.87,80.37,80.5,693816.0,81.235,5042
10,2023-10-20,80.44,80.57,79.06,79.95,712635.0,80.018,4989
11,2023-10-23,79.89,79.89,78.28,78.82,1588363.0,78.882,8975
12,2023-10-24,79.33,79.6,77.2,78.6,1088810.0,78.318,8165
13,2023-10-25,78.13,78.64,77.34,77.7,631954.0,77.828,4464
14,2023-10-26,79.74,80.03,77.92,78.1,1365098.0,78.451,7455
15,2023-10-27,77.84,78.37,76.48,77.0,799007.0,77.173,5637
16,2023-10-30,77.54,78.96,77.3,78.6,762951.0,78.345,5725
17,2023-10-31,78.55,80.16,78.18,80.02,1002090.0,79.619,7337
18,2023-11-01,80.28,80.91,79.49,80.41,1087078.0,80.247,6930
19,2023-11-02,81.0,82.85,80.42,82.45,1926369.0,82.361,12224
20,2023-11-03,86.8,86.9,81.25,85.36,3148792.0,84.693,18974
21,2023-11-06,85.45,86.86,83.99,85.39,1873172.0,85.381,12524
22,2023-11-07,85.0,86.6,84.67,86.13,1241144.0,85.991,8265
23,2023-11-08,86.53,88.75,85.66,87.31,2174660.0,87.803,13841
24,2023-11-09,87.87,88.02,85.89,86.14,874371.0,86.687,6617
25,2023-11-10,86.09,87.63,84.99,87.52,1057708.0,86.783,6774
26,2023-11-13,87.62,88.21,87.12,87.64,602182.0,87.632,4129
27,2023-11-14,89.0,90.1,88.78,89.0,1185278.0,89.324,7044
28,2023-11-15,89.26,89.97,88.91,89.19,853690.0,89.276,5453
29,2023-11-16,88.66,89.52,88.53,89.1,907057.0,89.08,5459
30,2023-11-17,89.52,90.12,88.75,89.6,803681.0,89.475,4381
31,2023-11-20,89.63,91.12,89.04,89.82,1287181.0,89.942,7344
32,2023-11-21,89.57,89.57,86.99,87.04,1095463.0,87.443,7246
33,2023-11-22,87.4,88.34,87.13,87.79,573789.0,87.816,4127
34,2023-11-24,87.91,88.06,87.39,87.63,164014.0,87.652,1279
35,2023-11-27,86.82,87.49,85.9,85.96,815042.0,86.567,5787
36,2023-11-28,85.82,86.56,84.52,84.54,871968.0,85.114,5908
37,2023-11-29,84.63,85.0,83.5,83.6,1167272.0,83.977,8362
38,2023-11-30,83.82,84.36,83.18,84.22,859531.0,83.938,5949
39,2023-12-01,84.19,84.91,83.79,84.25,865154.0,84.263,5806
40,2023-12-04,84.11,85.54,83.84,84.13,818728.0,84.469,5719
41,2023-12-05,83.58,83.75,81.38,81.41,904049.0,82.039,6714
42,2023-12-06,82.3,83.23,81.81,82.54,1112997.0,82.608,6810
43,2023-12-07,82.59,84.44,82.25,84.28,1158776.0,83.465,6401
44,2023-12-08,84.39,85.45,82.33,85.19,1465938.0,84.615,10205
45,2023-12-11,85.61,87.13,85.08,87.09,894845.0,86.646,6523
46,2023-12-12,87.44,90.15,86.71,90.06,1144548.0,89.106,8012
47,2023-12-13,89.68,90.0,87.46,88.06,1088383.0,88.23,7457
48,2023-12-14,91.1,93.71,90.29,93.07,2990661.0,92.743,20044
49,2023-12-15,92.85,93.66,91.86,93.0,1853989.0,92.888,11807
50,2023-12-18,92.73,93.41,91.7,93.27,664082.0,92.772,4201
51,2023-12-19,93.61,95.07,92.88,94.91,798845.0,94.465,5563
52,2023-12-20,93.85,94.9,90.5,90.64,945143.0,91.99,6697
53,2023-12-21,91.45,91.92,90.22,91.4,1154106.0,91.053,8663
54,2023-12-22,91.27,92.54,91.16,91.43,1260169.0,91.884,8902
55,2023-12-26,91.5,92.53,91.26,92.35,567022.0,91.988,4479
56,2023-12-27,92.28,93.2,92.14,92.98,937786.0,92.769,6936
57,2023-12-28,93.05,94.81,92.84,94.05,1021007.0,94.135,8033
58,2023-12-29,94.16,94.8,93.56,93.6,889620.0,94.15,6924
59,2024-01-02,92.83,94.2,91.57,91.81,656456.0,92.314,5348
60,2024-01-03,91.08,91.14,89.33,89.36,616406.0,90.009,4790
61,2024-01-04,89.35,90.52,88.98,89.04,712857.0,89.574,5295
62,2024-01-05,88.58,89.75,88.06,89.21,616108.0,89.272,4233
63,2024-01-08,90.15,90.91,88.59,90.22,733060.0,89.894,5192
64,2024-01-09,89.19,91.5,88.99,91.45,1075745.0,90.946,7305
65,2024-01-10,91.36,91.52,88.9,89.5,1415686.0,89.805,8800
66,2024-01-11,89.26,91.34,88.99,91.28,811990.0,90.397,5876
67,2024-01-12,92.0,92.16,90.03,90.66,514407.0,90.902,4008
68,2024-01-16,89.94,90.61,89.34,90.6,700344.0,90.049,5229
69,2024-01-17,89.58,90.51,88.87,90.31,1243186.0,90.068,7895
70,2024-01-18,90.84,90.89,88.89,90.65,711013.0,90.048,5242
71,2024-01-19,91.15,91.2,89.66,91.18,833700.0,90.581,5464
72,2024-01-22,91.56,91.73,88.94,89.03,1791580.0,89.408,10253
73,2024-01-23,89.79,90.86,89.41,90.02,1996627.0,90.109,10452
74,2024-01-24,90.63,91.21,88.84,89.35,970261.0,89.618,6870
75,2024-01-25,89.72,90.05,89.33,89.78,713715.0,89.741,5153
76,2024-01-26,89.85,89.86,88.89,89.29,1090281.0,89.286,7441
77,2024-01-29,89.02,89.32,88.27,89.11,1477448.0,88.907,9238
78,2024-01-30,89.43,90.05,88.52,88.83,1034090.0,89.335,6727
79,2024-01-31,88.77,90.06,88.32,88.85,1792108.0,89.005,8567
80,2024-02-01,89.08,89.78,87.29,89.39,1735672.0,88.516,7065
81,2024-02-02,88.88,89.32,87.75,88.2,1316855.0,88.215,8159
82,2024-02-05,87.59,87.83,86.68,87.41,698670.0,87.321,5077
83,2024-02-06,87.5,89.86,86.67,88.84,1810074.0,88.97,9698
84,2024-02-07,89.14,89.2,87.58,87.66,1142149.0,88.081,7181
85,2024-02-08,88.62,89.0,87.6,88.0,1038368.0,88.223,6906
86,2024-02-09,88.28,90.5,87.93,89.53,2244583.0,89.649,12764
87,2024-02-12,89.69,90.44,89.22,89.5,1020660.0,89.703,6562
88,2024-02-13,88.47,88.89,87.42,87.75,1484483.0,87.989,9642
89,2024-02-14,88.2,88.53,87.27,88.02,338466.0,88.033,2115
