,date,open,high,low,close,volume,average,barCount
0,2023-10-06,193.61,197.82,192.85,195.98,971948.0,195.793,7381
1,2023-10-09,193.28,194.56,189.49,194.43,904730.0,192.425,6783
2,2023-10-10,195.7,201.29,195.7,198.46,831487.0,198.88,6299
3,2023-10-11,198.47,198.95,195.14,198.27,696368.0,197.367,5739
4,2023-10-12,199.04,199.2,196.37,197.8,707032.0,197.97,5625
5,2023-10-13,197.4,199.51,192.48,192.93,769046.0,194.127,6309
6,2023-10-16,196.31,199.15,195.06,197.04,662011.0,197.655,5200
7,2023-10-17,197.0,199.56,196.35,197.51,628407.0,198.176,5076
8,2023-10-18,195.87,196.87,193.95,194.4,590799.0,195.187,4404
9,2023-10-19,195.2,196.21,191.47,192.31,741878.0,193.556,5824
10,2023-10-20,190.84,191.47,187.74,187.97,1307778.0,189.051,10079
11,2023-10-23,189.37,190.77,186.85,188.64,988330.0,189.472,8087
12,2023-10-24,189.76,191.33,188.04,190.14,904759.0,189.567,7216
13,2023-10-25,187.65,190.7,186.54,188.43,774821.0,188.714,6121
14,2023-10-26,188.9,190.67,186.41,186.45,724217.0,187.9,5862
15,2023-10-27,186.57,188.06,184.11,185.27,534522.0,185.725,4390
16,2023-10-30,188.1,189.62,187.08,188.09,603533.0,188.56,4760
17,2023-10-31,187.84,189.18,186.01,188.56,538527.0,187.755,4352
18,2023-11-01,189.88,189.88,185.91,188.8,1138364.0,187.757,8764
19,2023-11-02,184.3,186.55,180.75,185.7,1609711.0,184.311,12429
20,2023-11-03,188.1,191.88,187.37,191.3,767414.0,190.46,6125
21,2023-11-06,192.29,192.4,189.34,191.16,664082.0,190.813,5622
22,2023-11-07,191.82,195.21,189.44,194.5,1042753.0,193.802,7751
23,2023-11-08,195.4,195.86,192.04,192.58,752099.0,193.709,5688
24,2023-11-09,193.16,195.41,192.27,194.39,553126.0,194.261,4141
25,2023-11-10,194.71,197.78,193.79,197.6,457310.0,195.977,3508
26,2023-11-13,197.24,198.44,196.24,197.71,449180.0,197.671,3468
27,2023-11-14,200.0,204.15,199.98,202.36,763993.0,202.754,5918
28,2023-11-15,203.39,203.79,200.98,201.17,714057.0,202.019,5079
29,2023-11-16,201.48,203.84,201.06,203.68,534449.0,203.137,3700
30,2023-11-17,204.48,206.38,203.8,205.77,506956.0,205.314,3074
31,2023-11-20,205.16,207.36,204.86,206.96,521643.0,206.463,3499
32,2023-11-21,206.1,207.74,206.1,207.19,544010.0,207.182,4166
33,2023-11-22,208.98,210.74,208.25,209.95,551299.0,209.871,3668
34,2023-11-24,209.69,210.43,208.65,208.93,323130.0,209.494,2534
35,2023-11-27,208.35,209.3,206.78,207.51,601283.0,207.799,4359
36,2023-11-28,207.25,207.51,204.55,204.66,656625.0,205.687,4737
37,2023-11-29,204.88,205.91,202.29,202.48,464789.0,203.276,3940
38,2023-11-30,202.49,203.34,200.94,202.7,366635.0,201.921,2912
39,2023-12-01,202.75,209.51,202.75,209.28,694503.0,208.139,5243
40,2023-12-04,208.99,213.13,208.07,209.61,673887.0,210.076,5305
41,2023-12-05,207.46,208.43,202.24,202.71,607653.0,204.436,4945
42,2023-12-06,204.74,207.73,204.3,204.78,474406.0,205.594,3849
43,2023-12-07,206.03,208.14,205.32,208.03,491607.0,207.163,3579
44,2023-12-08,207.68,209.82,207.18,209.4,477709.0,208.697,4093
45,2023-12-11,212.04,217.33,211.48,216.48,1042246.0,216.052,7904
46,2023-12-12,216.92,217.74,215.6,216.87,740950.0,216.743,5736
47,2023-12-13,217.0,218.91,214.35,218.07,716217.0,216.882,5513
48,2023-12-14,219.25,221.75,218.34,220.09,680132.0,220.04,5333
49,2023-12-15,220.46,222.15,219.12,221.14,950438.0,220.453,4364
50,2023-12-18,221.69,222.64,219.41,222.12,528890.0,221.776,4177
51,2023-12-19,223.49,224.22,220.83,221.39,551946.0,222.195,4174
52,2023-12-20,220.53,220.69,216.34,216.72,682947.0,218.362,5574
53,2023-12-21,218.55,222.24,218.54,221.84,468052.0,220.517,3472
54,2023-12-22,222.42,223.12,220.88,222.62,402246.0,222.012,2946
55,2023-12-26,222.23,223.75,221.63,223.45,467104.0,222.951,3579
56,2023-12-27,223.63,224.51,222.88,224.44,591258.0,223.711,4387
57,2023-12-28,223.95,224.75,223.23,224.08,412451.0,223.904,3163
58,2023-12-29,224.75,226.63,224.38,225.51,842882.0,225.212,6482
59,2024-01-02,225.5,227.18,220.59,221.84,644925.0,222.764,4617
60,2024-01-03,220.6,220.97,218.01,219.04,546384.0,219.266,3721
61,2024-01-04,219.81,222.41,218.88,220.02,473908.0,220.845,3423
62,2024-01-05,219.72,223.4,219.0,222.42,421959.0,222.305,3312
63,2024-01-08,222.5,228.29,222.42,228.23,703690.0,225.906,5188
64,2024-01-09,225.86,227.48,225.43,226.48,538349.0,226.401,4069
65,2024-01-10,225.89,227.98,225.88,226.77,565086.0,227.054,3596
66,2024-01-11,227.36,228.94,225.39,226.98,572393.0,227.101,3894
67,2024-01-12,227.79,227.83,223.94,225.5,312128.0,225.475,2392
68,2024-01-16,224.02,226.38,223.07,226.34,450408.0,225.507,3484
69,2024-01-17,225.24,227.9,225.02,227.7,493261.0,226.743,3771
70,2024-01-18,228.04,233.06,227.69,232.68,1132903.0,230.992,7437
71,2024-01-19,232.7,234.1,231.56,233.67,884530.0,233.131,6345
72,2024-01-22,234.25,238.3,234.08,237.38,648000.0,237.064,4983
73,2024-01-23,236.97,237.91,235.74,237.1,521895.0,236.702,4409
74,2024-01-24,238.55,239.33,237.32,237.87,459537.0,238.144,3521
75,2024-01-25,241.7,243.53,241.36,242.52,806102.0,242.491,5880
76,2024-01-26,242.15,243.22,241.04,241.6,479389.0,242.022,3661
77,2024-01-29,241.58,242.52,239.77,242.13,488750.0,241.231,3996
78,2024-01-30,240.19,244.01,240.19,243.19,454724.0,242.884,3643
79,2024-01-31,243.41,243.91,239.27,239.73,370764.0,241.398,2799
80,2024-02-01,240.41,243.79,238.72,243.67,490737.0,241.588,3816
81,2024-02-02,243.22,246.75,241.61,245.12,500477.0,244.74,4108
82,2024-02-05,244.16,245.29,241.84,244.23,510150.0,243.958,4109
83,2024-02-06,244.23,245.76,242.83,244.76,658972.0,244.335,4855
84,2024-02-07,246.1,250.0,245.08,247.94,376801.0,248.331,2871
85,2024-02-08,249.69,250.44,245.81,249.58,442487.0,248.227,3306
86,2024-02-09,250.64,250.75,245.45,247.02,578911.0,247.043,4325
87,2024-02-12,246.45,249.14,246.0,248.84,653860.0,248.065,5195
88,2024-02-13,241.9,241.9,232.01,234.94,1477930.0,234.959,11178
89,2024-02-14,235.81,236.4,232.2,234.51,377184.0,233.742,2661
