,date,open,high,low,close,volume,average,barCount
0,2023-10-06,393.23,401.0,390.5,397.97,1304221.0,397.866,9873
1,2023-10-09,394.46,396.5,389.58,394.74,1010208.0,393.379,7765
2,2023-10-10,395.54,402.72,393.85,400.37,1002425.0,399.734,7765
3,2023-10-11,403.25,405.13,397.36,399.81,651030.0,400.129,4734
4,2023-10-12,403.8,405.34,397.32,399.9,741568.0,401.065,5179
5,2023-10-13,398.81,402.14,395.08,398.03,1180428.0,398.19,8720
6,2023-10-16,400.24,404.43,398.78,401.16,855449.0,401.87,6685
7,2023-10-17,399.64,403.61,398.45,401.77,892755.0,400.947,6597
8,2023-10-18,399.11,401.37,392.56,393.21,929878.0,395.42,6924
9,2023-10-19,393.85,394.83,385.5,387.87,1704421.0,389.087,13696
10,2023-10-20,387.87,389.99,384.17,384.41,1244300.0,386.336,7930
11,2023-10-23,382.31,387.86,381.0,383.67,906400.0,384.791,6828
12,2023-10-24,385.5,389.43,383.87,386.91,874572.0,386.519,6824
13,2023-10-25,384.0,388.63,382.24,386.31,1977625.0,385.792,14976
14,2023-10-26,371.02,375.55,363.04,364.59,3890144.0,367.17,29137
15,2023-10-27,366.49,368.29,359.77,364.08,1819312.0,364.191,13939
16,2023-10-30,366.52,373.23,364.72,372.42,1735272.0,370.366,12870
17,2023-10-31,373.32,377.68,373.11,376.35,1418620.0,376.156,10513
18,2023-11-01,378.67,380.4,375.04,377.82,1111020.0,377.586,8949
19,2023-11-02,380.3,383.04,378.48,382.69,1256204.0,381.489,9104
20,2023-11-03,385.0,388.44,383.73,386.05,969563.0,386.49,7807
21,2023-11-06,387.1,388.25,384.2,386.16,866747.0,385.874,6469
22,2023-11-07,386.0,389.59,384.3,388.87,1097320.0,388.419,8156
23,2023-11-08,387.11,391.37,387.0,389.7,1406891.0,390.143,10037
24,2023-11-09,390.96,391.45,387.26,387.96,1165720.0,388.902,8774
25,2023-11-10,390.04,395.09,386.74,394.38,1225840.0,390.885,9134
26,2023-11-13,394.35,395.63,393.02,394.35,797963.0,394.36,6199
27,2023-11-14,397.18,401.68,396.75,397.65,969009.0,398.974,7611
28,2023-11-15,397.47,399.28,394.76,396.83,1007450.0,397.608,7161
29,2023-11-16,398.01,399.95,395.54,397.1,1564423.0,397.07,10974
30,2023-11-17,399.97,401.12,397.91,400.3,970668.0,400.06,6660
31,2023-11-20,400.72,405.2,398.26,404.4,1299969.0,402.284,9406
32,2023-11-21,405.72,410.35,405.69,408.95,1202092.0,408.792,9034
33,2023-11-22,412.26,412.85,410.14,410.33,922085.0,411.135,7104
34,2023-11-24,412.49,412.97,410.53,412.5,429127.0,411.674,3067
35,2023-11-27,411.0,412.72,408.25,408.97,1083679.0,409.748,8186
36,2023-11-28,409.08,410.64,407.46,409.01,837986.0,409.124,6169
37,2023-11-29,411.01,412.09,409.42,409.82,758884.0,410.617,5830
38,2023-11-30,410.1,414.16,408.78,413.83,906459.0,411.988,6980
39,2023-12-01,412.89,416.6,411.57,414.36,1007132.0,414.835,7927
40,2023-12-04,413.83,414.85,408.03,408.23,1589434.0,410.202,10505
41,2023-12-05,407.09,409.05,404.31,408.69,1365504.0,406.766,9830
42,2023-12-06,411.43,413.82,407.15,410.38,906253.0,410.107,7020
43,2023-12-07,412.07,413.57,409.99,413.15,793835.0,412.613,5814
44,2023-12-08,412.22,413.67,409.23,412.16,751756.0,411.643,5518
45,2023-12-11,412.46,416.17,412.38,415.71,897090.0,415.142,6896
46,2023-12-12,417.0,421.0,414.7,420.75,947685.0,418.501,7216
47,2023-12-13,421.86,426.37,419.14,424.68,1533936.0,422.959,11678
48,2023-12-14,425.01,425.85,415.9,418.56,1981973.0,419.905,14529
49,2023-12-15,412.62,419.26,411.6,418.57,1721952.0,415.422,8752
50,2023-12-18,419.53,425.09,419.53,424.43,1192879.0,423.359,8700
51,2023-12-19,424.05,426.68,422.52,425.47,835890.0,424.643,6022
52,2023-12-20,425.08,427.61,419.24,419.45,1178774.0,424.579,8737
53,2023-12-21,421.79,423.9,420.61,423.44,810064.0,422.117,5984
54,2023-12-22,424.75,427.17,422.96,424.1,564701.0,424.982,4295
55,2023-12-26,425.0,425.72,422.95,423.67,484275.0,423.844,3827
56,2023-12-27,423.0,425.02,422.96,424.36,461870.0,424.131,3583
57,2023-12-28,423.77,428.36,423.68,426.32,638111.0,426.391,4953
58,2023-12-29,426.68,428.35,424.27,426.51,575721.0,426.401,4433
59,2024-01-02,424.09,424.28,419.56,421.89,981527.0,421.582,7308
60,2024-01-03,421.2,421.34,417.5,418.77,735735.0,419.318,5472
61,2024-01-04,418.5,423.45,418.28,419.77,876012.0,421.004,6410
62,2024-01-05,420.49,422.76,416.99,419.42,867553.0,419.423,6258
63,2024-01-08,419.44,422.08,416.53,421.98,730327.0,419.41,5667
64,2024-01-09,419.1,423.7,418.54,422.6,823135.0,421.752,6007
65,2024-01-10,426.0,429.47,424.15,428.27,1104563.0,426.839,8494
66,2024-01-11,430.0,431.79,425.77,426.72,893485.0,427.626,6366
67,2024-01-12,429.95,431.11,427.7,429.1,748701.0,429.228,5856
68,2024-01-16,427.44,429.73,426.52,428.35,929649.0,428.26,7043
69,2024-01-17,425.48,430.38,425.48,427.42,1082085.0,427.971,7603
70,2024-01-18,428.64,431.22,427.45,430.72,934166.0,429.695,7116
71,2024-01-19,432.55,437.07,429.34,436.78,1097681.0,434.481,6916
72,2024-01-22,438.98,440.94,437.26,439.75,804767.0,439.24,5962
73,2024-01-23,440.27,440.6,437.86,438.76,816990.0,438.896,5778
74,2024-01-24,438.53,440.93,435.75,438.7,1222615.0,439.028,8927
75,2024-01-25,436.0,438.63,434.46,436.8,1024603.0,436.634,7892
76,2024-01-26,432.55,439.89,430.67,438.53,1003376.0,437.191,7602
77,2024-01-29,435.78,440.96,434.67,440.58,991375.0,438.34,7204
78,2024-01-30,440.9,446.22,440.05,445.19,1191690.0,444.135,9023
79,2024-01-31,450.0,462.0,446.62,449.23,2038402.0,451.882,14518
80,2024-02-01,455.0,461.14,454.04,460.92,1549311.0,458.334,10916
81,2024-02-02,462.21,463.84,458.5,460.58,909063.0,461.726,6256
82,2024-02-05,459.51,461.37,455.52,456.76,938664.0,457.489,6528
83,2024-02-06,455.36,460.56,455.36,460.5,808981.0,457.593,4826
84,2024-02-07,461.21,462.24,459.61,461.91,1006285.0,461.196,6557
85,2024-02-08,460.0,460.75,457.44,458.26,779727.0,458.711,5556
86,2024-02-09,458.06,458.99,456.37,457.88,949924.0,457.884,5813
87,2024-02-12,459.18,459.4,456.08,458.71,603288.0,458.208,4014
88,2024-02-13,456.76,461.88,456.04,460.46,823314.0,459.23,6369
89,2024-02-14,462.0,463.88,460.67,461.21,279489.0,462.255,1778
