,date,open,high,low,close,volume,average,barCount
0,2023-10-06,40.11,41.81,39.87,41.49,2429237.0,40.977,17408
1,2023-10-09,39.59,40.0,37.85,39.29,2718558.0,39.088,15161
2,2023-10-10,39.35,40.61,39.02,39.79,1226106.0,39.967,7474
3,2023-10-11,40.01,40.26,36.88,36.98,2133681.0,37.883,12792
4,2023-10-12,37.02,38.17,36.01,36.34,2208362.0,36.97,12775
5,2023-10-13,36.36,36.61,33.26,34.56,3489164.0,34.357,20069
6,2023-10-16,35.05,36.21,35.05,35.82,1563882.0,35.798,8438
7,2023-10-17,35.68,37.05,35.11,36.61,1975901.0,36.466,10987
8,2023-10-18,36.36,36.83,35.83,35.85,1553072.0,36.08,9053
9,2023-10-19,35.8,36.19,34.3,35.01,1325383.0,35.099,8279
10,2023-10-20,34.8,35.76,34.62,35.55,1190234.0,35.305,7928
11,2023-10-23,35.05,35.75,34.8,34.92,1179731.0,35.166,8313
12,2023-10-24,34.99,35.71,34.79,35.39,1744210.0,35.337,8469
13,2023-10-25,35.04,35.39,33.75,33.96,2247489.0,34.413,13396
14,2023-10-26,36.0,37.84,35.87,36.42,3737537.0,36.933,21625
15,2023-10-27,36.58,36.81,34.79,35.05,2220838.0,35.24,13120
16,2023-10-30,35.54,35.86,33.01,33.82,2365302.0,33.669,15236
17,2023-10-31,34.49,36.14,34.02,35.67,1842854.0,35.657,12674
18,2023-11-01,35.85,36.35,34.86,35.77,1315918.0,35.268,8747
19,2023-11-02,36.03,37.48,36.03,36.45,901770.0,36.715,5804
20,2023-11-03,37.87,38.07,36.15,36.8,1605075.0,36.918,7921
21,2023-11-06,37.26,37.3,35.54,36.53,817600.0,36.135,5123
22,2023-11-07,36.86,37.28,36.03,36.97,950245.0,36.942,4812
23,2023-11-08,37.0,37.67,36.18,36.66,693130.0,36.749,4041
24,2023-11-09,36.98,37.28,35.99,36.14,937827.0,36.658,5749
25,2023-11-10,36.88,37.49,36.44,37.34,1114385.0,37.198,5151
26,2023-11-13,37.55,38.49,36.68,38.37,1154060.0,37.988,6507
27,2023-11-14,39.44,41.03,39.44,40.14,1649601.0,40.137,9085
28,2023-11-15,40.38,41.33,39.97,40.74,1298155.0,40.767,7364
29,2023-11-16,40.2,41.19,40.05,41.01,1323243.0,40.604,8137
30,2023-11-17,41.17,41.77,40.69,41.5,872401.0,41.384,5323
31,2023-11-20,41.47,43.11,41.47,41.81,2234065.0,42.278,9674
32,2023-11-21,41.45,42.9,40.98,42.68,899415.0,42.091,4263
33,2023-11-22,42.96,43.96,42.46,43.4,1009411.0,43.488,5863
34,2023-11-24,43.0,43.84,42.94,43.56,342628.0,43.403,2311
35,2023-11-27,43.11,43.61,42.49,42.66,826886.0,42.764,5741
36,2023-11-28,42.5,42.5,41.13,41.69,1236946.0,41.604,8784
37,2023-11-29,42.41,42.41,41.03,41.38,933861.0,41.656,6371
38,2023-11-30,41.37,41.8,40.52,41.05,1082307.0,41.04,6994
39,2023-12-01,40.69,40.98,39.18,39.27,2057310.0,39.851,11296
40,2023-12-04,38.9,40.4,38.84,39.72,1405275.0,39.778,8534
41,2023-12-05,39.62,40.58,39.59,39.89,1234626.0,40.045,7914
42,2023-12-06,40.62,41.35,39.65,39.75,1137268.0,40.294,6016
43,2023-12-07,40.0,40.71,39.6,40.22,1229119.0,40.191,5824
44,2023-12-08,40.62,41.98,40.11,40.21,1736104.0,40.977,8638
45,2023-12-11,40.04,41.5,39.73,41.07,1336785.0,40.926,5229
46,2023-12-12,41.05,41.19,40.03,40.35,1039378.0,40.694,5718
47,2023-12-13,40.3,41.1,38.68,41.08,1751166.0,39.919,10017
48,2023-12-14,41.1,42.37,41.1,42.3,1930288.0,41.774,11553
49,2023-12-15,42.45,43.01,41.3,41.96,2228384.0,42.231,9380
50,2023-12-18,42.03,42.03,40.56,41.49,1498283.0,41.123,7539
51,2023-12-19,41.86,42.82,41.75,42.22,913651.0,42.15,5385
52,2023-12-20,41.76,42.53,41.58,42.15,1092268.0,42.106,6690
53,2023-12-21,42.47,42.95,41.66,42.91,1463824.0,42.201,8561
54,2023-12-22,43.15,43.9,42.58,42.95,945463.0,43.088,6076
55,2023-12-26,43.0,43.89,42.8,43.85,694290.0,43.589,4745
56,2023-12-27,43.89,44.16,43.12,43.97,974732.0,43.785,6245
57,2023-12-28,44.04,44.48,43.22,43.84,1154691.0,43.79,7016
58,2023-12-29,43.89,44.28,42.98,43.32,1072763.0,43.467,6463
59,2024-01-02,42.83,43.4,40.86,41.34,1138195.0,41.861,7954
60,2024-01-03,40.01,40.58,39.33,39.72,1714068.0,39.849,12245
61,2024-01-04,28.33,30.94,28.19,29.97,34565137.0,29.668,132750
62,2024-01-05,30.92,31.25,29.38,30.49,16248812.0,30.231,71170
63,2024-01-08,30.95,32.5,30.2,31.43,7082682.0,31.523,33281
64,2024-01-09,31.24,32.71,30.77,31.89,5939316.0,32.136,33194
65,2024-01-10,32.1,32.12,29.77,30.62,7370375.0,30.361,38114
66,2024-01-11,30.1,31.1,30.1,31.03,5094523.0,30.805,30991
67,2024-01-12,30.86,31.09,29.6,30.07,4716964.0,30.153,22382
68,2024-01-16,30.0,30.31,29.43,29.79,2948935.0,29.781,16522
69,2024-01-17,29.42,29.46,28.2,28.38,3402259.0,28.582,19047
70,2024-01-18,28.85,28.85,27.29,28.07,3373264.0,27.957,18705
71,2024-01-19,28.14,28.36,27.36,28.34,2940515.0,27.936,17161
72,2024-01-22,28.89,29.81,28.75,28.89,4040486.0,29.259,24197
73,2024-01-23,29.37,29.47,28.22,28.43,2800334.0,28.518,17272
74,2024-01-24,28.6,28.69,27.36,27.62,4266402.0,27.833,27236
75,2024-01-25,27.95,29.03,27.38,27.95,9763740.0,28.166,46839
76,2024-01-26,28.1,28.89,28.01,28.38,4147118.0,28.524,21538
77,2024-01-29,28.36,28.38,27.08,27.75,4399907.0,27.705,27508
78,2024-01-30,27.23,27.33,25.88,26.25,6431119.0,26.388,28513
79,2024-01-31,26.0,26.47,25.77,25.86,3193266.0,26.144,17548
80,2024-02-01,26.22,26.31,25.32,25.8,2211799.0,25.823,11741
81,2024-02-02,25.53,26.8,25.44,26.57,2368376.0,26.293,15081
82,2024-02-05,26.6,27.22,26.33,26.95,3104420.0,26.878,16281
83,2024-02-06,27.11,27.46,26.88,27.21,1567873.0,27.247,9001
84,2024-02-07,27.32,27.4,26.58,26.65,1577093.0,26.761,10203
85,2024-02-08,26.61,26.62,26.2,26.44,1246310.0,26.464,7877
86,2024-02-09,26.74,28.0,26.74,27.71,3345359.0,27.633,17551
87,2024-02-12,27.87,28.93,27.69,27.76,2842749.0,28.297,14346
88,2024-02-13,26.8,27.33,26.2,26.25,2029632.0,26.586,10652
89,2024-02-14,26.86,26.97,26.19,26.3,938476.0,26.444,3942
