,date,open,high,low,close,volume,average,barCount
0,2023-10-06,328.36,354.35,328.26,353.62,788010.0,347.608,5319
1,2023-10-09,347.5,362.12,346.63,358.31,530674.0,358.147,3874
2,2023-10-10,355.96,368.63,354.0,358.47,596447.0,363.449,4459
3,2023-10-11,365.93,371.94,362.5,365.22,450873.0,367.021,3447
4,2023-10-12,367.52,374.67,362.0,364.35,538687.0,368.034,3742
5,2023-10-13,365.47,366.34,349.89,350.68,469542.0,355.469,3260
6,2023-10-16,352.35,369.42,350.7,368.16,543707.0,364.07,3789
7,2023-10-17,362.3,373.0,361.35,365.7,531211.0,367.444,4280
8,2023-10-18,362.87,369.66,356.48,358.68,493021.0,360.343,3804
9,2023-10-19,365.43,368.98,357.65,358.0,493988.0,361.861,3618
10,2023-10-20,359.33,362.03,342.44,346.28,736672.0,350.09,5470
11,2023-10-23,340.05,348.8,333.63,342.28,443609.0,342.399,2829
12,2023-10-24,348.46,358.76,346.79,352.04,448602.0,352.193,3504
13,2023-10-25,347.0,347.97,328.47,329.33,619335.0,335.978,4384
14,2023-10-26,329.35,334.39,321.0,327.33,838767.0,327.315,5583
15,2023-10-27,333.5,339.76,331.98,335.31,601803.0,335.304,4406
16,2023-10-30,341.25,342.33,333.69,336.3,375172.0,338.427,2632
17,2023-10-31,341.23,346.32,332.6,344.59,340866.0,342.268,2365
18,2023-11-01,345.21,347.22,332.0,339.02,469197.0,337.86,3332
19,2023-11-02,347.47,347.47,326.21,329.0,949736.0,332.261,6669
20,2023-11-03,332.74,343.7,328.54,343.11,999498.0,337.341,6654
21,2023-11-06,347.18,347.18,323.31,332.35,774712.0,330.212,5299
22,2023-11-07,355.01,384.15,355.01,369.04,2382410.0,373.541,15597
23,2023-11-08,372.0,373.73,362.5,370.04,617702.0,368.297,4250
24,2023-11-09,371.94,379.71,364.1,365.31,562071.0,370.557,3847
25,2023-11-10,366.76,379.0,364.01,376.89,515707.0,373.684,3510
26,2023-11-13,376.48,387.94,374.1,377.97,637950.0,380.275,4204
27,2023-11-14,389.01,402.57,386.07,397.77,1051281.0,397.606,6046
28,2023-11-15,401.0,402.7,390.42,392.58,402014.0,396.215,2856
29,2023-11-16,395.73,395.99,384.56,389.07,440306.0,389.62,2793
30,2023-11-17,389.71,395.0,388.0,392.57,285870.0,392.322,2019
31,2023-11-20,393.16,411.0,393.16,407.61,524066.0,406.876,3590
32,2023-11-21,402.54,412.67,402.5,405.51,406054.0,405.788,2485
33,2023-11-22,410.11,410.11,398.92,405.07,421968.0,404.809,2641
34,2023-11-24,403.5,409.49,400.85,407.7,139309.0,407.003,912
35,2023-11-27,406.73,411.64,400.4,401.91,406898.0,405.132,2717
36,2023-11-28,400.85,410.15,397.46,406.25,475557.0,405.891,3510
37,2023-11-29,411.0,421.37,411.0,420.51,951314.0,417.133,5662
38,2023-11-30,437.21,442.84,407.15,415.74,1252302.0,419.965,8273
39,2023-12-01,420.13,435.7,414.0,435.23,827200.0,426.997,5455
40,2023-12-04,431.26,440.81,417.64,423.02,1259644.0,425.078,8657
41,2023-12-05,423.03,435.0,420.5,433.67,1301979.0,429.997,8782
42,2023-12-06,409.07,415.72,387.37,387.42,4499016.0,401.417,26522
43,2023-12-07,390.51,396.88,383.26,384.24,1947129.0,388.087,11209
44,2023-12-08,380.42,382.17,373.23,381.79,1777685.0,378.164,11198
45,2023-12-11,388.5,404.28,388.36,395.39,1543770.0,397.853,9815
46,2023-12-12,391.17,398.0,389.51,393.09,663904.0,394.199,4785
47,2023-12-13,394.87,411.4,392.24,411.18,1051703.0,403.268,7124
48,2023-12-14,419.0,425.51,406.92,419.24,1302708.0,416.857,8773
49,2023-12-15,420.84,423.62,413.47,420.17,907489.0,418.509,5772
50,2023-12-18,409.2,417.81,407.09,412.74,741646.0,411.881,4330
51,2023-12-19,416.0,418.82,408.38,409.78,526645.0,412.634,3563
52,2023-12-20,405.61,414.79,401.06,401.67,491967.0,407.433,3405
53,2023-12-21,409.0,411.0,402.82,409.82,288236.0,406.975,2121
54,2023-12-22,411.34,413.52,400.86,407.48,379904.0,407.304,2659
55,2023-12-26,408.13,417.6,405.45,416.9,370076.0,412.926,2506
56,2023-12-27,418.0,425.02,416.95,418.28,397566.0,420.096,2473
57,2023-12-28,416.19,420.5,413.08,417.08,281996.0,416.954,1925
58,2023-12-29,415.4,421.97,408.48,408.85,499374.0,412.907,3230
59,2024-01-02,404.45,404.65,382.26,383.69,1233960.0,390.797,7201
60,2024-01-03,374.04,379.76,371.25,372.98,645982.0,375.201,4227
61,2024-01-04,362.57,369.16,360.1,362.41,1082276.0,365.082,6411
62,2024-01-05,360.7,371.45,360.15,365.39,707048.0,366.66,4732
63,2024-01-08,367.32,378.63,365.0,378.45,1002554.0,372.399,6931
64,2024-01-09,371.57,380.06,371.56,378.73,445975.0,377.59,2184
65,2024-01-10,380.57,394.45,376.19,393.15,825226.0,388.371,4859
66,2024-01-11,395.91,399.35,383.2,392.6,632611.0,391.049,4187
67,2024-01-12,393.6,397.85,388.87,391.59,402326.0,392.592,2784
68,2024-01-16,388.26,405.66,382.7,405.44,809228.0,398.287,5600
69,2024-01-17,401.79,404.01,387.27,400.38,555011.0,396.176,3560
70,2024-01-18,404.25,408.4,384.55,392.18,598218.0,393.644,4160
71,2024-01-19,395.41,401.66,391.5,401.05,376870.0,397.232,2647
72,2024-01-22,407.35,426.51,406.78,413.42,1009872.0,416.445,5990
73,2024-01-23,418.61,418.92,407.03,411.06,431706.0,412.762,2337
74,2024-01-24,417.46,424.78,409.36,410.11,659947.0,418.11,4178
75,2024-01-25,416.04,416.04,397.38,400.3,475107.0,404.694,3362
76,2024-01-26,394.7,401.73,391.35,395.29,519182.0,396.565,3352
77,2024-01-29,397.28,420.34,397.28,420.17,523395.0,410.218,3197
78,2024-01-30,418.49,421.99,410.73,415.53,315388.0,414.775,2240
79,2024-01-31,409.06,411.0,394.1,400.52,871851.0,401.771,5255
80,2024-02-01,404.42,411.31,399.88,409.07,676817.0,405.653,2501
81,2024-02-02,416.4,437.22,412.03,436.01,901147.0,428.194,6422
82,2024-02-05,437.99,454.59,427.36,436.89,1136961.0,440.464,6801
83,2024-02-06,448.13,451.31,429.13,443.31,834507.0,442.068,5257
84,2024-02-07,446.82,463.2,440.26,457.39,730614.0,455.352,4681
85,2024-02-08,457.85,477.1,457.61,475.12,672701.0,471.072,4451
86,2024-02-09,486.23,507.25,481.86,500.9,1264718.0,500.233,8028
87,2024-02-12,500.01,509.62,487.07,487.99,711140.0,496.975,4811
88,2024-02-13,463.0,480.0,451.0,472.13,884203.0,470.362,6445
89,2024-02-14,481.88,485.01,473.21,480.18,187247.0,478.545,1254
