,date,open,high,low,close,volume,average,barCount
0,2023-10-06,64.49,64.49,61.19,63.36,14302034.0,62.678,84951
1,2023-10-09,63.8,64.39,62.71,63.77,5784022.0,63.354,36155
2,2023-10-10,64.4,64.5,63.29,63.63,5444481.0,63.668,34651
3,2023-10-11,63.65,63.96,62.73,62.9,3736353.0,63.075,23944
4,2023-10-12,62.77,62.84,60.75,61.04,5425789.0,61.24,34825
5,2023-10-13,61.11,61.95,60.87,61.53,4941910.0,61.435,32874
6,2023-10-16,61.87,62.95,61.83,62.62,5002922.0,62.645,32683
7,2023-10-17,62.47,63.59,62.42,63.54,5041394.0,63.267,32577
8,2023-10-18,63.71,64.61,63.7,64.15,5078244.0,64.231,34303
9,2023-10-19,64.08,64.97,63.81,64.21,6236810.0,64.363,43447
10,2023-10-20,64.38,65.03,64.07,64.1,4058981.0,64.476,25653
11,2023-10-23,63.92,64.66,63.65,63.99,3582576.0,64.166,24413
12,2023-10-24,64.2,65.73,64.16,65.55,4895300.0,65.246,33454
13,2023-10-25,65.32,66.08,65.05,65.69,4505683.0,65.656,31202
14,2023-10-26,65.89,66.38,65.39,65.65,4310899.0,65.848,32707
15,2023-10-27,65.3,66.05,64.85,65.01,3449826.0,65.322,24379
16,2023-10-30,65.42,66.17,65.27,65.98,4276221.0,65.771,26172
17,2023-10-31,66.0,66.33,65.33,66.21,3117206.0,66.035,22530
18,2023-11-01,66.45,67.26,66.24,66.82,4480136.0,66.965,31188
19,2023-11-02,68.5,68.82,67.16,67.97,5475965.0,67.934,37429
20,2023-11-03,68.67,69.09,68.34,68.82,5919079.0,68.835,34480
21,2023-11-06,68.74,69.22,68.18,68.24,3456496.0,68.62,23687
22,2023-11-07,68.65,68.83,68.08,68.49,4211176.0,68.551,27126
23,2023-11-08,68.76,69.36,68.76,69.02,4331581.0,69.055,28132
24,2023-11-09,69.07,69.37,68.81,68.94,4388166.0,69.087,27802
25,2023-11-10,69.07,69.31,68.37,69.12,4286577.0,68.923,28032
26,2023-11-13,69.03,69.76,68.96,69.3,4059231.0,69.412,25140
27,2023-11-14,69.8,70.24,69.62,70.1,4382515.0,69.974,27468
28,2023-11-15,69.81,70.7,69.74,69.99,4117549.0,70.091,27417
29,2023-11-16,70.6,70.98,70.31,70.62,4315065.0,70.635,29541
30,2023-11-17,70.96,71.0,70.21,70.63,3375295.0,70.681,21923
31,2023-11-20,70.1,71.13,70.07,70.91,3187080.0,70.68,21423
32,2023-11-21,70.99,71.44,70.91,70.97,3390239.0,71.096,23119
33,2023-11-22,71.26,71.75,71.17,71.49,2131825.0,71.441,15099
34,2023-11-24,71.63,71.88,71.44,71.62,1113234.0,71.66,7632
35,2023-11-27,72.0,72.12,71.22,71.48,3699006.0,71.556,23751
36,2023-11-28,71.55,71.81,71.24,71.43,3235322.0,71.492,21034
37,2023-11-29,71.28,71.41,70.28,70.44,2830442.0,70.771,20031
38,2023-11-30,70.24,71.09,69.94,71.06,3698797.0,70.552,25540
39,2023-12-01,70.87,71.06,70.24,70.82,3269424.0,70.728,23394
40,2023-12-04,70.39,71.42,70.35,71.22,2858172.0,71.101,19273
41,2023-12-05,71.06,71.25,70.35,70.68,2339468.0,70.672,15663
42,2023-12-06,71.0,71.38,70.6,71.29,4134715.0,71.099,22500
43,2023-12-07,71.28,71.98,70.85,71.61,3185758.0,71.591,22284
44,2023-12-08,71.5,71.79,71.05,71.09,3115834.0,71.345,21933
45,2023-12-11,71.95,73.03,71.61,71.75,3626241.0,71.908,25358
46,2023-12-12,72.33,72.38,71.57,72.27,3103948.0,71.972,19863
47,2023-12-13,72.3,73.25,72.24,73.11,3088039.0,72.816,22799
48,2023-12-14,73.03,73.03,70.57,70.7,4899133.0,71.334,31807
49,2023-12-15,70.59,71.07,70.04,70.7,5994076.0,70.565,26319
50,2023-12-18,71.25,71.5,70.6,71.06,3224833.0,71.089,21869
51,2023-12-19,70.85,71.38,70.75,71.05,2823829.0,70.968,19474
52,2023-12-20,70.37,70.71,69.24,69.33,6045602.0,69.951,36489
