,date,open,high,low,close,volume,average,barCount
0,2023-10-06,35.81,37.06,35.02,36.48,6275034.0,36.189,32929
1,2023-10-09,36.19,37.36,35.55,37.18,3236940.0,36.705,19394
2,2023-10-10,37.39,37.95,37.17,37.39,3957700.0,37.538,21564
3,2023-10-11,37.44,38.21,37.33,38.01,3635940.0,37.838,21196
4,2023-10-12,38.25,38.25,36.7,37.16,3227606.0,37.237,18908
5,2023-10-13,37.12,37.29,36.22,36.44,2410375.0,36.497,14971
6,2023-10-16,36.75,37.08,36.19,36.95,2111923.0,36.841,13371
7,2023-10-17,36.49,37.21,36.39,36.84,2079993.0,36.877,12621
8,2023-10-18,36.52,36.62,35.51,35.63,4298711.0,35.909,24205
9,2023-10-19,35.93,36.8,35.76,35.99,3765231.0,36.246,21040
10,2023-10-20,35.78,36.0,35.15,35.25,3504374.0,35.403,20647
11,2023-10-23,35.41,37.1,35.11,36.64,5473277.0,36.592,31224
12,2023-10-24,36.93,37.16,36.39,36.66,3051514.0,36.696,18936
13,2023-10-25,35.81,35.97,34.59,34.63,4309797.0,35.091,25819
14,2023-10-26,34.8,35.48,34.39,34.84,3062752.0,34.897,18156
15,2023-10-27,35.15,35.15,34.12,34.23,2932364.0,34.448,16205
16,2023-10-30,34.71,34.94,34.18,34.83,2568949.0,34.645,15717
17,2023-10-31,34.8,35.13,34.43,34.92,2516114.0,34.844,15740
18,2023-11-01,35.05,35.37,34.39,34.97,3095456.0,34.819,18740
19,2023-11-02,35.61,36.94,35.61,36.25,5048741.0,36.266,27934
20,2023-11-03,36.95,38.55,36.95,38.16,4732298.0,38.076,25781
21,2023-11-06,38.23,38.48,37.94,38.28,2937227.0,38.201,18361
22,2023-11-07,38.08,38.34,37.85,38.27,2453225.0,38.151,14838
23,2023-11-08,38.63,39.21,38.42,38.65,4524325.0,38.818,24284
24,2023-11-09,40.1,40.68,37.71,38.21,5940063.0,38.517,31264
25,2023-11-10,37.69,38.8,37.14,38.74,3259046.0,38.286,19908
26,2023-11-13,38.3,38.56,37.83,37.94,3048832.0,38.084,15619
27,2023-11-14,38.86,40.64,38.82,40.26,4148832.0,40.123,24139
28,2023-11-15,40.26,41.31,40.19,40.63,2908883.0,40.748,18730
29,2023-11-16,40.43,40.87,40.0,40.21,3298123.0,40.25,17396
30,2023-11-17,40.61,40.75,39.58,39.8,4019399.0,39.961,24429
31,2023-11-20,39.91,40.48,39.83,40.31,2738720.0,40.244,13987
32,2023-11-21,39.8,39.96,39.53,39.86,2474263.0,39.787,14303
33,2023-11-22,40.26,40.73,39.85,40.35,2206104.0,40.454,13831
34,2023-11-24,39.96,40.36,39.84,40.22,863400.0,40.179,5423
35,2023-11-27,39.97,40.18,39.79,40.05,2018008.0,39.978,12181
36,2023-11-28,39.92,40.09,39.69,39.73,3215166.0,39.878,17538
37,2023-11-29,40.14,40.63,39.34,39.43,2884707.0,39.677,16700
38,2023-11-30,39.59,39.63,39.16,39.44,2990653.0,39.415,18992
39,2023-12-01,39.32,40.88,39.26,40.84,4011208.0,40.493,23282
40,2023-12-04,40.5,41.4,40.19,40.35,3374681.0,40.661,20934
41,2023-12-05,40.02,40.12,39.09,39.13,3623842.0,39.392,20885
42,2023-12-06,39.67,40.38,39.31,39.37,2719384.0,39.723,16646
43,2023-12-07,39.47,40.12,39.46,39.81,2294953.0,39.824,14170
44,2023-12-08,39.91,41.45,39.76,41.42,4106645.0,41.025,25508
45,2023-12-11,41.3,43.62,41.3,43.54,5068630.0,42.989,29898
46,2023-12-12,43.48,43.65,43.09,43.37,2798433.0,43.431,16224
47,2023-12-13,43.38,43.9,42.36,43.75,3861852.0,43.192,23952
48,2023-12-14,44.0,45.58,43.99,44.66,4721221.0,44.877,26232
49,2023-12-15,44.31,44.6,43.06,43.1,5159206.0,43.586,28318
50,2023-12-18,43.18,43.95,43.15,43.54,2676643.0,43.671,17550
51,2023-12-19,43.77,45.31,43.68,45.02,3316680.0,44.714,19331
52,2023-12-20,44.76,45.08,43.44,43.49,2630022.0,44.264,17845
53,2023-12-21,44.24,44.67,43.87,44.49,2391614.0,44.256,15803
54,2023-12-22,44.47,44.82,44.24,44.38,1715891.0,44.547,12144
55,2023-12-26,44.36,44.82,44.35,44.66,1500124.0,44.605,10071
56,2023-12-27,44.56,44.99,44.27,44.79,1713212.0,44.664,11554
57,2023-12-28,44.74,45.58,44.72,45.05,1493019.0,45.062,9611
58,2023-12-29,44.95,45.23,44.58,44.68,1582312.0,44.853,10900
59,2024-01-02,44.29,45.91,44.16,45.48,2945350.0,45.385,17433
60,2024-01-03,44.77,44.83,43.48,44.25,2680185.0,44.235,18010
61,2024-01-04,44.06,44.51,43.81,44.35,2051538.0,44.225,12892
62,2024-01-05,44.07,45.36,44.06,44.83,1991967.0,44.909,12634
63,2024-01-08,44.74,45.91,44.72,45.91,2207966.0,45.448,13494
64,2024-01-09,45.18,45.33,44.26,44.61,3465721.0,44.58,21619
65,2024-01-10,44.46,44.84,43.38,43.49,4001100.0,43.776,24122
66,2024-01-11,43.37,43.75,42.47,43.41,3018007.0,43.212,18451
67,2024-01-12,43.25,43.62,42.3,42.37,3193503.0,42.594,17787
68,2024-01-16,42.0,42.5,41.74,42.27,4173226.0,42.165,24260
69,2024-01-17,41.61,41.94,41.27,41.63,3398300.0,41.65,18936
70,2024-01-18,42.15,42.9,41.86,42.86,3235082.0,42.443,19171
71,2024-01-19,43.05,43.26,42.26,43.0,3718809.0,42.885,19865
72,2024-01-22,43.21,43.54,42.45,42.56,3096186.0,42.813,16758
