,date,open,high,low,close,volume,average,barCount
0,2023-09-25,30.75,31.28,30.22,30.96,217485.0,30.926,1065
1,2023-09-26,31.13,31.63,30.35,30.38,194585.0,31.052,1260
2,2023-09-27,30.47,31.04,30.35,30.8,207720.0,30.781,1566
3,2023-09-28,31.23,31.89,30.84,31.56,308026.0,31.35,1785
4,2023-09-29,31.68,31.85,31.23,31.6,154782.0,31.612,1211
5,2023-10-02,31.6,31.8,29.21,29.3,386724.0,30.318,2547
6,2023-10-03,29.94,30.08,29.09,29.77,225446.0,29.764,1634
7,2023-10-04,29.49,29.56,28.44,28.65,212872.0,28.795,1572
8,2023-10-05,28.56,29.69,28.56,29.63,122921.0,29.336,972
9,2023-10-06,29.33,30.15,29.33,29.92,111356.0,29.872,829
10,2023-10-09,29.83,30.46,29.42,30.44,129932.0,30.12,1006
11,2023-10-10,30.28,30.92,29.89,30.57,149591.0,30.603,1167
12,2023-10-11,30.63,30.87,28.62,28.8,165597.0,29.21,1134
13,2023-10-12,28.64,28.85,27.75,28.04,134548.0,28.257,964
14,2023-10-13,28.11,28.27,27.6,28.12,120331.0,27.999,828
15,2023-10-16,27.8,28.29,26.76,27.89,167350.0,27.655,1008
16,2023-10-17,28.27,29.42,28.27,28.91,126086.0,28.977,949
17,2023-10-18,27.73,28.53,27.59,27.96,253010.0,27.99,1660
18,2023-10-19,28.28,29.3,27.78,28.9,152716.0,28.848,1192
19,2023-10-20,29.38,29.5,28.7,28.9,149657.0,29.14,696
20,2023-10-23,28.36,28.82,27.79,27.89,140104.0,28.117,1021
21,2023-10-24,29.01,30.07,28.6,28.89,236304.0,29.402,1586
22,2023-10-25,28.66,28.66,27.26,27.49,132492.0,27.539,858
23,2023-10-26,27.77,28.15,27.39,27.54,134924.0,27.71,838
24,2023-10-27,27.7,27.7,26.79,27.14,211461.0,27.107,1062
25,2023-10-30,27.37,27.7,27.04,27.25,74288.0,27.256,511
26,2023-10-31,27.19,27.68,26.91,27.43,227231.0,27.39,1528
27,2023-11-01,27.18,28.75,27.15,28.42,259036.0,28.023,1465
28,2023-11-02,28.5,28.87,27.75,28.39,166137.0,28.318,1220
29,2023-11-03,29.9,30.92,29.0,30.0,968867.0,30.17,6204
30,2023-11-06,30.26,30.6,28.5,29.35,246566.0,29.128,1730
31,2023-11-07,29.3,30.0,29.08,30.0,185795.0,29.774,1234
32,2023-11-08,30.32,30.43,29.38,29.74,136336.0,29.787,1155
33,2023-11-09,30.0,30.0,27.88,28.48,215219.0,28.485,1298
34,2023-11-10,28.78,29.13,28.2,28.61,101443.0,28.669,848
35,2023-11-13,29.72,30.68,28.61,30.49,478434.0,30.013,2065
36,2023-11-14,30.98,31.69,29.96,30.33,510364.0,30.878,2778
37,2023-11-15,31.03,31.87,30.34,30.36,207330.0,31.083,1371
38,2023-11-16,30.27,31.24,30.04,30.31,160253.0,30.458,864
39,2023-11-17,30.44,32.35,30.2,32.32,260575.0,31.734,1624
40,2023-11-20,32.07,32.54,31.89,32.1,549369.0,32.151,3653
41,2023-11-21,32.52,32.55,31.67,32.0,296066.0,32.046,1762
42,2023-11-22,31.86,32.44,31.55,32.0,157624.0,31.976,1188
43,2023-11-24,32.12,33.01,32.12,32.35,126098.0,32.495,932
44,2023-11-27,32.32,32.45,31.67,32.04,421226.0,32.076,2508
45,2023-11-28,31.94,32.06,30.74,31.33,230946.0,31.272,1430
46,2023-11-29,31.45,32.48,31.45,31.65,183304.0,31.942,1362
47,2023-11-30,31.84,33.24,31.84,32.07,371826.0,32.432,1878
48,2023-12-01,32.08,32.49,31.44,32.0,290312.0,31.806,2010
49,2023-12-04,31.98,32.31,30.97,31.7,349146.0,31.55,2630
50,2023-12-05,31.58,33.33,31.5,32.5,477994.0,32.533,2900
51,2023-12-06,32.4,32.83,31.56,31.58,182609.0,31.998,1262
52,2023-12-07,31.47,32.55,31.47,32.28,265817.0,32.034,1137
53,2023-12-08,32.38,33.06,32.28,32.86,356962.0,32.798,2023
54,2023-12-11,33.08,33.2,31.8,32.28,562371.0,32.16,1970
55,2023-12-12,32.52,34.0,31.87,33.64,338812.0,33.284,2062
56,2023-12-13,33.65,34.24,33.06,33.92,538836.0,33.721,2511
57,2023-12-14,34.07,34.81,33.45,34.59,422548.0,34.2,3065
58,2023-12-15,34.6,35.56,33.99,34.93,604700.0,34.544,2622
59,2023-12-18,27.37,29.73,27.37,29.39,2100415.0,28.645,12067
60,2023-12-19,29.7,31.71,29.19,31.57,567399.0,31.042,3346
61,2023-12-20,31.62,32.68,30.76,30.79,470771.0,31.763,2719
62,2023-12-21,31.09,31.2,30.26,31.09,205961.0,30.851,1393
63,2023-12-22,30.66,30.95,29.02,30.0,662065.0,29.959,4888
64,2023-12-26,30.43,30.6,29.9,30.25,208175.0,30.141,1585
65,2023-12-27,30.18,30.8,29.8,30.06,218870.0,30.075,1698
66,2023-12-28,29.9,30.34,29.48,29.96,275049.0,29.904,1813
67,2023-12-29,29.92,30.0,29.25,29.52,239845.0,29.506,1785
68,2024-01-02,29.58,30.27,29.25,30.02,429205.0,29.977,2957
69,2024-01-03,30.0,30.29,29.26,29.4,374729.0,29.624,2402
70,2024-01-04,29.39,30.05,29.02,29.68,312177.0,29.464,2282
71,2024-01-05,29.46,29.6,28.77,28.85,230734.0,29.121,1540
72,2024-01-08,28.45,28.58,27.11,28.51,694710.0,28.095,4518
73,2024-01-09,28.24,28.5,27.11,27.91,505298.0,28.089,3545
74,2024-01-10,27.53,27.55,25.31,26.26,943959.0,26.107,6133
75,2024-01-11,26.27,27.29,26.0,26.88,523900.0,26.496,3187
76,2024-01-12,26.95,27.37,26.44,27.29,261884.0,26.906,1699
77,2024-01-16,26.55,26.91,26.06,26.72,382144.0,26.577,2376
