,date,open,high,low,close,volume,average,barCount
0,2023-09-25,25.21,26.79,25.15,26.34,967169.0,26.171,6815
1,2023-09-26,26.08,26.81,26.0,26.4,1220001.0,26.483,7478
2,2023-09-27,26.5,26.59,24.72,25.44,1190649.0,25.348,7193
3,2023-09-28,25.41,26.11,24.99,25.99,2012870.0,25.879,12701
4,2023-09-29,26.45,26.68,25.72,25.9,772584.0,26.001,4350
5,2023-10-02,25.81,26.26,25.43,25.7,770905.0,25.78,4181
6,2023-10-03,25.08,25.45,24.74,25.17,682038.0,25.128,3874
7,2023-10-04,25.31,25.31,24.21,24.68,849720.0,24.577,5512
8,2023-10-05,24.55,24.63,23.61,24.01,1087215.0,23.882,6130
9,2023-10-06,24.27,24.88,24.23,24.69,961655.0,24.645,4544
10,2023-10-09,25.0,26.17,25.0,26.01,1498356.0,25.712,9415
11,2023-10-10,26.72,27.62,25.4,25.99,1825735.0,26.346,10452
12,2023-10-11,26.01,26.41,25.58,26.0,1381167.0,25.998,6580
13,2023-10-12,25.8,26.14,24.68,24.98,1125097.0,25.052,4993
14,2023-10-13,25.74,26.19,25.1,25.8,1056402.0,25.843,6583
15,2023-10-16,25.6,25.8,25.11,25.27,424589.0,25.422,2659
16,2023-10-17,25.82,26.62,25.25,25.6,1668126.0,25.947,8416
17,2023-10-18,25.27,26.11,25.21,25.59,1229066.0,25.626,6020
18,2023-10-19,25.2,25.54,24.82,24.96,909556.0,25.097,5480
19,2023-10-20,24.87,25.6,24.76,25.07,990377.0,25.265,5980
20,2023-10-23,24.94,25.73,24.03,25.45,482426.0,25.191,2743
21,2023-10-24,25.98,28.28,25.98,28.11,1991300.0,27.646,8709
22,2023-10-25,27.47,27.68,26.66,26.91,1000245.0,27.2,5177
23,2023-10-26,26.52,27.23,25.77,25.96,937931.0,26.082,6054
24,2023-10-27,26.8,27.2,25.76,26.01,693897.0,26.2,3794
25,2023-10-30,26.82,27.42,26.43,26.88,652490.0,26.884,3482
26,2023-10-31,26.14,26.48,24.75,25.31,976125.0,25.358,5694
27,2023-11-01,25.25,25.57,25.05,25.48,663958.0,25.356,3766
28,2023-11-02,26.0,26.33,25.38,25.75,536466.0,25.677,3129
29,2023-11-03,26.16,26.97,25.34,26.64,948542.0,26.342,5274
30,2023-11-06,27.0,27.3,26.68,27.01,540856.0,26.982,2943
31,2023-11-07,26.82,27.58,26.15,26.78,812003.0,27.039,3977
32,2023-11-08,26.56,27.24,26.41,26.84,667283.0,26.952,4101
33,2023-11-09,27.0,27.02,25.56,25.75,567254.0,26.112,3133
34,2023-11-10,25.58,26.0,25.11,25.78,350728.0,25.667,2137
35,2023-11-13,25.5,26.16,25.01,25.95,528129.0,25.71,2619
36,2023-11-14,26.05,27.16,25.96,26.4,810181.0,26.36,4146
37,2023-11-15,27.12,28.0,26.53,27.06,1171980.0,27.365,5449
38,2023-11-16,26.5,27.65,26.13,26.61,608388.0,26.871,3419
39,2023-11-17,26.51,27.0,26.4,26.65,407717.0,26.599,2430
40,2023-11-20,26.23,28.16,26.2,27.66,965580.0,27.612,5408
41,2023-11-21,26.56,27.33,24.55,24.99,2151926.0,25.354,11504
42,2023-11-22,24.98,25.12,23.47,23.89,1587098.0,23.916,9055
43,2023-11-24,24.45,25.64,24.42,25.16,1714726.0,25.211,7313
44,2023-11-27,25.37,25.68,24.74,24.85,950698.0,24.957,6085
45,2023-11-28,24.83,25.43,24.45,25.04,691507.0,25.075,4085
46,2023-11-29,25.43,26.54,25.4,25.93,1851911.0,25.977,10581
47,2023-11-30,26.3,26.48,25.21,25.33,2692978.0,25.598,15563
48,2023-12-01,24.13,24.38,23.28,24.24,1546039.0,24.046,9128
49,2023-12-04,23.4,23.4,20.63,20.76,3939199.0,21.412,21420
50,2023-12-05,20.16,21.85,20.13,20.7,2115729.0,21.043,12300
51,2023-12-06,21.27,21.84,21.05,21.13,2119670.0,21.335,11364
52,2023-12-07,20.95,21.38,20.72,21.0,1226325.0,21.013,7280
53,2023-12-08,20.39,20.5,19.0,19.55,2805611.0,19.528,14849
54,2023-12-11,19.73,20.0,19.29,19.44,2056717.0,19.515,10361
55,2023-12-12,19.5,19.51,18.93,19.31,1165598.0,19.224,6414
56,2023-12-13,19.19,19.36,18.55,19.03,1079423.0,18.833,6066
57,2023-12-14,18.89,19.08,18.27,18.48,1909317.0,18.531,9376
58,2023-12-15,18.61,20.14,18.61,19.14,2117020.0,19.465,12176
59,2023-12-18,19.15,19.49,18.97,19.2,969122.0,19.229,6131
60,2023-12-19,19.4,19.94,19.37,19.85,1351715.0,19.759,8776
61,2023-12-20,19.53,19.85,18.88,18.89,824861.0,19.274,4107
62,2023-12-21,19.11,19.64,19.05,19.6,578138.0,19.454,3209
63,2023-12-22,19.04,19.79,18.75,19.64,740440.0,19.573,4724
64,2023-12-26,19.76,20.12,19.65,19.87,504531.0,19.891,2893
65,2023-12-27,20.14,20.15,19.66,19.94,624981.0,19.965,3732
66,2023-12-28,20.2,21.43,20.13,20.24,1485475.0,20.63,8429
67,2023-12-29,20.26,21.04,20.06,20.4,1290929.0,20.655,6774
68,2024-01-02,19.88,20.12,19.28,19.84,1035897.0,19.698,5379
69,2024-01-03,19.75,20.27,19.75,19.92,728923.0,20.002,4558
70,2024-01-04,21.21,22.65,21.21,21.89,2968293.0,22.133,16085
71,2024-01-05,21.65,22.05,21.34,21.38,1169285.0,21.67,7423
72,2024-01-08,21.07,21.38,20.8,21.07,931433.0,21.065,4930
73,2024-01-09,21.13,22.21,21.08,22.01,1040617.0,21.805,5979
74,2024-01-10,21.79,22.12,21.21,21.96,1153121.0,21.912,7261
75,2024-01-11,22.33,22.56,21.56,21.77,839301.0,21.888,5538
76,2024-01-12,21.81,22.52,21.79,22.49,798166.0,22.306,5114
77,2024-01-16,22.42,22.95,22.03,22.53,1067128.0,22.574,7156
78,2024-01-17,21.52,21.75,20.75,21.0,1442526.0,21.026,8487
79,2024-01-18,21.97,23.2,20.72,20.78,2043002.0,21.542,10788
80,2024-01-19,21.56,21.88,20.21,21.18,1812143.0,20.952,10466
81,2024-01-22,20.61,20.8,19.89,20.33,1552201.0,20.187,9787
82,2024-01-23,21.18,21.74,20.58,20.94,1137049.0,20.958,6860
83,2024-01-24,21.22,21.4,19.81,20.1,1328804.0,20.176,8035
84,2024-01-25,20.25,20.68,20.16,20.29,485281.0,20.379,3122
85,2024-01-26,19.76,20.22,19.48,19.8,919890.0,19.895,5194
86,2024-01-29,19.59,19.6,17.27,17.66,2905548.0,17.758,15965
87,2024-01-30,17.01,17.23,16.65,17.15,1982250.0,16.993,11366
88,2024-01-31,16.91,17.56,16.49,16.96,1661094.0,17.17,10177
89,2024-02-01,17.24,17.58,16.78,16.88,846409.0,17.02,5370
