,date,open,high,low,close,volume,average,barCount
0,2023-10-06,6.9,7.2,6.9,7.15,595269.0,7.107,3121
1,2023-10-09,7.13,7.43,7.1,7.28,854027.0,7.322,4906
2,2023-10-10,7.39,7.48,7.32,7.4,1145291.0,7.392,6655
3,2023-10-11,7.5,7.57,7.34,7.37,1138817.0,7.426,6119
4,2023-10-12,7.33,7.44,7.07,7.16,807208.0,7.186,4635
5,2023-10-13,7.12,7.16,7.04,7.06,436650.0,7.076,2879
6,2023-10-16,7.02,7.24,7.0,7.13,530531.0,7.154,3152
7,2023-10-17,7.05,7.29,7.04,7.19,466252.0,7.207,3015
8,2023-10-18,7.11,7.15,7.0,7.01,385491.0,7.043,2407
9,2023-10-19,6.9,7.0,6.8,6.81,556726.0,6.839,3248
10,2023-10-20,6.77,6.82,6.72,6.74,465600.0,6.777,2722
11,2023-10-23,6.69,6.95,6.66,6.85,600492.0,6.864,3810
12,2023-10-24,6.98,7.28,6.98,7.15,505635.0,7.194,2416
13,2023-10-25,7.09,7.16,7.01,7.05,394576.0,7.069,2401
14,2023-10-26,7.05,7.09,6.86,6.99,914869.0,6.962,5248
15,2023-10-27,7.12,7.2,6.98,7.03,315569.0,7.034,1879
16,2023-10-30,7.24,7.32,7.11,7.15,566059.0,7.22,3307
17,2023-10-31,7.05,7.13,6.98,7.08,307596.0,7.032,1918
18,2023-11-01,7.06,7.1,6.97,7.07,274061.0,7.036,1620
19,2023-11-02,7.12,7.14,6.98,6.98,321331.0,7.014,1701
20,2023-11-03,7.05,7.26,7.05,7.16,526191.0,7.193,2872
21,2023-11-06,7.31,7.32,7.16,7.17,368360.0,7.221,2127
22,2023-11-07,7.15,7.15,7.02,7.04,291569.0,7.06,1523
23,2023-11-08,7.0,7.05,6.9,6.91,459600.0,6.957,2252
24,2023-11-09,6.89,6.99,6.79,6.8,461310.0,6.861,2871
25,2023-11-10,6.78,6.97,6.69,6.94,557460.0,6.885,2896
26,2023-11-13,6.99,7.01,6.9,6.96,397151.0,6.976,2126
27,2023-11-14,7.05,7.11,6.95,7.03,742246.0,7.034,4064
28,2023-11-15,7.2,7.37,7.19,7.23,583401.0,7.276,2830
