,date,open,high,low,close,volume,average,barCount
0,2023-09-25,7.11,7.5,7.11,7.44,134467.0,7.341,598
1,2023-09-26,7.21,7.41,7.2,7.26,72388.0,7.306,308
2,2023-09-27,7.46,7.46,7.2,7.31,17345.0,7.284,76
3,2023-09-28,7.05,7.05,6.77,6.79,181995.0,6.869,795
4,2023-09-29,6.94,6.94,6.69,6.72,63374.0,6.811,358
5,2023-10-02,6.53,6.57,6.37,6.4,81170.0,6.441,355
6,2023-10-03,6.2,6.24,6.06,6.12,147698.0,6.108,500
7,2023-10-04,6.04,6.04,5.84,5.91,1156535.0,5.897,2330
8,2023-10-05,6.04,6.1,5.91,6.06,102938.0,6.015,471
9,2023-10-06,6.03,6.21,5.99,6.15,46001.0,6.115,261
10,2023-10-09,5.97,6.0,5.9,5.94,64805.0,5.955,314
11,2023-10-10,6.24,6.32,6.2,6.27,147395.0,6.283,719
12,2023-10-11,6.19,6.2,5.99,6.16,129560.0,6.121,697
13,2023-10-12,6.17,6.17,6.05,6.16,131460.0,6.107,668
14,2023-10-13,6.35,6.51,6.21,6.5,370649.0,6.345,1947
15,2023-10-16,6.51,6.78,6.48,6.73,304398.0,6.647,1818
16,2023-10-17,6.8,7.25,6.73,6.79,477412.0,6.973,1959
17,2023-10-18,6.94,6.94,6.76,6.78,120089.0,6.85,565
18,2023-10-19,6.71,6.77,6.56,6.59,148758.0,6.653,850
19,2023-10-20,6.72,6.77,6.58,6.59,142384.0,6.675,895
20,2023-10-23,6.71,6.86,6.65,6.83,174147.0,6.759,881
21,2023-10-24,6.96,7.05,6.85,6.88,137859.0,6.948,865
22,2023-10-25,7.09,7.32,7.0,7.15,221451.0,7.158,1320
23,2023-10-26,7.45,7.6,7.27,7.59,139173.0,7.485,718
24,2023-10-27,7.8,7.81,7.54,7.62,199053.0,7.671,1157
25,2023-10-30,7.84,7.94,7.8,7.8,112493.0,7.862,533
26,2023-10-31,8.13,8.14,7.93,7.97,155131.0,8.013,842
27,2023-11-01,7.94,8.22,7.9,8.12,576006.0,8.053,2282
28,2023-11-02,8.3,8.35,7.52,7.52,511700.0,7.852,2752
29,2023-11-03,8.05,8.37,7.88,7.93,752146.0,8.085,3720
30,2023-11-06,8.44,8.53,8.18,8.24,693032.0,8.321,3253
31,2023-11-07,8.27,8.31,8.03,8.18,379396.0,8.183,1843
32,2023-11-08,8.52,8.55,8.21,8.26,530015.0,8.357,3139
33,2023-11-09,8.45,8.46,7.81,7.84,502669.0,8.061,2635
