,date,open,high,low,close,volume,average,barCount
0,2023-10-06,41.73,42.25,41.47,42.07,7754565.0,41.905,39992
1,2023-10-09,42.0,42.73,42.0,42.7,4428249.0,42.446,20352
2,2023-10-10,43.29,43.52,42.47,42.49,7997874.0,42.996,35461
3,2023-10-11,42.64,42.85,42.36,42.56,5079904.0,42.604,24854
4,2023-10-12,42.63,42.71,41.83,42.24,5532468.0,42.147,25713
5,2023-10-13,42.25,42.74,42.25,42.66,4181117.0,42.574,21145
6,2023-10-16,42.91,43.05,42.6,42.87,4448099.0,42.859,22209
7,2023-10-17,42.77,43.21,42.59,43.19,3792919.0,42.891,19386
8,2023-10-18,43.12,43.43,42.89,43.12,3331561.0,43.202,17696
9,2023-10-19,42.91,43.03,42.51,42.61,4542277.0,42.746,23827
10,2023-10-20,42.54,43.04,42.52,42.71,4044315.0,42.795,18616
11,2023-10-23,42.65,42.68,42.09,42.13,4281876.0,42.372,20600
12,2023-10-24,42.13,42.62,42.13,42.54,4768498.0,42.433,23901
13,2023-10-25,42.53,43.02,42.5,42.82,5060402.0,42.84,26874
14,2023-10-26,42.14,42.18,39.06,39.26,18684195.0,40.112,79812
15,2023-10-27,39.72,40.36,39.19,39.3,10922147.0,39.662,51520
16,2023-10-30,39.5,40.45,39.48,40.25,7743135.0,40.016,34632
17,2023-10-31,40.28,40.57,39.8,40.17,11754596.0,40.031,34767
18,2023-11-01,40.29,40.39,39.63,39.9,6967127.0,39.894,31940
19,2023-11-02,39.95,40.69,39.76,40.67,6067266.0,40.355,28723
20,2023-11-03,40.95,41.21,40.59,40.67,6071237.0,40.826,25382
21,2023-11-06,40.75,40.88,40.45,40.54,4961972.0,40.584,21271
22,2023-11-07,40.46,40.7,40.41,40.51,4227013.0,40.524,18821
23,2023-11-08,40.49,40.81,40.04,40.2,5513657.0,40.323,23522
24,2023-11-09,40.25,40.44,40.01,40.11,7832036.0,40.192,29174
25,2023-11-10,40.19,40.29,39.7,40.02,9036937.0,39.972,35295
26,2023-11-13,40.09,40.17,39.94,40.0,8968495.0,40.033,31011
27,2023-11-14,40.23,40.42,39.96,40.22,9476037.0,40.215,36795
28,2023-11-15,40.45,40.77,40.18,40.75,6777611.0,40.458,25554
29,2023-11-16,40.7,40.95,40.13,40.7,8105886.0,40.474,32928
30,2023-11-17,40.8,40.97,40.51,40.82,4572931.0,40.786,19598
31,2023-11-20,40.65,40.97,40.63,40.84,4467273.0,40.815,18973
32,2023-11-21,40.85,40.94,40.57,40.76,3720077.0,40.786,15847
33,2023-11-22,40.85,41.22,40.74,41.19,4537189.0,41.075,20919
34,2023-11-24,41.31,41.48,41.28,41.47,2324052.0,41.372,9744
35,2023-11-27,41.44,41.61,41.24,41.44,4312315.0,41.391,17610
36,2023-11-28,41.44,42.0,41.42,41.82,5125445.0,41.746,22382
37,2023-11-29,41.88,41.98,41.69,41.76,3404747.0,41.831,14124
38,2023-11-30,41.91,42.05,41.74,42.04,4012033.0,41.921,18011
39,2023-12-01,42.15,42.63,42.11,42.6,4648671.0,42.453,20809
40,2023-12-04,42.55,42.96,42.42,42.5,4311781.0,42.649,17927
41,2023-12-05,42.32,42.77,42.25,42.57,4201604.0,42.559,18705
42,2023-12-06,41.32,41.65,40.96,41.36,10737383.0,41.367,43455
43,2023-12-07,41.48,41.67,41.23,41.32,6916361.0,41.388,28940
44,2023-12-08,41.34,41.43,41.17,41.3,5573660.0,41.3,26235
45,2023-12-11,41.5,41.62,41.32,41.39,5628251.0,41.446,23252
46,2023-12-12,41.51,41.51,41.28,41.36,5823761.0,41.407,25185
47,2023-12-13,41.28,42.04,41.07,42.02,6597308.0,41.493,28793
48,2023-12-14,42.33,42.85,42.06,42.11,8722956.0,42.479,35770
49,2023-12-15,41.95,42.15,41.71,41.75,9104636.0,41.899,30222
50,2023-12-18,42.05,42.39,41.99,42.2,6719627.0,42.226,23909
51,2023-12-19,42.38,42.45,42.14,42.44,8667004.0,42.312,28427
52,2023-12-20,41.29,41.34,40.28,40.3,9758761.0,40.799,35928
53,2023-12-21,40.41,40.6,40.03,40.31,7635184.0,40.304,27103
54,2023-12-22,40.42,40.65,40.26,40.36,5946372.0,40.466,21324
55,2023-12-26,40.32,40.52,40.2,40.34,5748241.0,40.346,20337
56,2023-12-27,40.25,40.38,40.09,40.18,6507441.0,40.211,25259
57,2023-12-28,40.11,40.29,40.03,40.18,5692274.0,40.178,21744
58,2023-12-29,40.15,40.4,40.09,40.34,5903805.0,40.258,24280
59,2024-01-02,40.36,41.66,40.34,41.58,8700273.0,41.284,36232
60,2024-01-03,41.65,41.8,41.31,41.4,6766585.0,41.506,28559
61,2024-01-04,41.48,42.05,41.47,41.52,5639115.0,41.7,25019
62,2024-01-05,41.58,41.66,41.31,41.49,4456107.0,41.493,20729
63,2024-01-08,41.56,42.03,41.54,41.91,6584779.0,41.823,29412
64,2024-01-09,41.84,41.86,41.55,41.86,4910034.0,41.725,22107
65,2024-01-10,41.84,42.08,40.93,41.06,8610812.0,41.455,35683
66,2024-01-11,41.0,41.64,40.92,41.6,7456276.0,41.273,34791
67,2024-01-12,41.88,42.01,41.27,41.34,4768581.0,41.428,22728
68,2024-01-16,41.36,41.52,40.76,40.97,6856715.0,41.069,28568
69,2024-01-17,40.89,41.21,40.71,40.74,4463177.0,40.888,22797
70,2024-01-18,40.61,40.61,40.08,40.44,5908068.0,40.288,23772
71,2024-01-19,40.49,40.52,40.15,40.33,5252494.0,40.344,22373
72,2024-01-22,40.25,40.69,40.15,40.48,5413305.0,40.453,23169
73,2024-01-23,40.36,40.51,40.11,40.44,5822074.0,40.343,28213
74,2024-01-24,40.41,40.59,39.92,39.93,6995393.0,40.168,25183
75,2024-01-25,40.05,40.32,39.91,40.21,6524915.0,40.123,26765
76,2024-01-26,40.42,40.5,40.12,40.2,5670083.0,40.263,22778
77,2024-01-29,40.22,40.57,40.22,40.53,5891605.0,40.426,24751
78,2024-01-30,40.5,40.57,40.22,40.46,4592483.0,40.423,21114
79,2024-01-31,40.5,40.62,40.07,40.12,8278959.0,40.3,39001
80,2024-02-01,40.6,41.75,40.36,41.72,14586269.0,41.247,65749
81,2024-02-02,41.49,41.61,40.92,41.36,6869885.0,41.272,34324
82,2024-02-05,41.22,41.29,40.5,40.52,7356073.0,40.82,31090
83,2024-02-06,40.58,40.71,40.3,40.6,7218437.0,40.523,27784
84,2024-02-07,40.71,40.76,40.13,40.26,5479072.0,40.304,22293
85,2024-02-08,40.2,40.37,39.85,40.09,12197659.0,40.034,37083
86,2024-02-09,39.95,40.15,39.87,40.11,5984088.0,40.043,27749
87,2024-02-12,40.22,40.62,40.13,40.55,6224570.0,40.388,28221
88,2024-02-13,40.36,40.46,39.95,40.23,5228740.0,40.153,24259
89,2024-02-14,40.22,40.36,40.11,40.2,1304843.0,40.26,5236
