,date,open,high,low,close,volume,average,barCount
0,2023-10-06,142.85,145.54,141.7,143.18,2019007.0,143.834,13929
1,2023-10-09,145.51,147.07,143.87,146.57,2069652.0,145.841,13893
2,2023-10-10,145.62,149.43,145.62,148.91,1729262.0,148.191,11986
3,2023-10-11,147.66,149.35,146.47,148.52,1389194.0,148.144,10292
4,2023-10-12,149.35,149.66,146.26,147.59,1771324.0,147.855,12639
5,2023-10-13,149.43,150.41,148.1,148.2,1333458.0,148.965,9611
6,2023-10-16,149.42,151.71,149.03,150.75,1375474.0,150.656,10513
7,2023-10-17,150.51,152.5,150.46,151.34,1036328.0,151.3,7776
8,2023-10-18,151.42,154.33,151.35,153.99,1307866.0,153.367,8528
9,2023-10-19,153.93,154.33,152.14,152.84,1083599.0,153.145,8082
10,2023-10-20,152.68,153.77,150.81,150.86,1262465.0,151.689,9079
11,2023-10-23,150.77,150.98,147.89,149.45,1297214.0,149.11,10317
12,2023-10-24,149.7,151.39,148.35,148.63,984954.0,149.313,6998
13,2023-10-25,149.14,150.29,147.15,147.35,1475722.0,147.949,11323
14,2023-10-26,146.55,148.42,144.11,148.06,1604932.0,146.87,12062
15,2023-10-27,147.73,148.27,144.55,146.0,2028261.0,145.928,14871
16,2023-10-30,146.88,148.53,144.51,146.86,1604050.0,146.505,11905
17,2023-10-31,148.4,151.98,144.46,151.25,2406199.0,149.323,17539
18,2023-11-01,152.43,157.64,151.25,155.21,2090184.0,155.88,13412
19,2023-11-02,155.22,159.65,153.93,155.77,2049257.0,156.136,14763
20,2023-11-03,155.45,155.49,149.9,150.78,1694492.0,151.424,11695
21,2023-11-06,152.0,152.64,148.74,149.92,1119899.0,149.999,8696
22,2023-11-07,148.3,148.58,144.74,146.16,1401468.0,146.034,10492
23,2023-11-08,145.23,146.18,143.09,143.5,1104296.0,144.034,7828
24,2023-11-09,144.0,145.0,141.42,141.8,1096958.0,142.614,7673
25,2023-11-10,143.4,145.42,142.54,145.13,1299044.0,144.281,9469
26,2023-11-13,145.07,147.36,144.48,146.76,1187849.0,146.312,8483
27,2023-11-14,147.3,151.1,147.3,150.67,1681968.0,149.968,11972
28,2023-11-15,149.73,152.81,149.3,150.33,1753787.0,150.836,12951
29,2023-11-16,148.88,150.49,143.87,145.1,1684776.0,145.481,12726
30,2023-11-17,146.25,150.27,145.9,147.9,1733525.0,148.477,13149
31,2023-11-20,148.91,150.64,148.54,148.99,1298816.0,149.392,8348
32,2023-11-21,147.91,148.21,146.09,147.63,964372.0,147.466,6830
33,2023-11-22,145.0,149.38,144.06,149.21,1233184.0,148.367,9380
34,2023-11-24,149.79,151.51,149.36,149.5,782263.0,150.301,5471
35,2023-11-27,149.05,150.7,148.36,150.55,1148103.0,149.793,8806
36,2023-11-28,151.0,152.57,149.83,149.99,1376821.0,150.95,10147
37,2023-11-29,151.31,152.26,147.16,147.42,1515726.0,148.853,10971
38,2023-11-30,148.42,151.63,147.26,149.19,1911095.0,149.434,14043
39,2023-12-01,148.78,153.77,148.44,151.42,1822044.0,151.807,11734
40,2023-12-04,150.0,151.98,148.46,151.39,1508565.0,150.879,9779
41,2023-12-05,151.44,153.02,148.62,148.92,1479156.0,151.019,9971
42,2023-12-06,147.76,147.76,143.09,143.18,2089548.0,144.871,13372
43,2023-12-07,143.61,145.0,140.97,141.58,2033183.0,142.431,13400
44,2023-12-08,142.61,144.15,142.06,143.02,1741223.0,142.889,11949
45,2023-12-11,142.5,144.74,142.27,143.85,1618347.0,143.976,11846
46,2023-12-12,142.53,143.97,141.45,143.37,1487897.0,142.948,11032
47,2023-12-13,143.21,146.8,142.57,146.66,1652183.0,145.09,12071
48,2023-12-14,149.06,150.89,147.32,150.89,1820252.0,149.484,13384
49,2023-12-15,145.71,149.5,144.51,148.38,2772798.0,147.469,17747
50,2023-12-18,150.93,153.07,150.38,151.81,1325491.0,151.797,9728
51,2023-12-19,151.87,153.84,150.97,153.77,901252.0,152.82,6581
52,2023-12-20,154.33,156.28,153.42,153.63,1562628.0,154.994,11044
53,2023-12-21,153.65,155.11,151.39,152.66,1008484.0,152.521,7738
54,2023-12-22,153.85,154.18,150.78,150.87,1119746.0,151.919,8404
55,2023-12-26,151.82,153.14,150.67,152.08,703434.0,152.32,5228
56,2023-12-27,151.48,151.92,149.55,149.88,817481.0,150.605,6083
57,2023-12-28,149.01,149.5,146.87,146.88,1287391.0,147.88,9718
58,2023-12-29,147.91,149.72,147.6,148.36,1250746.0,148.654,8833
59,2024-01-02,149.03,152.41,149.03,152.36,1579634.0,151.306,11103
60,2024-01-03,152.5,159.99,152.38,157.89,2693779.0,157.604,16638
61,2024-01-04,159.83,162.31,153.34,153.4,2643076.0,157.64,15126
62,2024-01-05,154.75,155.98,151.55,152.5,1790935.0,153.393,11220
63,2024-01-08,150.0,156.34,148.46,156.26,1676119.0,153.404,11428
64,2024-01-09,155.98,156.13,153.89,154.31,1569813.0,154.699,10329
65,2024-01-10,154.71,155.9,151.94,152.84,1254557.0,153.452,8113
66,2024-01-11,153.42,156.0,153.42,155.39,1271776.0,155.237,8488
67,2024-01-12,157.65,158.91,156.5,157.46,1244567.0,157.579,7551
68,2024-01-16,158.41,160.02,154.0,154.12,1709281.0,155.899,11267
69,2024-01-17,152.44,154.77,151.42,152.0,1516485.0,152.698,10165
70,2024-01-18,151.55,152.35,148.89,151.8,1578074.0,150.875,10821
71,2024-01-19,152.32,153.08,151.73,152.98,1343931.0,152.523,8574
72,2024-01-22,153.18,154.52,151.61,154.44,1195746.0,153.692,8560
73,2024-01-23,153.76,154.91,152.46,153.97,1384695.0,153.735,10304
74,2024-01-24,154.97,155.54,154.0,155.1,983108.0,154.866,7424
75,2024-01-25,156.5,157.97,154.89,157.27,1569087.0,156.453,12382
76,2024-01-26,157.19,160.83,156.29,160.52,1784402.0,158.946,12825
77,2024-01-29,160.55,160.94,158.5,160.14,1654893.0,159.663,11788
78,2024-01-30,162.25,170.18,158.57,169.89,3540119.0,166.527,23027
79,2024-01-31,169.99,171.42,163.62,165.6,2125578.0,166.046,15683
80,2024-02-01,166.44,169.23,163.5,167.53,1856195.0,166.335,12618
81,2024-02-02,167.51,168.43,164.29,166.33,1168719.0,166.647,8092
82,2024-02-05,165.51,171.57,164.37,171.12,1709690.0,169.438,12573
83,2024-02-06,171.4,173.33,166.44,166.64,1242755.0,169.578,8803
84,2024-02-07,167.34,169.92,167.11,169.59,904356.0,168.967,6434
85,2024-02-08,169.59,171.39,168.65,169.68,833056.0,169.857,5928
86,2024-02-09,169.81,170.7,168.73,169.97,1062686.0,169.696,7039
87,2024-02-12,170.56,171.7,168.69,168.89,820119.0,169.823,6142
88,2024-02-13,168.5,170.9,166.84,169.88,1110377.0,169.312,7886
89,2024-02-14,171.18,171.68,168.24,168.89,468897.0,170.111,3305
