,date,open,high,low,close,volume,average,barCount
0,2023-09-25,37.56,38.13,36.71,37.2,250744.0,37.219,1990
1,2023-09-26,36.88,37.14,35.99,35.99,270211.0,36.184,2148
2,2023-09-27,36.34,36.94,36.0,36.51,121991.0,36.471,997
3,2023-09-28,36.46,37.16,36.46,36.8,138861.0,36.798,1225
4,2023-09-29,36.87,37.33,36.74,37.09,129119.0,37.038,969
5,2023-10-02,37.13,37.34,35.99,36.3,135719.0,36.474,1137
6,2023-10-03,36.15,36.38,35.74,35.91,239434.0,35.979,1456
7,2023-10-04,35.93,36.24,35.44,36.17,328185.0,35.955,2007
8,2023-10-05,35.96,36.47,35.83,36.13,269855.0,36.135,1347
9,2023-10-06,35.86,36.51,35.55,36.31,156029.0,36.23,1248
10,2023-10-09,37.07,39.41,37.07,39.0,351502.0,38.583,2520
11,2023-10-10,39.55,39.59,38.83,39.01,446419.0,39.073,3053
12,2023-10-11,39.52,39.55,38.75,39.31,154671.0,39.19,1151
13,2023-10-12,39.42,39.42,37.91,38.05,144801.0,38.517,982
14,2023-10-13,38.14,39.06,38.14,38.63,118872.0,38.738,924
15,2023-10-16,38.9,39.34,38.42,38.96,155057.0,39.014,1230
16,2023-10-17,38.58,39.41,38.31,38.66,102848.0,38.847,777
17,2023-10-18,38.53,38.75,38.01,38.18,146936.0,38.357,1004
18,2023-10-19,38.19,39.03,38.05,38.5,250289.0,38.491,1444
19,2023-10-20,38.5,38.5,37.26,37.26,180806.0,37.828,1372
20,2023-10-23,37.0,37.37,36.06,36.06,94272.0,36.791,753
21,2023-10-24,36.51,37.0,35.96,36.27,91792.0,36.317,680
22,2023-10-25,36.09,37.11,35.93,36.21,220307.0,36.301,1127
23,2023-10-26,36.19,36.87,35.83,36.03,148800.0,36.316,999
24,2023-10-27,35.9,36.34,35.46,35.82,221439.0,35.665,1700
25,2023-10-30,36.0,36.26,35.08,35.53,78512.0,35.498,659
26,2023-10-31,35.69,36.33,35.69,35.98,99828.0,36.07,742
27,2023-11-01,36.1,36.1,35.2,35.89,214417.0,35.655,1210
28,2023-11-02,36.3,37.2,36.15,37.08,139610.0,36.804,1014
29,2023-11-03,37.76,38.56,37.16,37.22,215321.0,37.939,901
30,2023-11-06,37.13,37.37,36.76,37.15,86549.0,37.141,616
31,2023-11-07,36.91,37.31,36.66,36.78,182645.0,37.004,1512
32,2023-11-08,35.45,35.55,31.2,32.15,1155048.0,32.181,8169
33,2023-11-09,32.36,33.11,31.04,31.69,615460.0,31.897,4491
34,2023-11-10,31.91,32.84,31.5,32.36,258176.0,32.352,1889
35,2023-11-13,32.66,34.5,32.29,33.44,421069.0,33.637,2826
36,2023-11-14,33.92,34.86,33.65,34.7,195425.0,34.477,1491
37,2023-11-15,35.23,36.23,34.63,34.78,208063.0,35.187,1550
38,2023-11-16,34.33,34.47,33.2,34.25,448762.0,33.536,1399
39,2023-11-17,34.46,34.59,33.9,34.1,191465.0,34.089,1247
40,2023-11-20,34.04,34.89,33.81,34.18,141340.0,34.471,887
41,2023-11-21,35.01,35.1,34.09,34.38,108102.0,34.456,764
42,2023-11-22,34.36,34.55,33.81,34.27,102152.0,34.146,746
43,2023-11-24,34.42,34.67,34.31,34.33,40858.0,34.474,318
44,2023-11-27,34.17,34.34,32.76,32.8,197335.0,33.256,1325
45,2023-11-28,32.8,33.28,32.46,33.26,250303.0,33.089,1646
46,2023-11-29,32.87,34.01,32.69,33.53,381037.0,33.282,1901
47,2023-11-30,33.55,34.33,33.52,34.29,120050.0,34.055,880
48,2023-12-01,34.93,35.23,34.34,35.19,151120.0,34.856,1013
49,2023-12-04,35.02,35.93,34.83,35.91,127062.0,35.641,921
50,2023-12-05,35.73,35.96,35.36,35.62,95534.0,35.633,676
51,2023-12-06,35.75,36.16,35.35,35.47,140017.0,35.619,1006
52,2023-12-07,35.66,36.13,35.38,36.1,112200.0,35.771,918
53,2023-12-08,35.99,36.45,35.94,36.28,97715.0,36.189,811
54,2023-12-11,36.05,37.44,35.94,37.0,277323.0,36.928,2041
55,2023-12-12,36.75,37.96,36.41,37.89,181990.0,37.516,1241
56,2023-12-13,37.88,38.37,37.32,38.37,172500.0,37.959,1380
57,2023-12-14,38.55,39.04,36.59,36.78,265994.0,37.346,1935
58,2023-12-15,37.11,37.87,37.0,37.46,235511.0,37.47,1523
59,2023-12-18,37.47,37.84,36.17,36.73,114058.0,36.734,893
60,2023-12-19,36.7,37.85,36.7,37.64,200682.0,37.43,1103
61,2023-12-20,37.54,38.16,36.91,36.93,148692.0,37.569,1096
62,2023-12-21,37.22,37.24,36.36,36.77,143525.0,36.641,943
63,2023-12-22,36.68,37.19,36.28,36.52,82118.0,36.678,609
64,2023-12-26,36.72,37.19,36.53,36.78,89194.0,36.933,679
65,2023-12-27,36.8,36.8,36.05,36.27,93188.0,36.338,740
66,2023-12-28,36.23,36.89,36.2,36.85,100685.0,36.525,733
67,2023-12-29,36.91,37.64,36.41,36.57,147156.0,36.704,1080
68,2024-01-02,36.38,37.26,36.04,36.05,109075.0,36.587,763
69,2024-01-03,35.04,35.23,32.89,32.98,397448.0,33.41,2881
70,2024-01-04,33.23,33.86,32.94,33.5,186341.0,33.542,1209
71,2024-01-05,33.32,33.77,33.03,33.42,171449.0,33.437,1025
72,2024-01-08,33.15,33.78,33.02,33.5,228179.0,33.413,1363
73,2024-01-09,33.09,33.41,32.83,33.11,186003.0,33.152,1125
74,2024-01-10,31.5,32.5,31.31,32.46,308571.0,32.144,1599
75,2024-01-11,32.25,32.32,31.33,32.05,297399.0,31.968,2147
76,2024-01-12,32.48,32.82,32.31,32.32,171331.0,32.538,1291
77,2024-01-16,32.11,32.19,31.33,31.8,149322.0,31.64,1157
78,2024-01-17,31.25,31.91,30.78,30.97,195707.0,31.094,1450
79,2024-01-18,30.73,31.42,29.82,30.9,564757.0,30.711,2255
80,2024-01-19,30.9,30.95,30.17,30.95,190542.0,30.584,1530
81,2024-01-22,30.99,31.68,30.73,31.52,211458.0,31.163,1463
82,2024-01-23,32.02,32.53,31.32,31.57,146613.0,31.755,1109
83,2024-01-24,31.67,32.06,31.03,31.15,108814.0,31.441,837
84,2024-01-25,31.28,31.45,30.1,30.92,221229.0,30.574,1327
85,2024-01-26,30.88,31.34,30.5,30.59,130315.0,30.723,1107
86,2024-01-29,30.69,30.99,30.16,30.98,137835.0,30.695,992
87,2024-01-30,30.86,30.89,30.11,30.44,218631.0,30.415,1584
88,2024-01-31,30.44,30.7,29.62,29.66,291862.0,30.223,2071
89,2024-02-01,29.96,30.73,29.2,30.7,334363.0,30.01,2178
