,date,open,high,low,close,volume,average,barCount
0,2023-09-25,5.15,5.15,5.0,5.0,1200.0,5.01917,10
1,2023-09-26,5.0,5.2,4.96,4.97,1800.0,5.10223,9
2,2023-09-27,4.97,4.97,4.8,4.8,796.0,4.90427,4
3,2023-09-28,4.8,5.1,4.8,4.8,1001.0,4.89691,9
4,2023-09-29,4.8,5.09,4.8,5.03,1398.0,5.03224,8
5,2023-10-02,5.5,5.8897,5.5,5.51,16341.0,5.66035,66
6,2023-10-03,6.0,6.0,4.84,4.84,11795.0,5.68798,50
7,2023-10-04,4.81,5.29,4.2201,4.24,10696.0,4.68591,61
8,2023-10-05,4.7,4.77,4.61,4.65,2254.0,4.71209,9
9,2023-10-06,4.83,5.32,4.44,5.32,12260.0,4.75491,65
10,2023-10-09,5.32,5.32,5.32,5.32,100.0,5.32,1
11,2023-10-10,5.26,5.6499,5.26,5.5,8421.0,5.49392,38
12,2023-10-11,5.33,5.775,5.33,5.775,3414.0,5.5658,21
13,2023-10-12,5.34,5.69,5.28,5.43,2802.0,5.45468,13
14,2023-10-13,5.42,5.79,5.24,5.42,8581.0,5.45812,38
15,2023-10-16,5.41,5.77,5.32,5.42,3820.0,5.46768,16
16,2023-10-17,5.0,5.5457,5.0,5.445,4421.0,5.44736,13
17,2023-10-18,5.3,5.66,5.1963,5.3,7738.0,5.3321,44
18,2023-10-19,5.66,5.66,5.25,5.34,6008.0,5.39097,34
19,2023-10-20,5.6819,5.6819,5.36,5.545,902.0,5.54401,6
20,2023-10-23,5.24,5.59,5.2359,5.49,1000.0,5.38359,9
21,2023-10-24,5.34,5.62,5.17,5.49,3010.0,5.39727,18
22,2023-10-25,5.23,5.5,5.0,5.5,5394.0,5.17496,46
23,2023-10-26,5.15,5.2,4.63,5.06,33514.0,4.98708,125
24,2023-10-27,4.95,4.95,4.61,4.9,1124.0,4.85899,5
25,2023-10-30,4.89,4.98,4.71,4.78,3225.0,4.85153,15
26,2023-10-31,4.9,5.0,4.5,5.0,5561.0,4.78782,32
27,2023-11-01,4.8,5.0,4.2901,4.55,13629.0,4.60634,73
28,2023-11-02,4.84,4.84,4.33,4.33,1864.0,4.65503,14
29,2023-11-03,4.52,4.52,4.33,4.37,4169.0,4.44662,20
30,2023-11-06,4.54,4.7632,4.43,4.6,12563.0,4.71189,44
31,2023-11-07,4.745,4.87,4.65,4.67,7295.0,4.67566,40
32,2023-11-08,4.6,5.3699,4.6,5.24,6660.0,4.90827,58
33,2023-11-09,5.7153,5.7153,5.03,5.03,900.0,5.31508,9
34,2023-11-10,5.0,5.38,4.97,5.25,10101.0,5.09666,53
35,2023-11-13,5.07,5.25,4.81,5.25,5634.0,5.03654,45
36,2023-11-14,5.27,5.27,5.27,5.27,100.0,5.27,1
37,2023-11-15,5.24,5.655,5.125,5.46,1750.0,5.41464,13
38,2023-11-16,5.46,5.48,4.79,4.79,2659.0,5.35698,11
39,2023-11-17,4.56,5.0,4.4601,4.9,4607.0,4.69695,19
40,2023-11-20,4.8,4.89,4.5,4.87,1700.0,4.75994,8
41,2023-11-21,4.5,4.9,4.32,4.52,8391.0,4.59647,51
42,2023-11-22,4.8999,4.96,4.73,4.91,3841.0,4.88422,27
43,2023-11-24,5.25,5.64,5.25,5.25,2386.0,5.27836,11
44,2023-11-27,4.7472,5.08,4.7472,5.08,932.0,4.99907,9
45,2023-11-28,5.3,5.3665,5.21,5.21,499.0,5.29446,4
46,2023-11-29,5.47,5.47,5.21,5.3,2940.0,5.28745,16
47,2023-11-30,5.2,5.3367,5.2,5.335,800.0,5.29794,4
48,2023-12-01,5.45,5.45,5.2,5.2,800.0,5.31188,4
49,2023-12-04,5.41,5.41,5.2,5.2,200.0,5.305,2
50,2023-12-05,5.36,5.36,5.0,5.12,8493.0,5.15016,41
51,2023-12-06,5.2,5.2,5.0,5.12,12384.0,5.1262,55
52,2023-12-07,5.12,5.14,4.85,5.065,16506.0,4.95232,90
53,2023-12-08,5.0,5.15,5.0,5.04,3210.0,5.1103,19
54,2023-12-11,5.2,5.34,4.9,5.11,16317.0,5.15814,56
55,2023-12-12,5.01,5.2,5.01,5.12,10206.0,5.1841,20
56,2023-12-13,5.04,5.25,5.04,5.19,8287.0,5.19147,19
57,2023-12-14,5.2,5.5,5.2,5.39,20500.0,5.35299,61
58,2023-12-15,5.39,6.98,5.39,6.68,17293.0,6.09327,58
59,2023-12-18,6.63,6.7794,6.46,6.52,11766.0,6.60989,67
60,2023-12-19,6.68,6.68,6.5,6.5,6461.0,6.59321,49
61,2023-12-20,6.59,6.6,6.41,6.41,7924.0,6.50642,20
62,2023-12-21,6.62,6.65,6.505,6.51,5200.0,6.54269,18
63,2023-12-22,6.43,6.7,6.35,6.35,5699.0,6.51,18
64,2023-12-26,6.35,6.505,6.35,6.46,9150.0,6.4357,17
65,2023-12-27,6.56,6.56,6.39,6.47,10427.0,6.48292,21
66,2023-12-28,6.52,6.52,6.43,6.46,26660.0,6.50532,18
67,2023-12-29,6.35,6.6141,6.35,6.48,8101.0,6.51222,24
68,2024-01-02,6.54,7.0,6.54,6.83,5796.0,6.84423,29
69,2024-01-03,6.64,7.0304,6.64,7.0,4826.0,6.95805,16
70,2024-01-04,7.0,7.0,7.0,7.0,100.0,7.0,1
71,2024-01-05,6.36,6.9,6.36,6.825,6270.0,6.88059,42
