,date,open,high,low,close,volume,average,barCount
0,2023-10-06,320.0,341.79,319.17,340.63,250606.0,334.682,1706
1,2023-10-09,331.53,344.24,331.43,340.45,202111.0,338.875,1283
2,2023-10-10,341.24,346.47,337.01,340.46,213376.0,341.773,1345
3,2023-10-11,338.6,340.27,330.35,334.61,159462.0,334.976,1061
4,2023-10-12,335.0,335.0,320.86,323.6,237713.0,326.538,1466
5,2023-10-13,327.62,327.62,314.25,318.22,214969.0,318.67,1458
6,2023-10-16,338.0,353.0,321.05,325.8,801377.0,332.721,5580
7,2023-10-17,321.34,340.91,321.34,335.41,340207.0,333.777,2373
8,2023-10-18,335.89,338.26,326.46,329.14,203961.0,329.219,1307
9,2023-10-19,330.72,348.78,328.14,342.35,294906.0,340.558,2060
10,2023-10-20,353.65,362.0,344.21,348.04,489162.0,351.211,3262
11,2023-10-23,355.35,383.9,346.09,377.49,717081.0,369.879,4603
12,2023-10-24,408.39,438.99,401.27,424.87,1322764.0,421.813,8395
13,2023-10-25,434.79,449.49,425.11,433.22,684921.0,435.788,4480
14,2023-10-26,420.0,430.0,406.23,413.45,596779.0,417.226,3519
15,2023-10-27,420.0,421.46,398.2,406.76,414627.0,408.33,2547
16,2023-10-30,422.99,434.65,410.0,420.22,463060.0,422.316,2767
17,2023-10-31,416.5,423.77,410.05,423.39,345345.0,418.745,2263
18,2023-11-01,429.62,430.0,412.36,426.67,390687.0,420.453,2660
19,2023-11-02,440.48,454.05,424.0,453.63,666485.0,439.199,4539
20,2023-11-03,444.98,464.19,441.4,453.95,543711.0,453.651,3789
21,2023-11-06,461.02,472.99,451.01,459.63,443135.0,461.633,2750
22,2023-11-07,454.0,474.87,449.0,473.55,407416.0,463.882,2719
23,2023-11-08,469.08,478.6,458.49,474.5,422626.0,470.053,2723
24,2023-11-09,498.29,535.21,485.89,494.07,1298326.0,512.249,8368
25,2023-11-10,504.0,513.32,494.53,509.18,529033.0,507.051,3687
26,2023-11-13,502.0,506.9,486.77,504.88,525601.0,498.823,3323
27,2023-11-14,506.7,506.99,460.0,480.0,995458.0,478.667,6286
28,2023-11-15,486.34,509.28,480.67,505.95,763917.0,497.755,4791
29,2023-11-16,494.0,502.77,482.97,489.08,724741.0,491.467,3170
30,2023-11-17,492.65,495.91,483.39,486.22,367751.0,490.096,2515
31,2023-11-20,492.01,512.52,492.01,508.53,592004.0,506.085,3777
32,2023-11-21,497.99,503.14,484.53,493.04,427423.0,494.535,2891
33,2023-11-22,494.0,509.44,481.08,507.88,394052.0,498.348,2562
34,2023-11-24,510.0,526.79,505.53,520.24,511675.0,519.469,3386
35,2023-11-27,505.75,514.8,495.3,495.38,538217.0,507.102,3320
36,2023-11-28,505.12,515.27,498.25,505.87,506793.0,508.142,3104
37,2023-11-29,507.98,513.5,497.0,507.1,323422.0,505.515,2054
38,2023-11-30,498.0,504.99,487.31,498.3,352813.0,496.724,2226
39,2023-12-01,503.53,529.8,503.37,527.68,749152.0,522.998,5049
40,2023-12-04,567.0,577.77,550.0,563.22,899726.0,563.688,5739
41,2023-12-05,566.0,589.9,563.38,577.5,790750.0,576.64,4928
42,2023-12-06,585.12,586.56,566.13,568.88,456353.0,574.771,2789
43,2023-12-07,557.2,578.06,552.1,571.09,287829.0,567.306,1911
44,2023-12-08,573.48,599.39,572.81,599.39,497790.0,591.634,3310
45,2023-12-11,574.11,577.88,546.17,555.8,708641.0,560.469,4557
46,2023-12-12,560.0,566.97,549.01,558.32,358327.0,556.828,2278
47,2023-12-13,557.59,586.0,552.29,586.0,538804.0,573.065,3370
48,2023-12-14,588.0,590.0,575.65,582.37,470462.0,582.965,2781
49,2023-12-15,575.0,575.23,564.65,570.41,407494.0,570.508,2476
50,2023-12-18,561.1,579.0,559.0,571.9,426524.0,569.193,2768
51,2023-12-19,583.5,590.41,564.51,571.3,423423.0,578.173,2753
52,2023-12-20,589.77,599.57,572.1,573.47,760550.0,589.247,4802
