,date,open,high,low,close,volume,average,barCount
0,2023-10-06,42.51,43.16,41.62,42.55,927462.0,42.531,5962
1,2023-10-09,43.95,45.39,43.73,45.12,1030082.0,44.874,6496
2,2023-10-10,45.0,45.39,44.7,44.73,595512.0,45.007,3907
3,2023-10-11,44.06,44.71,43.71,44.6,687932.0,44.322,4485
4,2023-10-12,45.19,45.46,44.77,45.09,1202240.0,45.189,6691
5,2023-10-13,46.06,46.93,45.89,46.45,721366.0,46.508,4429
6,2023-10-16,47.0,47.34,46.24,47.06,818192.0,46.947,5020
7,2023-10-17,46.99,47.91,46.77,47.34,725133.0,47.496,4027
8,2023-10-18,47.67,48.07,47.29,47.63,549407.0,47.675,3482
9,2023-10-19,47.22,48.47,46.92,47.85,739153.0,47.916,4632
10,2023-10-20,47.77,48.01,46.82,47.14,576801.0,47.177,3484
11,2023-10-23,46.73,46.86,45.73,46.12,765044.0,46.198,5398
12,2023-10-24,46.35,46.35,45.38,45.56,486694.0,45.771,3150
13,2023-10-25,45.49,45.78,44.93,45.39,859654.0,45.325,5558
14,2023-10-26,44.89,45.79,44.32,45.34,930276.0,45.302,5554
15,2023-10-27,45.48,45.6,44.5,45.31,856539.0,45.039,5529
16,2023-10-30,45.35,45.68,44.18,44.92,801350.0,44.711,4835
17,2023-10-31,45.01,45.4,44.45,44.87,837158.0,44.825,6041
18,2023-11-01,44.92,45.42,44.27,44.81,881918.0,44.924,6594
19,2023-11-02,44.67,46.21,43.86,46.14,2212974.0,45.437,12516
20,2023-11-03,46.08,46.55,45.18,45.92,1205433.0,45.794,7281
21,2023-11-06,46.03,46.18,44.72,44.87,818319.0,45.144,5171
22,2023-11-07,43.95,44.17,42.85,43.72,1547631.0,43.591,8897
23,2023-11-08,43.29,43.67,42.48,42.74,1833554.0,42.794,9516
24,2023-11-09,43.02,43.38,42.3,42.34,973999.0,42.749,6491
25,2023-11-10,42.61,43.29,42.3,42.94,733888.0,42.894,4493
26,2023-11-13,43.08,43.42,42.76,43.16,544844.0,43.168,3910
27,2023-11-14,43.51,44.19,43.19,43.99,904981.0,43.906,5921
28,2023-11-15,43.71,44.51,43.68,43.7,963862.0,43.978,5915
29,2023-11-16,43.2,43.37,41.84,42.42,919670.0,42.355,5252
30,2023-11-17,42.8,43.95,42.8,43.68,579044.0,43.484,3687
31,2023-11-20,44.25,44.29,43.44,43.49,548046.0,43.773,3929
32,2023-11-21,43.05,43.22,42.48,42.77,998104.0,42.754,6696
33,2023-11-22,41.65,42.55,41.29,42.47,748666.0,42.264,5029
34,2023-11-24,42.28,43.39,42.28,43.02,236245.0,43.118,1549
35,2023-11-27,42.64,42.75,42.19,42.6,572513.0,42.487,4060
36,2023-11-28,42.79,43.19,42.36,42.73,484219.0,42.811,3176
37,2023-11-29,42.98,43.16,42.39,42.69,615425.0,42.632,3693
38,2023-11-30,43.09,44.01,42.5,42.77,731248.0,43.026,3913
39,2023-12-01,42.67,44.09,42.55,43.26,673398.0,43.462,4562
40,2023-12-04,42.84,43.29,42.47,42.84,476774.0,42.84,3368
41,2023-12-05,43.02,43.07,41.76,41.8,994650.0,42.015,6194
42,2023-12-06,41.41,41.85,40.36,40.37,1116995.0,40.757,7005
43,2023-12-07,40.72,40.96,40.17,40.56,717046.0,40.539,3957
44,2023-12-08,40.93,41.51,40.85,41.34,939177.0,41.182,5726
45,2023-12-11,41.08,41.45,40.94,41.19,969935.0,41.202,7272
46,2023-12-12,40.54,40.62,39.71,39.97,1036434.0,39.991,7313
47,2023-12-13,40.12,41.25,39.78,41.21,856419.0,40.616,5880
