,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.4,12.61,12.4,12.54,364364.0,12.543,2098
1,2023-09-26,12.45,12.58,12.41,12.42,364025.0,12.457,2062
2,2023-09-27,12.5,12.73,12.45,12.65,366171.0,12.622,2231
3,2023-09-28,12.63,12.88,12.55,12.75,373062.0,12.775,2363
4,2023-09-29,12.82,12.84,12.58,12.68,513524.0,12.675,2922
5,2023-10-02,12.59,12.65,12.52,12.58,379252.0,12.575,2539
6,2023-10-03,12.53,12.65,12.46,12.55,399736.0,12.538,2617
7,2023-10-04,12.53,12.78,12.47,12.75,414369.0,12.686,2037
8,2023-10-05,12.8,12.89,12.66,12.74,470912.0,12.736,2605
9,2023-10-06,12.69,12.96,12.67,12.88,325355.0,12.858,2302
10,2023-10-09,12.8,12.96,12.72,12.84,599369.0,12.864,2112
11,2023-10-10,12.89,13.02,12.76,12.8,418761.0,12.916,1987
12,2023-10-11,12.78,13.03,12.78,13.02,902125.0,12.922,3132
13,2023-10-12,13.06,13.13,12.75,12.91,474077.0,12.887,3048
14,2023-10-13,12.89,12.99,12.62,12.74,431669.0,12.765,2855
15,2023-10-16,12.86,12.98,12.63,12.98,1026401.0,12.865,5187
16,2023-10-17,12.92,13.23,12.9,12.95,547001.0,13.055,3542
17,2023-10-18,12.8,12.8,12.3,12.31,549480.0,12.422,3262
18,2023-10-19,12.26,12.53,12.13,12.3,486106.0,12.321,3095
19,2023-10-20,12.33,12.41,12.2,12.25,451732.0,12.283,2283
20,2023-10-23,12.31,12.39,12.18,12.21,585944.0,12.25,3532
21,2023-10-24,12.33,12.58,12.22,12.55,806211.0,12.469,3895
22,2023-10-25,12.64,12.76,12.4,12.58,913713.0,12.646,5724
23,2023-10-26,12.64,12.81,12.56,12.61,637861.0,12.688,4211
24,2023-10-27,12.57,12.67,12.38,12.48,564263.0,12.496,3298
25,2023-10-30,12.35,12.58,12.13,12.22,720685.0,12.254,4015
26,2023-10-31,12.46,12.47,12.23,12.37,1537923.0,12.343,6887
27,2023-11-01,12.37,12.37,12.12,12.31,810242.0,12.27,4419
28,2023-11-02,12.56,12.63,12.4,12.6,784371.0,12.545,4548
29,2023-11-03,13.01,13.11,12.84,13.02,1329015.0,13.007,6739
30,2023-11-06,13.09,13.19,12.91,13.06,716545.0,13.022,4315
31,2023-11-07,13.11,13.11,12.66,12.74,424844.0,12.781,2860
32,2023-11-08,12.58,12.66,12.38,12.57,607011.0,12.519,4487
33,2023-11-09,12.68,12.77,12.59,12.76,600016.0,12.709,3835
34,2023-11-10,12.82,12.92,12.69,12.87,390313.0,12.832,2740
35,2023-11-13,12.85,12.91,12.76,12.87,259849.0,12.857,1600
36,2023-11-14,13.18,13.34,13.11,13.33,499291.0,13.274,3322
37,2023-11-15,13.36,13.47,13.23,13.26,302668.0,13.322,1902
38,2023-11-16,13.24,13.26,13.14,13.21,271243.0,13.207,1694
39,2023-11-17,13.27,13.35,13.2,13.28,394976.0,13.273,1893
40,2023-11-20,13.26,13.26,13.09,13.22,780454.0,13.168,4471
41,2023-11-21,13.18,13.19,13.08,13.09,247747.0,13.132,1419
42,2023-11-22,13.18,13.28,13.12,13.22,482377.0,13.207,2412
43,2023-11-24,13.2,13.38,13.19,13.34,198433.0,13.31,1233
44,2023-11-27,13.3,13.38,13.21,13.31,326565.0,13.328,2063
45,2023-11-28,13.26,13.39,13.12,13.22,349242.0,13.274,2145
46,2023-11-29,13.31,13.41,13.22,13.28,296137.0,13.292,1899
47,2023-11-30,13.26,13.45,13.08,13.29,623446.0,13.316,3694
48,2023-12-01,13.32,13.63,13.28,13.55,647491.0,13.501,4164
49,2023-12-04,13.47,13.71,13.42,13.7,371708.0,13.608,2231
50,2023-12-05,13.6,13.61,13.4,13.48,301138.0,13.493,1945
51,2023-12-06,13.58,13.8,13.53,13.53,363601.0,13.637,2324
52,2023-12-07,13.6,13.62,13.45,13.58,284191.0,13.558,1895
53,2023-12-08,13.6,13.76,13.6,13.71,467954.0,13.699,2863
54,2023-12-11,13.7,13.81,13.62,13.79,463238.0,13.732,2915
55,2023-12-12,13.85,13.85,13.71,13.74,344339.0,13.786,2263
56,2023-12-13,13.82,14.09,13.63,14.06,654561.0,13.904,3862
57,2023-12-14,13.8,15.06,13.8,14.76,1281204.0,14.744,7679
58,2023-12-15,14.73,14.73,13.9,13.95,1549929.0,14.19,7004
59,2023-12-18,14.07,14.27,13.94,14.22,811552.0,14.182,5364
60,2023-12-19,14.28,14.41,14.11,14.28,914527.0,14.261,5006
61,2023-12-20,14.26,14.5,14.16,14.17,494163.0,14.329,2915
62,2023-12-21,14.3,14.33,14.1,14.19,979763.0,14.186,5993
63,2023-12-22,14.31,14.53,14.27,14.46,603559.0,14.446,3557
64,2023-12-26,14.51,14.71,14.38,14.64,451631.0,14.611,2668
65,2023-12-27,14.72,14.78,14.63,14.67,479170.0,14.695,2677
66,2023-12-28,14.58,14.69,14.51,14.6,342193.0,14.59,2146
67,2023-12-29,14.54,14.65,14.39,14.4,217151.0,14.464,1428
68,2024-01-02,14.3,14.34,14.02,14.13,455322.0,14.15,2703
69,2024-01-03,14.05,14.05,13.79,13.85,607409.0,13.874,3635
70,2024-01-04,13.83,13.94,13.8,13.83,311654.0,13.858,1882
