,date,open,high,low,close,volume,average,barCount
0,2023-09-25,21.36,22.14,21.34,21.87,201305.0,21.874,1572
1,2023-09-26,21.79,22.01,21.68,21.8,217584.0,21.814,1742
2,2023-09-27,22.04,22.61,21.95,22.13,390607.0,22.187,3107
3,2023-09-28,22.19,22.81,22.06,22.45,165382.0,22.495,1234
4,2023-09-29,22.75,22.77,22.18,22.25,158876.0,22.36,1165
5,2023-10-02,22.25,22.55,21.78,22.01,192204.0,22.069,1339
6,2023-10-03,21.95,22.22,21.52,21.75,165191.0,21.738,1267
7,2023-10-04,21.75,22.03,21.59,21.78,138473.0,21.808,1049
8,2023-10-05,21.78,21.89,21.12,21.37,255057.0,21.326,1552
9,2023-10-06,21.3,21.97,21.06,21.81,212686.0,21.683,1411
10,2023-10-09,21.72,21.73,21.31,21.62,120439.0,21.59,872
11,2023-10-10,21.62,22.34,21.57,22.26,249605.0,22.144,1685
12,2023-10-11,22.26,22.59,22.04,22.28,232241.0,22.274,1775
13,2023-10-12,22.26,22.69,22.09,22.31,242005.0,22.387,1973
14,2023-10-13,22.31,22.46,21.05,21.08,270167.0,21.344,2221
15,2023-10-16,21.26,21.63,21.19,21.38,359178.0,21.388,2740
16,2023-10-17,21.0,21.88,20.83,21.73,315635.0,21.488,2419
17,2023-10-18,21.37,21.72,21.21,21.4,307394.0,21.425,2371
18,2023-10-19,21.15,21.37,20.44,20.52,356673.0,20.753,2642
19,2023-10-20,20.54,20.62,19.96,20.09,382218.0,20.201,2584
20,2023-10-23,19.95,20.15,19.54,19.55,332265.0,19.821,2367
21,2023-10-24,19.65,20.21,19.26,19.47,339562.0,19.464,2570
22,2023-10-25,19.44,19.44,18.31,18.4,488464.0,18.568,3399
23,2023-10-26,14.1,15.35,13.43,14.36,2461657.0,14.65,14754
24,2023-10-27,14.48,14.93,14.24,14.92,1182677.0,14.701,8325
25,2023-10-30,14.89,15.21,14.59,14.97,789337.0,14.901,5877
26,2023-10-31,15.03,15.31,14.41,15.2,469613.0,14.964,3082
27,2023-11-01,15.14,15.33,14.89,15.28,459278.0,15.143,3407
28,2023-11-02,15.7,15.76,15.08,15.67,656237.0,15.55,4504
29,2023-11-03,16.0,17.15,15.93,17.04,846022.0,16.829,5544
30,2023-11-06,17.01,17.13,16.45,16.62,1038304.0,16.662,4912
31,2023-11-07,16.45,17.06,16.33,16.81,596513.0,16.841,4093
32,2023-11-08,16.83,17.04,16.65,16.9,370715.0,16.898,2881
33,2023-11-09,17.06,17.1,15.94,16.0,456374.0,16.376,3442
34,2023-11-10,16.23,16.74,15.98,16.65,679265.0,16.409,3684
35,2023-11-13,16.52,16.68,16.15,16.48,310081.0,16.457,2306
36,2023-11-14,17.19,17.42,16.94,17.07,524838.0,17.105,3929
37,2023-11-15,17.18,18.45,17.08,17.95,602682.0,18.038,4656
38,2023-11-16,17.76,17.98,17.46,17.57,683698.0,17.679,4152
39,2023-11-17,17.73,17.75,17.44,17.6,355575.0,17.571,2475
40,2023-11-20,17.49,18.49,17.49,18.45,618287.0,18.133,3993
41,2023-11-21,18.23,18.23,17.51,17.71,188216.0,17.743,1463
42,2023-11-22,17.81,18.2,17.8,17.94,283393.0,17.997,1904
43,2023-11-24,17.83,18.14,17.76,18.05,120372.0,17.999,954
44,2023-11-27,17.91,18.23,17.65,17.83,321384.0,17.978,2324
45,2023-11-28,17.75,18.15,17.55,18.1,298478.0,18.002,2209
46,2023-11-29,18.44,18.94,18.43,18.69,330483.0,18.752,2584
47,2023-11-30,18.69,18.79,18.26,18.73,374603.0,18.615,2752
48,2023-12-01,18.68,19.0,18.35,18.99,348018.0,18.762,2197
49,2023-12-04,18.95,19.28,18.74,19.25,282513.0,19.051,2122
50,2023-12-05,19.07,19.18,18.68,18.87,228406.0,18.87,1861
51,2023-12-06,19.2,19.5,18.9,19.01,301017.0,19.183,2284
52,2023-12-07,19.15,19.39,18.94,19.35,228448.0,19.268,1868
53,2023-12-08,19.27,19.6,19.12,19.39,286961.0,19.314,2436
54,2023-12-11,19.45,19.99,19.36,19.84,243001.0,19.829,1888
55,2023-12-12,19.85,19.89,19.55,19.68,215444.0,19.714,1802
56,2023-12-13,19.57,20.6,19.55,20.51,392066.0,20.117,3154
57,2023-12-14,20.75,22.09,20.74,22.02,940457.0,21.648,6677
58,2023-12-15,22.25,22.56,21.61,21.8,1177284.0,22.013,6750
59,2023-12-18,21.87,21.95,21.0,21.92,411966.0,21.805,3219
60,2023-12-19,21.96,22.53,21.95,22.39,241963.0,22.289,1956
61,2023-12-20,22.31,23.04,22.12,22.14,408211.0,22.549,3372
62,2023-12-21,22.64,23.21,22.64,23.13,240390.0,23.005,1846
63,2023-12-22,23.26,23.95,23.0,23.9,382160.0,23.752,2815
64,2023-12-26,23.99,24.81,23.89,24.72,312880.0,24.599,2261
65,2023-12-27,24.77,25.14,24.42,24.92,350755.0,24.815,2549
66,2023-12-28,24.86,24.92,24.31,24.46,234318.0,24.601,1623
67,2023-12-29,24.4,24.49,23.64,23.77,211724.0,23.89,1521
68,2024-01-02,23.38,23.6,22.8,22.99,245310.0,23.192,1874
69,2024-01-03,22.15,22.22,21.44,21.81,639567.0,21.754,4126
70,2024-01-04,21.47,21.83,21.26,21.46,225739.0,21.518,1699
71,2024-01-05,21.45,21.83,21.34,21.69,238854.0,21.606,1860
72,2024-01-08,21.84,22.61,21.81,22.44,220456.0,22.334,1526
73,2024-01-09,22.0,22.27,21.93,22.0,170054.0,22.084,1432
74,2024-01-10,21.91,21.99,21.39,21.89,169099.0,21.764,1351
75,2024-01-11,21.78,22.05,21.24,21.45,204305.0,21.517,1559
76,2024-01-12,21.77,21.95,21.14,21.25,168773.0,21.38,1192
77,2024-01-16,21.25,21.89,20.82,21.13,257134.0,21.049,1924
78,2024-01-17,20.76,20.76,20.27,20.69,352681.0,20.52,2781
79,2024-01-18,21.26,21.54,21.11,21.48,406253.0,21.315,3166
80,2024-01-19,21.76,22.25,21.36,22.15,358100.0,21.844,2391
81,2024-01-22,22.53,23.21,22.48,23.07,303575.0,22.985,2235
82,2024-01-23,23.32,23.56,22.94,23.4,241090.0,23.333,1811
83,2024-01-24,23.59,23.77,23.25,23.42,232255.0,23.521,1648
84,2024-01-25,23.88,24.05,23.02,23.12,390750.0,23.421,2821
85,2024-01-26,22.9,23.03,22.09,22.14,177975.0,22.368,1255
86,2024-01-29,22.06,22.3,21.72,22.28,273992.0,22.049,2208
87,2024-01-30,22.22,22.33,21.47,21.51,471094.0,21.688,3489
88,2024-01-31,21.25,21.71,20.78,20.82,468110.0,21.164,3538
89,2024-02-01,18.95,19.5,17.74,18.52,1832198.0,18.519,11440
